region,group,rate,aidsAdjustedRate,qualityAdjustedRate,aidsAndQualityAdjustedRate
RURAL,A,484.30,571.47,474.93,560.42
RURAL,B,365.75,431.59,358.67,423.23
RURAL,C,349.35,412.23,342.59,404.26
RURAL,D,286.29,337.82,280.75,331.29
RURAL,E,237.11,279.79,232.52,274.37
RURAL,F,267.37,315.50,262.20,309.40
RURAL,G,221.97,261.92,217.68,256.86
RURAL,H,248.46,293.18,243.65,287.51
RURAL,I,206.84,244.07,202.84,239.35
RURAL,J,205.58,242.58,201.60,237.89
RURAL,K,170.26,200.91,166.97,197.02
RURAL,L,223.23,263.41,218.91,258.31
RURAL,M,192.96,227.69,189.23,223.29
RURAL,N,185.40,218.77,181.81,214.54
RURAL,O,129.90,153.28,127.39,150.32
RURAL,P,160.17,189.00,157.07,185.34
RURAL,Q,112.25,132.46,110.08,129.89
RURAL,R,123.60,145.85,121.21,143.03
RURAL,S,118.55,139.89,116.26,137.19
RURAL,T,186.66,220.26,183.05,216.00
RURAL,U,175.31,206.87,171.92,202.87
RURAL,V,145.04,171.15,142.23,167.83
RURAL,W,84.50,99.71,82.87,97.79
RURAL,X,134.95,159.24,132.34,156.16
RURAL,Y,78.19,92.26,76.68,90.48
URBAN,A,506.88,598.12,497.05,586.52
URBAN,B,382.80,451.70,375.38,442.95
URBAN,C,365.64,431.46,358.55,423.09
URBAN,D,299.64,353.58,293.83,346.72
URBAN,E,248.16,292.83,243.35,287.15
URBAN,F,279.84,330.21,274.41,323.80
URBAN,G,232.32,274.14,227.81,268.82
URBAN,H,260.04,306.85,255.00,300.90
URBAN,I,216.48,255.45,212.28,250.49
URBAN,J,215.16,253.89,210.99,248.97
URBAN,K,178.20,210.28,174.74,206.19
URBAN,L,233.64,275.70,229.11,270.35
URBAN,M,201.96,238.31,198.04,233.69
URBAN,N,194.04,228.97,190.28,224.53
URBAN,O,135.96,160.43,133.32,157.32
URBAN,P,167.64,197.82,164.39,193.98
URBAN,Q,117.48,138.63,115.20,135.94
URBAN,R,129.36,152.64,126.85,149.68
URBAN,S,124.08,146.41,121.67,143.57
URBAN,T,195.36,230.52,191.57,226.05
URBAN,U,183.48,216.51,179.92,212.31
URBAN,V,151.80,179.12,148.86,175.65
URBAN,W,88.44,104.36,86.72,102.33
URBAN,X,141.24,166.66,138.50,163.43
URBAN,Y,81.84,96.57,80.25,94.70
