region,group,rate,aidsAdjustedRate,qualityAdjustedRate,aidsAndQualityAdjustedRate
RURAL,A,449.32,530.20,440.87,520.23
RURAL,B,339.33,400.41,332.95,392.88
RURAL,C,324.12,382.46,318.02,375.26
RURAL,D,265.61,313.42,260.62,307.53
RURAL,E,219.98,259.58,215.84,254.69
RURAL,F,248.06,292.71,243.40,287.21
RURAL,G,205.94,243.01,202.07,238.44
RURAL,H,230.51,272.00,226.18,266.89
RURAL,I,191.90,226.44,188.29,222.18
RURAL,J,190.73,225.06,187.14,220.83
RURAL,K,157.96,186.39,154.99,182.89
RURAL,L,207.11,244.39,203.21,239.79
RURAL,M,179.03,211.26,175.66,207.28
RURAL,N,172.00,202.96,168.77,199.15
RURAL,O,120.52,142.21,118.25,139.54
RURAL,P,148.60,175.35,145.81,172.06
RURAL,Q,104.14,122.89,102.18,120.57
RURAL,R,114.67,135.31,112.51,132.76
RURAL,S,109.99,129.79,107.92,127.35
RURAL,T,173.17,204.34,169.92,200.51
RURAL,U,162.64,191.92,159.59,188.32
RURAL,V,134.56,158.78,132.03,155.80
RURAL,W,78.40,92.51,76.92,90.77
RURAL,X,125.20,147.74,122.85,144.96
RURAL,Y,72.55,85.61,71.18,83.99
URBAN,A,470.28,554.93,461.45,544.51
URBAN,B,355.16,419.09,348.49,411.22
URBAN,C,339.24,400.30,332.87,392.79
URBAN,D,278.01,328.05,272.79,321.89
URBAN,E,230.24,271.68,225.92,266.59
URBAN,F,259.64,306.38,254.76,300.62
URBAN,G,215.55,254.35,211.50,249.57
URBAN,H,241.27,284.70,236.73,279.34
URBAN,I,200.85,237.00,197.08,232.55
URBAN,J,199.63,235.56,195.88,231.14
URBAN,K,165.33,195.09,162.23,191.43
URBAN,L,216.77,255.79,212.70,250.99
URBAN,M,187.38,221.11,183.86,216.95
URBAN,N,180.03,212.44,176.65,208.45
URBAN,O,126.14,148.85,123.78,146.06
URBAN,P,155.54,183.54,152.62,180.09
URBAN,Q,109.00,128.62,106.95,126.20
URBAN,R,120.02,141.62,117.77,138.97
URBAN,S,115.12,135.84,112.96,133.29
URBAN,T,181.26,213.89,177.85,209.86
URBAN,U,170.23,200.87,167.04,197.11
URBAN,V,140.84,166.19,138.20,163.08
URBAN,W,82.05,96.82,80.51,95.00
URBAN,X,131.04,154.63,128.58,151.72
URBAN,Y,75.93,89.60,74.51,87.92
