region,group,rate,aidsAdjustedRate,qualityAdjustedRate,aidsAndQualityAdjustedRate
RURAL,A,424.80,501.26,416.43,491.39
RURAL,B,321.21,379.03,314.89,371.57
RURAL,C,306.57,361.75,300.53,354.63
RURAL,D,251.11,296.31,246.17,290.48
RURAL,E,208.21,245.69,204.11,240.85
RURAL,F,234.37,276.56,229.76,271.12
RURAL,G,194.61,229.64,190.78,225.12
RURAL,H,217.63,256.80,213.35,251.75
RURAL,I,181.01,213.59,177.45,209.39
RURAL,J,179.96,212.35,176.42,208.18
RURAL,K,149.62,176.55,146.68,173.08
RURAL,L,195.66,230.88,191.81,226.34
RURAL,M,169.50,200.01,166.16,196.07
RURAL,N,162.18,191.37,158.98,187.60
RURAL,O,114.05,134.58,111.80,131.92
RURAL,P,140.20,165.44,137.44,162.18
RURAL,Q,98.35,116.05,96.42,113.78
RURAL,R,108.82,128.41,106.67,125.87
RURAL,S,103.58,122.22,101.54,119.82
RURAL,T,164.27,193.84,161.03,190.02
RURAL,U,153.81,181.50,150.78,177.92
RURAL,V,127.65,150.63,125.14,147.67
RURAL,W,74.29,87.66,72.82,85.93
RURAL,X,118.23,139.51,115.90,136.76
RURAL,Y,69.06,81.49,67.70,79.89
URBAN,A,444.61,524.64,435.88,514.34
URBAN,B,336.20,396.72,329.60,388.93
URBAN,C,320.86,378.61,314.56,371.18
URBAN,D,262.82,310.13,257.66,304.04
URBAN,E,217.92,257.15,213.65,252.11
URBAN,F,245.30,289.45,240.49,283.78
URBAN,G,203.69,240.35,199.69,235.63
URBAN,H,227.78,268.78,223.31,263.51
URBAN,I,189.45,223.55,185.73,219.16
URBAN,J,188.36,222.26,184.66,217.90
URBAN,K,156.60,184.79,153.52,181.15
URBAN,L,204.78,241.64,200.76,236.90
URBAN,M,177.41,209.34,173.92,205.23
URBAN,N,169.74,200.29,166.41,196.36
URBAN,O,119.37,140.86,117.02,138.08
URBAN,P,146.74,173.15,143.86,169.75
URBAN,Q,102.94,121.47,100.92,119.09
URBAN,R,113.89,134.39,111.65,131.75
URBAN,S,108.41,127.92,106.29,125.42
URBAN,T,171.93,202.88,168.56,198.90
URBAN,U,160.98,189.96,157.82,186.23
URBAN,V,133.60,157.65,130.98,154.56
URBAN,W,77.75,91.75,76.23,89.95
URBAN,X,123.75,146.03,121.32,143.16
URBAN,Y,72.28,85.29,70.86,83.61
