region,group,rate,aidsAdjustedRate,qualityAdjustedRate,aidsAndQualityAdjustedRate
RURAL,A,419.56,495.08,411.36,485.40
RURAL,B,317.25,374.36,311.05,367.04
RURAL,C,302.79,357.29,296.87,350.31
RURAL,D,248.02,292.66,243.17,286.94
RURAL,E,205.65,242.67,201.63,237.92
RURAL,F,231.48,273.15,226.96,267.81
RURAL,G,192.21,226.81,188.46,222.38
RURAL,H,214.95,253.64,210.75,248.69
RURAL,I,178.78,210.96,175.28,206.83
RURAL,J,177.74,209.73,174.27,205.64
RURAL,K,147.78,174.38,144.89,170.97
RURAL,L,193.25,228.04,189.47,223.57
RURAL,M,167.41,197.54,164.14,193.69
RURAL,N,160.18,189.01,157.05,185.32
RURAL,O,112.64,132.92,110.44,130.32
RURAL,P,138.48,163.41,135.77,160.21
RURAL,Q,97.14,114.63,95.24,112.38
RURAL,R,107.47,126.81,105.37,124.34
RURAL,S,102.31,120.73,100.31,118.37
RURAL,T,162.24,191.44,159.07,187.70
RURAL,U,151.91,179.25,148.94,175.75
RURAL,V,126.07,148.76,123.61,145.86
RURAL,W,73.37,86.58,71.94,84.89
RURAL,X,116.77,137.79,114.49,135.10
RURAL,Y,68.20,80.48,66.87,78.91
URBAN,A,439.13,518.17,430.60,508.11
URBAN,B,332.05,391.82,325.60,384.21
URBAN,C,316.91,373.95,310.76,366.70
URBAN,D,259.58,306.30,254.54,300.36
URBAN,E,215.24,253.98,211.06,249.05
URBAN,F,242.28,285.89,237.57,280.33
URBAN,G,201.18,237.39,197.27,232.78
URBAN,H,224.97,265.46,220.60,260.31
URBAN,I,187.12,220.80,183.48,216.51
URBAN,J,186.04,219.53,182.42,215.26
URBAN,K,154.67,182.51,151.67,178.97
URBAN,L,202.26,238.67,198.33,234.03
URBAN,M,175.22,206.76,171.82,202.75
URBAN,N,167.65,197.83,164.39,193.98
URBAN,O,117.89,139.11,115.61,136.42
URBAN,P,144.93,171.02,142.12,167.70
URBAN,Q,101.67,119.97,99.70,117.65
URBAN,R,112.49,132.74,110.30,130.15
URBAN,S,107.08,126.35,105.00,123.90
URBAN,T,169.81,200.38,166.51,196.48
URBAN,U,159.00,187.62,155.91,183.97
URBAN,V,131.96,155.71,129.39,152.68
URBAN,W,76.79,90.61,75.30,88.85
URBAN,X,122.22,144.22,119.85,141.42
URBAN,Y,71.39,84.24,70.00,82.60
