region,group,rate,aidsAdjustedRate,qualityAdjustedRate,aidsAndQualityAdjustedRate
RURAL,A,434.58,512.80,426.32,503.06
RURAL,B,328.96,388.17,322.71,380.80
RURAL,C,313.56,370.00,307.60,362.97
RURAL,D,256.35,302.49,251.48,296.75
RURAL,E,213.44,251.86,209.38,247.07
RURAL,F,239.84,283.01,235.29,277.64
RURAL,G,199.14,234.99,195.35,230.51
RURAL,H,222.24,262.24,218.02,257.26
RURAL,I,184.83,218.10,181.32,213.96
RURAL,J,183.73,216.80,180.24,212.68
RURAL,K,152.93,180.46,150.02,177.02
RURAL,L,200.24,236.28,196.43,231.79
RURAL,M,173.83,205.12,170.53,201.23
RURAL,N,166.13,196.03,162.97,192.30
RURAL,O,116.62,137.61,114.41,135.00
RURAL,P,143.03,168.78,140.31,165.57
RURAL,Q,100.12,118.14,98.22,115.90
RURAL,R,111.12,131.12,109.01,128.63
RURAL,S,105.62,124.63,103.61,122.26
RURAL,T,168.33,198.63,165.13,194.85
RURAL,U,157.33,185.65,154.34,182.12
RURAL,V,130.92,154.49,128.44,151.56
RURAL,W,75.91,89.57,74.47,87.87
RURAL,X,121.02,142.80,118.72,140.09
RURAL,Y,70.41,83.08,69.08,81.51
URBAN,A,454.84,536.71,446.19,526.50
URBAN,B,344.30,406.27,337.75,398.55
URBAN,C,328.18,387.25,321.94,379.89
URBAN,D,268.30,316.59,263.20,310.58
URBAN,E,223.39,263.60,219.14,258.59
URBAN,F,251.03,296.22,246.25,290.58
URBAN,G,208.42,245.94,204.46,241.26
URBAN,H,232.60,274.47,228.18,269.25
URBAN,I,193.45,228.27,189.77,223.93
URBAN,J,192.30,226.91,188.64,222.60
URBAN,K,160.06,188.87,157.01,185.27
URBAN,L,209.57,247.29,205.59,242.60
URBAN,M,181.94,214.69,178.48,210.61
URBAN,N,173.88,205.18,170.57,201.27
URBAN,O,122.06,144.03,119.74,141.29
URBAN,P,149.70,176.65,146.85,173.28
URBAN,Q,104.79,123.65,102.79,121.29
URBAN,R,116.30,137.23,114.09,134.63
URBAN,S,110.54,130.44,108.44,127.96
URBAN,T,176.18,207.89,172.83,203.94
URBAN,U,164.66,194.30,161.53,190.61
URBAN,V,137.03,161.70,134.42,158.62
URBAN,W,79.45,93.75,77.94,91.97
URBAN,X,126.67,149.47,124.26,146.63
URBAN,Y,73.70,86.97,72.29,85.30
