region,group,rate,aidsAdjustedRate,qualityAdjustedRate,aidsAndQualityAdjustedRate
RURAL,A,468.44,552.76,459.42,542.12
RURAL,B,353.77,417.45,346.96,409.41
RURAL,C,337.91,398.73,331.40,391.05
RURAL,D,276.92,326.77,271.58,320.46
RURAL,E,229.34,270.62,224.92,265.41
RURAL,F,258.62,305.17,253.64,299.30
RURAL,G,214.70,253.35,210.57,248.47
RURAL,H,240.32,283.58,235.69,278.11
RURAL,I,200.06,236.07,196.21,231.53
RURAL,J,198.84,234.63,195.01,230.11
RURAL,K,164.69,194.33,161.51,190.58
RURAL,L,215.92,254.79,211.76,249.88
RURAL,M,186.64,220.24,183.05,216.00
RURAL,N,179.33,211.61,175.87,207.53
RURAL,O,125.65,148.27,123.23,145.41
RURAL,P,154.93,182.82,151.94,179.29
RURAL,Q,108.57,128.11,106.48,125.65
RURAL,R,119.55,141.07,117.25,138.36
RURAL,S,114.67,135.31,112.46,132.70
RURAL,T,180.55,213.05,177.07,208.94
RURAL,U,169.57,200.09,166.30,196.23
RURAL,V,140.29,165.54,137.59,162.36
RURAL,W,81.73,96.44,80.16,94.59
RURAL,X,130.53,154.03,128.01,151.05
RURAL,Y,75.63,89.24,74.18,87.53
URBAN,A,490.29,578.54,480.88,567.44
URBAN,B,370.27,436.92,363.17,428.54
URBAN,C,353.67,417.33,346.89,409.33
URBAN,D,289.83,342.00,284.27,335.44
URBAN,E,240.04,283.25,235.43,277.81
URBAN,F,270.68,319.40,265.49,313.28
URBAN,G,224.72,265.17,220.40,260.07
URBAN,H,251.53,296.81,246.70,291.11
URBAN,I,209.40,247.09,205.38,242.35
URBAN,J,208.12,245.58,204.12,240.86
URBAN,K,172.37,203.40,169.06,199.49
URBAN,L,225.99,266.67,221.66,261.56
URBAN,M,195.35,230.51,191.60,226.09
URBAN,N,187.69,221.47,184.09,217.23
URBAN,O,131.51,155.18,128.99,152.21
URBAN,P,162.15,191.34,159.04,187.67
URBAN,Q,113.64,134.10,111.45,131.51
URBAN,R,125.13,147.65,122.73,144.82
URBAN,S,120.02,141.62,117.72,138.91
URBAN,T,188.97,222.98,185.34,218.70
URBAN,U,177.48,209.43,174.07,205.40
URBAN,V,146.83,173.26,144.01,169.93
URBAN,W,85.55,100.95,83.90,99.00
URBAN,X,136.62,161.21,134.00,158.12
URBAN,Y,79.16,93.41,77.64,91.62
