referenceName,code,codeType
ANDEXAXA,XW03372,PROC
ANDEXAXA,XW04372,PROC
AZEDRA,XW033S5,PROC
AZEDRA,XW043S5,PROC
BALVERSA,XW0DXL5,PROC
BAROSTIM1,0JH60MZ,PROC
BAROSTIM2,03HK3MZ,PROC
BAROSTIM2,03HL3MZ,PROC
CABLIVI,XW013W5,PROC
CABLIVI,XW033W5,PROC
CABLIVI,XW043W5,PROC
CONTACT,4A03X5D,PROC
COVID1,B9729,DIAG
COVID1,XW033E5,PROC
COVID1,XW043E5,PROC
COVID1,XW13325,PROC
COVID1,XW14325,PROC
COVID1,ZA,COND
COVID2,3E0G7GC,PROC
COVID2,3E0H7GC,PROC
COVID2,U071,DIAG
COVID2,XW0DXF5,PROC
COVID3,XW0DXM6,PROC
COVID3,XW0G7M6,PROC
COVID3,XW0H7M6,PROC
ELUVIA,X27H385,PROC
ELUVIA,X27H395,PROC
ELUVIA,X27H3B5,PROC
ELUVIA,X27H3C5,PROC
ELUVIA,X27J385,PROC
ELUVIA,X27J395,PROC
ELUVIA,X27J3B5,PROC
ELUVIA,X27J3C5,PROC
ELUVIA,X27K385,PROC
ELUVIA,X27K395,PROC
ELUVIA,X27K3B5,PROC
ELUVIA,X27K3C5,PROC
ELUVIA,X27L385,PROC
ELUVIA,X27L395,PROC
ELUVIA,X27L3B5,PROC
ELUVIA,X27L3C5,PROC
ELZONRIS,XW033Q5,PROC
ELZONRIS,XW043Q5,PROC
FETROJA,XW033A6,PROC
FETROJA,XW043A6,PROC
HEMOSPRAY,XW0G886,PROC
HEMOSPRAY,XW0H886,PROC
IMFINZI,XW03336,PROC
IMFINZI,XW04336,PROC
ISLET,3E030U1,PROC
ISLET,3E033U1,PROC
ISLET,3E0J3U1,PROC
ISLET,3E0J7U1,PROC
ISLET,3E0J8U1,PROC
ISLET,Z006,DIAG
JAKAFI,XW0DXT5,PROC
NOCOSTPROD1,Z006,DIAG
NOCOSTPROD1,ZB,COND
NOCOSTPROD2,ZC,COND
NUZYRA,XW033B6,PROC
NUZYRA,XW043B6,PROC
OPTIMIZER,0JH60AZ,PROC
OPTIMIZER,0JH63AZ,PROC
OPTIMIZER,0JH80AZ,PROC
OPTIMIZER,0JH83AZ,PROC
RECARBRIO,XW033U5,PROC
RECARBRIO,XW043U5,PROC
SOLIRIS,XW033C6,PROC
SOLIRIS,XW043C6,PROC
SPINEJACK,XNU0356,PROC
SPINEJACK,XNU4356,PROC
SPRAVATO,XW097M5,PROC
T2BACTERIA,XXE5XM5,PROC
TECENTRIQ,XW033D6,PROC
TECENTRIQ,XW043D6,PROC
XENLETA,XW03366,PROC
XENLETA,XW04366,PROC
XENLETA,XW0DX66,PROC
XOSPATA,XW0DXV5,PROC
ZEMDRI,XW033G4,PROC
ZEMDRI,XW043G4,PROC
ZERBAXA,XW03396,PROC
ZERBAXA,XW04396,PROC
