cbsa,size,effectiveDate,geographicWageIndex,reclassifiedWageIndex,name
21300,,20191001,00.8643,00.8643,Elmira NY
21340,,20191001,00.7766,00.7766,El Paso TX
21420,,20191001,00.8751,00.8751,Enid OK
21500,,20191001,00.7676,00.7676,Erie PA
21660,,20191001,01.2311,01.1997,Eugene OR
21780,,20191001,00.9171,00.8950,Evansville IN-KY
21820,,20191001,01.0749,01.0749,Fairbanks AK
22020,,20191001,00.8071,00.8071,Fargo ND-MN
22140,,20191001,00.9332,00.9332,Farmington NM
22180,,20191001,00.8749,00.8749,Fayetteville NC
22220,,20191001,00.8316,00.8048,Fayetteville-Springdale-Rogers AR-MO
22380,,20191001,01.0590,01.0267,Flagstaff AZ
22420,,20191001,01.0965,01.0253,Flint MI
22500,,20191001,00.7948,00.7948,Florence SC
22520,,20191001,00.6522,00.6522,Florence-Muscle Shoals AL
22540,,20191001,00.8778,00.8778,Fond du Lac WI
22660,,20191001,00.9684,00.9684,Fort Collins CO
22744,,20191001,00.9419,00.9212,Fort Lauderdale-Pompano Beach-Deerfield Beach F
22900,,20191001,00.7773,00.7773,Fort Smith AR-OK
23060,,20191001,00.8703,00.8703,Fort Wayne IN
23104,,20191001,00.9707,00.9707,Fort Worth-Arlington TX
23420,,20191001,01.1403,01.1403,Fresno CA
23460,,20191001,00.6700,00.6700,Gadsden AL
23540,,20191001,00.9171,00.8887,Gainesville FL
23580,,20191001,00.8839,00.8839,Gainesville GA
23844,,20191001,00.9359,00.9359,Gary IN
23900,,20191001,01.0382,00.9729,Gettysburg PA
24020,,20191001,00.8203,00.8203,Glens Falls NY
24140,,20191001,00.8550,00.8550,Goldsboro NC
24220,,20191001,00.8128,00.8128,Grand Forks ND-MN
24260,,20191001,00.9666,00.9666,Grand Island NE
24300,,20191001,00.9394,00.9394,Grand Junction CO
24340,,20191001,00.8977,00.8977,Grand Rapids-Wyoming MI
24420,,20191001,01.0083,01.0083,Grants Pass OR
24500,,20191001,00.8380,00.8380,Great Falls MT
24540,,20191001,00.9106,00.9106,Greeley CO
24580,,20191001,00.9300,00.9092,Green Bay WI
24660,,20191001,00.8948,00.8673,Greensboro-High Point NC
24780,,20191001,00.9435,00.9062,Greenville NC
24860,,20191001,00.8882,00.8882,Greenville-Anderson-Mauldin SC
25020,,20191001,00.3555,00.3555,Guayama PR
25060,,20191001,00.7652,00.7652,Gulfport-Biloxi-Pascagoula MS
25180,,20191001,00.9038,00.9038,Hagerstown-Martinsburg MD-WV
25220,,20191001,00.8313,00.8101,Hammond LA
25260,,20191001,01.0463,01.0463,Hanford-Corcoran CA
25420,,20191001,00.9524,00.9524,Harrisburg-Carlisle PA
25500,,20191001,00.9451,00.9451,Harrisonburg VA
25540,,20191001,01.0860,01.0860,Hartford-West Hartford-East Hartford CT
25620,,20191001,00.7573,00.7573,Hattiesburg MS
25860,,20191001,00.8792,00.8618,Hickory-Lenoir-Morganton NC
25940,,20191001,00.7750,00.7750,Hilton Head Island-Bluffton-Beaufort SC
25980,,20191001,00.8916,00.8916,Hinesville GA
26140,,20191001,00.8234,00.8234,Homosassa Springs FL
26300,,20191001,00.8480,00.8480,Hot Springs AR
26380,,20191001,00.7500,00.7500,Houma-Thibodaux LA
26420,,20191001,01.0021,00.9912,Houston-The Woodlands-Sugar Land TX
26580,,20191001,00.8392,00.8392,Huntington-Ashland WV-KY-OH
26620,,20191001,00.8266,00.7805,Huntsville AL
26820,,20191001,00.8758,00.8758,Idaho Falls ID
26900,,20191001,01.0106,00.9939,Indianapolis-Carmel-Anderson IN
