tableNumber,scope,largeUrban,regLabor,regNLabor
tab1,nat,1,04071.57,1889.74
tab1,nat,2,04071.57,1889.74
tab1,pr,1,0000000,0000000
tab1,pr,2,0000000,0000000
tab1,natpr,1,0000000,0000000
tab1,natpr,2,0000000,0000000
tab2,nat,1,04047.71,1878.67
tab2,nat,2,04047.71,1878.67
tab2,pr,1,0000000,0000000
tab2,pr,2,0000000,0000000
tab2,natpr,1,0000000,0000000
tab2,natpr,2,0000000,0000000
tab3,nat,1,03696.01,2265.30
tab3,nat,2,03696.01,2265.30
tab3,pr,1,0000000,0000000
tab3,pr,2,0000000,0000000
tab3,natpr,1,0000000,0000000
tab3,natpr,2,0000000,0000000
tab4,nat,1,03674.36,2252.02
tab4,nat,2,03674.36,2252.02
tab4,pr,1,0000000,0000000
tab4,pr,2,0000000,0000000
tab4,natpr,1,0000000,0000000
tab4,natpr,2,0000000,0000000
tab5,nat,1,04000.00,1856.52
tab5,nat,2,04000.00,1856.52
tab5,pr,1,0000000,0000000
tab5,pr,2,0000000,0000000
tab5,natpr,1,0000000,0000000
tab5,natpr,2,0000000,0000000
tab6,nat,1,03976.14,1845.45
tab6,nat,2,03976.14,1845.45
tab6,pr,1,0000000,0000000
tab6,pr,2,0000000,0000000
tab6,natpr,1,0000000,0000000
tab6,natpr,2,0000000,0000000
tab7,nat,1,03631.04,2225.48
tab7,nat,2,03631.04,2225.48
tab7,pr,1,0000000,0000000
tab7,pr,2,0000000,0000000
tab7,natpr,1,0000000,0000000
tab7,natpr,2,0000000,0000000
tab8,nat,1,03609.39,2212.20
tab8,nat,2,03609.39,2212.20
tab8,pr,1,0000000,0000000
tab8,pr,2,0000000,0000000
tab8,natpr,1,0000000,0000000
tab8,natpr,2,0000000,0000000
