technologyName,amount,adjustmentFactor
ANDEXAXA,14062.5,0.50
AQUABEAM,1250.00,0.50
DEFITELIO,80500.00,0.50
GIAPREZA,1500.00,0.50
KYMRIAH,186500.00,0.50
REMEDE,17250.00,0.50
SENTINEL,1400.00,0.50
STELARA,2400.00,0.50
VYXEOS,36425.00,0.50
ZEMDRI,2722.50,0.50
ZINPLAVA,1900.00,0.50
VABOMERE,5544.00,0.50
