tableNumber,scope,largeUrban,regLabor,regNLabor
tab1,nat,1,04478.09,2146.30
tab1,nat,2,04478.09,2146.30
tab1,pr,1,0000000,0000000
tab1,pr,2,0000000,0000000
tab1,natpr,1,0000000,0000000
tab1,natpr,2,0000000,0000000
tab2,nat,1,04441.10,2128.57
tab2,nat,2,04441.10,2128.57
tab2,pr,1,0000000,0000000
tab2,pr,2,0000000,0000000
tab2,natpr,1,0000000,0000000
tab2,natpr,2,0000000,0000000
tab3,nat,1,04107.12,2517.27
tab3,nat,2,04107.12,2517.27
tab3,pr,1,0000000,0000000
tab3,pr,2,0000000,0000000
tab3,natpr,1,0000000,0000000
tab3,natpr,2,0000000,0000000
tab4,nat,1,04073.20,2496.47
tab4,nat,2,04073.20,2496.47
tab4,pr,1,0000000,0000000
tab4,pr,2,0000000,0000000
tab4,natpr,1,0000000,0000000
tab4,natpr,2,0000000,0000000
tab5,nat,1,04367.12,2093.11
tab5,nat,2,04367.12,2093.11
tab5,pr,1,0000000,0000000
tab5,pr,2,0000000,0000000
tab5,natpr,1,0000000,0000000
tab5,natpr,2,0000000,0000000
tab6,nat,1,04330.13,2075.38
tab6,nat,2,04330.13,2075.38
tab6,pr,1,0000000,0000000
tab6,pr,2,0000000,0000000
tab6,natpr,1,0000000,0000000
tab6,natpr,2,0000000,0000000
tab7,nat,1,04005.34,2454.89
tab7,nat,2,04005.34,2454.89
tab7,pr,1,0000000,0000000
tab7,pr,2,0000000,0000000
tab7,natpr,1,0000000,0000000
tab7,natpr,2,0000000,0000000
tab8,nat,1,03971.42,2434.09
tab8,nat,2,03971.42,2434.09
tab8,pr,1,0000000,0000000
tab8,pr,2,0000000,0000000
tab8,natpr,1,0000000,0000000
tab8,natpr,2,0000000,0000000
tab9,nat,1,04107.12,2517.27
tab9,nat,2,04107.12,2517.27
tab9,pr,1,0000000,0000000
tab9,pr,2,0000000,0000000
tab9,natpr,1,0000000,0000000
tab9,natpr,2,0000000,0000000
tab10,nat,1,04005.34,02454.89
tab10,nat,2,04005.34,02454.89
tab10,pr,1,0000000,0000000
tab10,pr,2,0000000,0000000
tab10,natpr,1,0000000,0000000
tab10,natpr,2,0000000,0000000
