tableNumber,scope,largeUrban,regLabor,regNLabor
tab1,nat,1,04392.49,2105.28
tab1,nat,2,04392.49,2105.28
tab1,pr,1,0000000,0000000
tab1,pr,2,0000000,0000000
tab1,natpr,1,0000000,0000000
tab1,natpr,2,0000000,0000000
tab2,nat,1,04357.34,2088.43
tab2,nat,2,04357.34,2088.43
tab2,pr,1,0000000,0000000
tab2,pr,2,0000000,0000000
tab2,natpr,1,0000000,0000000
tab2,natpr,2,0000000,0000000
tab3,nat,1,04028.62,2469.15
tab3,nat,2,04028.62,2469.15
tab3,pr,1,0000000,0000000
tab3,pr,2,0000000,0000000
tab3,natpr,1,0000000,0000000
tab3,natpr,2,0000000,0000000
tab4,nat,1,03996.38,2449.39
tab4,nat,2,03996.38,2449.39
tab4,pr,1,0000000,0000000
tab4,pr,2,0000000,0000000
tab4,natpr,1,0000000,0000000
tab4,natpr,2,0000000,0000000
tab5,nat,1,04287.05,2054.74
tab5,nat,2,04287.05,2054.74
tab5,pr,1,0000000,0000000
tab5,pr,2,0000000,0000000
tab5,natpr,1,0000000,0000000
tab5,natpr,2,0000000,0000000
tab6,nat,1,04251.90,2037.89
tab6,nat,2,04251.90,2037.89
tab6,pr,1,0000000,0000000
tab6,pr,2,0000000,0000000
tab6,natpr,1,0000000,0000000
tab6,natpr,2,0000000,0000000
tab7,nat,1,03931.91,2409.88
tab7,nat,2,03931.91,2409.88
tab7,pr,1,0000000,0000000
tab7,pr,2,0000000,0000000
tab7,natpr,1,0000000,0000000
tab7,natpr,2,0000000,0000000
tab8,nat,1,03899.67,2390.12
tab8,nat,2,03899.67,2390.12
tab8,pr,1,0000000,0000000
tab8,pr,2,0000000,0000000
tab8,natpr,1,0000000,0000000
tab8,natpr,2,0000000,0000000
tab9,nat,1,04028.62,2469.15
tab9,nat,2,04028.62,2469.15
tab9,pr,1,0000000,0000000
tab9,pr,2,0000000,0000000
tab9,natpr,1,0000000,0000000
tab9,natpr,2,0000000,0000000
tab10,nat,1,03931.91,02409.88
tab10,nat,2,03931.91,02409.88
tab10,pr,1,0000000,0000000
tab10,pr,2,0000000,0000000
tab10,natpr,1,0000000,0000000
tab10,natpr,2,0000000,0000000
