diagnosticRelatedGroup,effectiveDate,weight,geometricMeanLengthOfStay,lowVolumeDrg,arithmeticMeanLengthOfStay,postAcuteCare,specialPaymentPostAcuteCare,description
001,20261001,28.0239,25.8,,36.2,,,HEART TRANSPLANT OR IMPLAN
002,20261001,11.3318,8.5,,14.0,,,HEART TRANSPLANT OR IMPLAN
003,20261001,21.2252,22.9,,33.0,Y,,ECMO OR TRACHEOSTOMY WITH
004,20261001,13.8514,22.4,,28.0,Y,,TRACHEOSTOMY WITH MV >96 H
005,20261001,10.3105,14.0,,19.1,,,LIVER TRANSPLANT WITH MCC
006,20261001,4.6370,7.1,,7.8,,,LIVER TRANSPLANT WITHOUT M
007,20261001,12.9502,19.7,,23.5,,,LUNG TRANSPLANT
008,20261001,5.6046,8.5,,10.0,,,SIMULTANEOUS PANCREAS AND
010,20261001,7.1757,5.9,,6.0,,,PANCREAS TRANSPLANT
011,20261001,5.4541,11.4,,13.9,,,"TRACHEOSTOMY FOR FACE, MOU"
012,20261001,4.2160,8.6,,9.8,,,"TRACHEOSTOMY FOR FACE, MOU"
013,20261001,2.8818,6.5,,7.1,,,"TRACHEOSTOMY FOR FACE, MOU"
014,20261001,12.0179,25.7,,28.7,,,ALLOGENEIC BONE MARROW TRA
016,20261001,5.9297,16.1,,17.2,,,AUTOLOGOUS BONE MARROW TRA
017,20261001,5.4323,8.3,,11.5,,,AUTOLOGOUS BONE MARROW TRA
018,20261001,43.1828,12.4,,14.7,,,CHIMERIC ANTIGEN RECEPTOR
019,20261001,7.1346,10.1,,11.8,,,SIMULTANEOUS PANCREAS AND
020,20261001,7.8688,8.8,,12.5,,,INTRACRANIAL VASCULAR PROC
021,20261001,5.2938,4.9,,7.8,,,INTRACRANIAL VASCULAR PROC
022,20261001,3.1774,1.7,,2.4,,,INTRACRANIAL VASCULAR PROC
023,20261001,5.7303,7.1,,10.0,Y,Y,CRANIOTOMY WITH MAJOR DEVI
024,20261001,3.9119,3.7,,4.9,Y,Y,CRANIOTOMY WITH MAJOR DEVI
025,20261001,4.5467,6.4,,8.6,Y,,CRANIOTOMY AND ENDOVASCULA
026,20261001,3.1092,2.8,,4.1,Y,,CRANIOTOMY AND ENDOVASCULA
027,20261001,2.5229,1.5,,2.0,Y,,CRANIOTOMY AND ENDOVASCULA
028,20261001,6.0083,9.5,,12.2,Y,Y,SPINAL PROCEDURES WITH MCC
029,20261001,3.4116,4.7,,6.2,Y,Y,SPINAL PROCEDURES WITH CC
030,20261001,2.1952,2.6,,3.3,Y,Y,SPINAL PROCEDURES WITHOUT
031,20261001,4.4805,7.0,,10.6,Y,,VENTRICULAR SHUNT PROCEDUR
032,20261001,2.1310,2.5,,3.7,Y,,VENTRICULAR SHUNT PROCEDUR
033,20261001,1.6629,1.5,,1.9,Y,,VENTRICULAR SHUNT PROCEDUR
034,20261001,3.8707,4.7,,6.7,,,CAROTID ARTERY STENT PROCE
035,20261001,2.3905,1.9,,2.7,,,CAROTID ARTERY STENT PROCE
036,20261001,1.9428,1.2,,1.4,,,CAROTID ARTERY STENT PROCE
037,20261001,3.2921,4.7,,7.2,,,EXTRACRANIAL PROCEDURES WI
038,20261001,1.6226,1.9,,2.7,,,EXTRACRANIAL PROCEDURES WI
039,20261001,1.1755,1.2,,1.4,,,EXTRACRANIAL PROCEDURES WI
040,20261001,3.8612,7.2,,10.7,Y,Y,"PERIPHERAL, CRANIAL NERVE"
041,20261001,2.1987,3.8,,4.8,Y,Y,"PERIPHERAL, CRANIAL NERVE"
042,20261001,1.7277,2.3,,2.9,Y,Y,"PERIPHERAL, CRANIAL NERVE"
052,20261001,1.8113,4.1,,5.7,,,SPINAL DISORDERS AND INJUR
053,20261001,0.9792,2.6,,3.3,,,SPINAL DISORDERS AND INJUR
054,20261001,1.5269,4.0,,5.7,Y,,NERVOUS SYSTEM NEOPLASMS W
055,20261001,1.0196,2.9,,3.9,Y,,NERVOUS SYSTEM NEOPLASMS W
056,20261001,2.3231,5.7,,9.1,Y,,DEGENERATIVE NERVOUS SYSTE
057,20261001,1.2956,3.8,,5.9,Y,,DEGENERATIVE NERVOUS SYSTE
058,20261001,1.7095,4.6,,6.3,,,MULTIPLE SCLEROSIS AND CER
059,20261001,1.2409,3.6,,4.8,,,MULTIPLE SCLEROSIS AND CER
060,20261001,0.9198,2.9,,3.6,,,MULTIPLE SCLEROSIS AND CER
061,20261001,2.7571,4.7,,6.2,,,"ISCHEMIC STROKE, PRECEREBR"
062,20261001,1.7572,3.0,,3.6,,,"ISCHEMIC STROKE, PRECEREBR"
