tableNumber,scope,largeUrban,regLabor,regNLabor
tab1,nat,1,04310.00,2065.74
tab1,nat,2,04310.00,2065.74
tab1,pr,1,0000000,0000000
tab1,pr,2,0000000,0000000
tab1,natpr,1,0000000,0000000
tab1,natpr,2,0000000,0000000
tab2,nat,1,04267.44,2045.34
tab2,nat,2,04267.44,2045.34
tab2,pr,1,0000000,0000000
tab2,pr,2,0000000,0000000
tab2,natpr,1,0000000,0000000
tab2,natpr,2,0000000,0000000
tab3,nat,1,03952.96,2422.78
tab3,nat,2,03952.96,2422.78
tab3,pr,1,0000000,0000000
tab3,pr,2,0000000,0000000
tab3,natpr,1,0000000,0000000
tab3,natpr,2,0000000,0000000
tab4,nat,1,03913.92,2398.86
tab4,nat,2,03913.92,2398.86
tab4,pr,1,0000000,0000000
tab4,pr,2,0000000,0000000
tab4,natpr,1,0000000,0000000
tab4,natpr,2,0000000,0000000
tab5,nat,1,04182.32,2004.54
tab5,nat,2,04182.32,2004.54
tab5,pr,1,0000000,0000000
tab5,pr,2,0000000,0000000
tab5,natpr,1,0000000,0000000
tab5,natpr,2,0000000,0000000
tab6,nat,1,04139.76,1984.15
tab6,nat,2,04139.76,1984.15
tab6,pr,1,0000000,0000000
tab6,pr,2,0000000,0000000
tab6,natpr,1,0000000,0000000
tab6,natpr,2,0000000,0000000
tab7,nat,1,03835.85,2351.01
tab7,nat,2,03835.85,2351.01
tab7,pr,1,0000000,0000000
tab7,pr,2,0000000,0000000
tab7,natpr,1,0000000,0000000
tab7,natpr,2,0000000,0000000
tab8,nat,1,03796.82,2327.09
tab8,nat,2,03796.82,2327.09
tab8,pr,1,0000000,0000000
tab8,pr,2,0000000,0000000
tab8,natpr,1,0000000,0000000
tab8,natpr,2,0000000,0000000
tab9,nat,1,03952.96,2422.78
tab9,nat,2,03952.96,2422.78
tab9,pr,1,0000000,0000000
tab9,pr,2,0000000,0000000
tab9,natpr,1,0000000,0000000
tab9,natpr,2,0000000,0000000
tab10,nat,1,03874.89,02374.93
tab10,nat,2,03874.89,02374.93
tab10,pr,1,0000000,0000000
tab10,pr,2,0000000,0000000
tab10,natpr,1,0000000,0000000
tab10,natpr,2,0000000,0000000
