cbsa,size,effectiveDate,geographicWageIndex,reclassifiedWageIndex,name
01,,20181001,00.6704,00.6704,ALABAMA
02,,20181001,01.2130,01.2130,ALASKA
03,,20181001,01.0528,01.0528,ARIZONA
04,,20181001,00.7098,00.7098,ARKANSAS
05,,20181001,01.2500,01.2500,CALIFORNIA
06,,20181001,00.9937,00.9726,COLORADO
07,,20181001,01.2575,01.2575,CONNECTICUT
10,,20181001,00.8128,00.7684,FLORIDA
11,,20181001,00.7313,00.7313,GEORGIA
12,,20181001,01.2595,01.2595,HAWAII
13,,20181001,00.7812,00.7812,IDAHO
14,,20181001,00.8486,00.8486,ILLINOIS
15,,20181001,00.8189,00.8189,INDIANA
16,,20181001,00.8249,00.8249,IOWA
17,,20181001,00.7718,00.7718,KANSAS
18,,20181001,00.7965,00.7965,KENTUCKY
19,,20181001,00.7067,00.7067,LOUISIANA
20,,20181001,00.8804,00.8804,MAINE
21,,20181001,00.8763,00.8763,MARYLAND
22,,20181001,01.3545,01.3545,MASSACHUSETTS
23,,20181001,00.8469,00.8469,MICHIGAN
24,,20181001,00.9013,00.8628,MINNESOTA
25,,20181001,00.7197,00.7197,MISSISSIPPI
26,,20181001,00.7698,00.7698,MISSOURI
27,,20181001,01.0000,00.8343,MONTANA
28,,20181001,00.8747,00.8591,NEBRASKA
29,,20181001,01.0000,01.0000,NEVADA
30,,20181001,01.0956,01.0474,NEW HAMPSHIRE
32,,20181001,00.8588,00.8588,NEW MEXICO
33,,20181001,00.8640,00.8442,NEW YORK
34,,20181001,00.7850,00.7850,NORTH CAROLINA
35,,20181001,01.0000,00.8663,NORTH DAKOTA
36,,20181001,00.7993,00.7993,OHIO
37,,20181001,00.7706,00.7706,OKLAHOMA
38,,20181001,01.0634,01.0634,OREGON
39,,20181001,00.7894,00.7894,PENNSYLVANIA
40,,20181001,00.3711,00.3711,PUERTO RICO
42,,20181001,00.8048,00.8048,SOUTH CAROLINA
43,,20181001,01.0000,00.7912,SOUTH DAKOTA
44,,20181001,00.7101,00.7101,TENNESSEE
45,,20181001,00.8106,00.8106,TEXAS
46,,20181001,00.8738,00.8738,UTAH
47,,20181001,00.9825,00.9086,VERMONT
49,,20181001,00.7575,00.7364,VIRGINIA
50,,20181001,01.0314,01.0292,WASHINGTON
51,,20181001,00.7335,00.7335,WEST VIRGINIA
52,,20181001,00.9221,00.9221,WISCONSIN
53,,20181001,01.0000,00.9267,WYOMING
98,,19910101,01.9343,01.9343,ALASKA INDIAN
99,,19910101,01.4448,01.4448,LOWER-48 INDIAN
10180,,20181001,00.8247,00.8247,Abilene TX
10380,,20181001,00.3186,00.3186,Aguadilla-Isabela PR
10420,,20181001,00.8136,00.8136,Akron OH
10500,,20181001,00.8521,00.8362,Albany GA
10540,,20181001,01.0945,01.0945,Albany OR
10580,,20181001,00.8138,00.8138,Albany-Schenectady-Troy NY
10740,,20181001,00.9073,00.9073,Albuquerque NM
10780,,20181001,00.8894,00.8684,Alexandria LA
10900,,20181001,00.9534,00.9150,Allentown-Bethlehem-Easton PA-NJ
11020,,20181001,01.0112,01.0112,Altoona PA
11100,,20181001,00.8154,00.8154,Amarillo TX
11180,,20181001,00.9366,00.8731,Ames IA
11244,,20181001,01.2213,01.1940,Anaheim-Santa Ana-Irvine CA
11260,,20181001,01.2000,01.2000,Anchorage AK
11460,,20181001,01.0129,00.9481,Ann Arbor MI
11500,,20181001,00.7542,00.7542,Anniston-Oxford-Jacksonville AL
11540,,20181001,00.9335,00.9335,Appleton WI
11640,,20181001,00.3640,00.3640,Arecibo PR
11700,,20181001,00.8959,00.8463,Asheville NC
12020,,20181001,00.8571,00.8571,Athens-Clarke County GA
12060,,20181001,00.9350,00.9208,Atlanta-Sandy Springs-Roswell GA
12100,,20181001,01.2656,01.1897,Atlantic City-Hammonton NJ
12220,,20181001,00.7435,00.7435,Auburn-Opelika AL
12260,,20181001,00.8690,00.8557,Augusta-Richmond County GA-SC
12420,,20181001,00.9417,00.9250,Austin-Round Rock TX
12540,,20181001,01.2139,01.2139,Bakersfield CA
12580,,20181001,00.9463,00.9463,Baltimore-Columbia-Towson MD
12620,,20181001,01.0045,01.0045,Bangor ME
12700,,20181001,01.3113,01.3113,Barnstable Town MA
12940,,20181001,00.7971,00.7971,Baton Rouge LA
12980,,20181001,00.9502,00.9502,Battle Creek MI
13020,,20181001,00.9593,00.9593,Bay City MI
13140,,20181001,00.8878,00.8548,Beaumont-Port Arthur TX
13220,,20181001,00.8003,00.8003,Beckley WV
13380,,20181001,01.2073,01.2073,Bellingham WA
13460,,20181001,01.1321,01.1321,Bend-Redmond OR
13740,,20181001,00.8954,00.8954,Billings MT
13780,,20181001,00.8570,00.8570,Binghamton NY
13820,,20181001,00.8036,00.7845,Birmingham-Hoover AL
13900,,20181001,00.8547,00.8547,Bismarck ND
13980,,20181001,00.8295,00.7801,Blacksburg-Christiansburg-Radford VA
14010,,20181001,00.9292,00.9292,Bloomington IL
14020,,20181001,00.9457,00.9457,Bloomington IN
14100,,20181001,00.9086,00.9086,Bloomsburg-Berwick PA
14260,,20181001,00.9657,00.9657,Boise City ID
14454,,20181001,01.2723,01.2200,Boston MA
14500,,20181001,01.0174,01.0174,Boulder CO
14540,,20181001,00.8100,00.8100,Bowling Green KY
14740,,20181001,01.0867,01.0368,Bremerton-Silverdale WA
14860,,20181001,01.2660,01.2660,Bridgeport-Stamford-Norwalk CT
15180,,20181001,00.8760,00.8760,Brownsville-Harlingen TX
15260,,20181001,00.8311,00.7994,Brunswick GA
15380,,20181001,01.0280,00.9830,Buffalo-Cheektowaga-Niagara Falls NY
15500,,20181001,00.8419,00.8419,Burlington NC
15540,,20181001,01.0175,01.0175,Burlington-South Burlington VT
15680,,20181001,00.8593,00.8593,California-Lexington Park MD
15764,,20181001,01.1244,01.1244,Cambridge-Newton-Framingham MA
15804,,20181001,01.0713,01.0713,Camden NJ
15940,,20181001,00.7801,00.7801,Canton-Massillon OH
15980,,20181001,00.9341,00.9064,Cape Coral-Fort Myers FL
16020,,20181001,00.7920,00.7786,Cape Girardeau MO-IL
16060,,20181001,00.8167,00.7967,Carbondale-Marion IL
16180,,20181001,01.0317,00.9997,Carson City NV
16220,,20181001,00.8948,00.8948,Casper WY
16300,,20181001,00.8553,00.8553,Cedar Rapids IA
16540,,20181001,01.1747,01.1386,Chambersburg-Waynesboro PA
16580,,20181001,00.8708,00.8467,Champaign-Urbana IL
16620,,20181001,00.8436,00.8336,Charleston WV
16700,,20181001,00.8778,00.8778,Charleston-North Charleston SC
16740,,20181001,00.9422,00.9298,Charlotte-Concord-Gastonia NC-SC
16820,,20181001,00.9097,00.8969,Charlottesville VA
16860,,20181001,00.8519,00.8331,Chattanooga TN-GA
16940,,20181001,00.9389,00.8979,Cheyenne WY
16974,,20181001,01.0413,01.0263,Chicago-Naperville-Arlington Heights IL
17020,,20181001,01.1474,01.1474,Chico CA
17140,,20181001,00.9203,00.9203,Cincinnati OH-KY-IN
17300,,20181001,00.7312,00.7312,Clarksville TN-KY
