cbsa,effectiveDate,geographicWageIndex,name,imputedFloorWageIndex,reclassifiedWageIndex,ruralFloorWageIndex,size
01,20260101,0.7145,Alabama,,,,
02,20260101,1.0775,Alaska,,,,
03,20260101,0.9545,Arizona,,,,
04,20260101,0.7526,Arkansas,,,,
05,20260101,1.1878,California,,,,
06,20260101,0.9528,Colorado,,,,
07,20260101,0.9803,Connecticut,,,,
08,20260101,1.0306,Delaware,,,,
10,20260101,0.8693,Florida,,,,
11,20260101,0.8669,Georgia,,,,
12,20260101,1.0889,Hawaii,,,,
13,20260101,0.9101,Idaho,,,,
14,20260101,0.8672,Illinois,,,,
15,20260101,0.8390,Indiana,,,,
16,20260101,0.8157,Iowa,,,,
17,20260101,0.8134,Kansas,,,,
18,20260101,0.8008,Kentucky,,,,
19,20260101,0.7661,Louisiana,,,,
20,20260101,0.9402,Maine,,,,
21,20260101,0.9302,Maryland,,,,
22,20260101,1.0417,Massachusetts,,,,
23,20260101,0.8539,Michigan,,,,
24,20260101,0.9260,Minnesota,,,,
25,20260101,0.7406,Mississippi,,,,
26,20260101,0.7754,Missouri,,,,
27,20260101,0.9151,Montana,,,,
28,20260101,0.8205,Nebraska,,,,
29,20260101,0.9435,Nevada,,,,
30,20260101,1.0341,New Hampshire,,,,
32,20260101,0.9274,New Mexico,,,,
33,20260101,0.9028,New York,,,,
34,20260101,0.8074,North Carolina,,,,
35,20260101,0.8821,North Dakota,,,,
36,20260101,0.8282,Ohio,,,,
37,20260101,0.8041,Oklahoma,,,,
38,20260101,1.0775,Oregon,,,,
39,20260101,0.8318,Pennsylvania,,,,
40,20260101,0.6000,Puerto Rico,,,,
42,20260101,0.8114,South Carolina,,,,
43,20260101,0.7966,South Dakota,,,,
44,20260101,0.7660,Tennessee,,,,
45,20260101,0.8450,Texas,,,,
46,20260101,0.8926,Utah,,,,
47,20260101,0.9454,Vermont,,,,
48,20260101,0.7890,Virgin Islands,,,,
49,20260101,0.8248,Virginia,,,,
50,20260101,1.0644,Washington,,,,
51,20260101,0.8033,West Virginia,,,,
52,20260101,0.9246,Wisconsin,,,,
53,20260101,0.8997,Wyoming,,,,
64,20260101,0.8398,American Samoa,,,,
65,20260101,0.7768,Guam,,,,
66,20260101,0.8398,Northern Mariana Islands,,,,
10180,20260101,0.8728,"Abilene, TX",,,,
10380,20260101,0.6000,"Aguadilla, PR",,,,
10420,20260101,0.9007,"Akron, OH",,,,
10500,20260101,0.8982,"Albany, GA",,,,
10540,20260101,1.1544,"Albany, OR",,,,
