cbsa,effectiveDate,geographicWageIndex,name,imputedFloorWageIndex,reclassifiedWageIndex,ruralFloorWageIndex,size
16300,20220101,0.8656,"Cedar Rapids, IA",,,,
16540,20220101,1.1058,"Chambersburg-Waynesboro, PA",,,,
16580,20220101,0.8680,"Champaign-Urbana, IL",,,,
16620,20220101,0.8212,"Charleston, WV",,,,
16700,20220101,0.9245,"Charleston-North Charleston, SC",,,,
16740,20220101,0.9493,"Charlotte-Concord-Gastonia, NC-SC",,,,
16820,20220101,0.9327,"Charlottesville, VA",,,,
16860,20220101,0.8553,"Chattanooga, TN-GA",,,,
16940,20220101,0.8910,"Cheyenne, WY",,,,
16984,20220101,1.0372,"Chicago-Naperville-Evanston, IL",,,,
17020,20220101,1.1159,"Chico, CA",,,,
17140,20220101,0.9424,"Cincinnati, OH-KY-IN",,,,
17300,20220101,0.7399,"Clarksville, TN-KY",,,,
17420,20220101,0.7393,"Cleveland, TN",,,,
17460,20220101,0.8934,"Cleveland-Elyria, OH",,,,
17660,20220101,0.9162,"Coeur d'Alene, ID",,,,
17780,20220101,0.8349,"College Station-Bryan, TX",,,,
17820,20220101,0.9534,"Colorado Springs, CO",,,,
17860,20220101,0.8555,"Columbia, MO",,,,
17900,20220101,0.8624,"Columbia, SC",,,,
17980,20220101,0.7790,"Columbus, GA-AL",,,,
18020,20220101,1.0187,"Columbus, IN",,,,
18140,20220101,0.9469,"Columbus, OH",,,,
18580,20220101,0.9458,"Corpus Christi, TX",,,,
18700,20220101,1.0875,"Corvallis, OR",,,,
18880,20220101,0.8887,"Crestview-Fort Walton Beach-Destin, FL",,,,
19060,20220101,0.9024,"Cumberland, MD-WV",,,,
19124,20220101,0.9699,"Dallas-Plano-Irving, TX",,,,
19140,20220101,0.9052,"Dalton, GA",,,,
19180,20220101,0.9407,"Danville, IL",,,,
19300,20220101,0.7238,"Daphne-Fairhope-Foley, AL",,,,
19340,20220101,0.8373,"Davenport-Moline-Rock Island, IA-IL",,,,
19430,20220101,0.9353,"Dayton-Kettering, OH",,,,
19460,20220101,0.6748,"Decatur, AL",,,,
19500,20220101,0.8353,"Decatur, IL",,,,
19660,20220101,0.8338,"Deltona-Daytona Beach-Ormond Beach, FL",,,,
19740,20220101,0.9942,"Denver-Aurora-Lakewood, CO",,,,
19780,20220101,0.8917,"Des Moines-West Des Moines, IA",,,,
19804,20220101,0.8929,"Detroit-Dearborn-Livonia, MI",,,,
20020,20220101,0.6853,"Dothan, AL",,,,
20100,20220101,1.0142,"Dover, DE",,,,
20220,20220101,0.8558,"Dubuque, IA",,,,
20260,20220101,0.9748,"Duluth, MN-WI",,,,
20500,20220101,0.9680,"Durham-Chapel Hill, NC",,,,
20700,20220101,0.8813,"East Stroudsburg, PA",,,,
20740,20220101,1.0486,"Eau Claire, WI",,,,
20940,20220101,0.9147,"El Centro, CA",,,,
20994,20220101,1.0232,"Elgin, IL",,,,
21060,20220101,0.7743,"Elizabethtown-Fort Knox, KY",,,,
21140,20220101,1.0095,"Elkhart-Goshen, IN",,,,
21300,20220101,0.9179,"Elmira, NY",,,,
21340,20220101,0.8055,"El Paso, TX",,,,
21420,20220101,0.8407,"Enid, OK",,,,
21500,20220101,0.7674,"Erie, PA",,,,
21660,20220101,1.1902,"Eugene-Springfield, OR",,,,
21780,20220101,0.9308,"Evansville, IN-KY",,,,
21820,20220101,0.9718,"Fairbanks, AK",,,,
22020,20220101,0.7732,"Fargo, ND-MN",,,,
22140,20220101,0.9248,"Farmington, NM",,,,
22180,20220101,0.8502,"Fayetteville, NC",,,,
22220,20220101,0.8343,"Fayetteville-Springdale-Rogers, AR",,,,
22380,20220101,1.0583,"Flagstaff, AZ",,,,
22420,20220101,1.0694,"Flint, MI",,,,
22500,20220101,0.7988,"Florence, SC",,,,
22520,20220101,0.6453,"Florence-Muscle Shoals, AL",,,,
22540,20220101,0.8386,"Fond du Lac, WI",,,,
22660,20220101,0.9914,"Fort Collins, CO",,,,
22744,20220101,0.9377,"Fort Lauderdale-Pompano Beach-Sunrise, FL",,,,
22900,20220101,0.7943,"Fort Smith, AR-OK",,,,
23060,20220101,0.9252,"Fort Wayne, IN",,,,
23104,20220101,0.9738,"Fort Worth-Arlington-Grapevine, TX",,,,
23224,20220101,0.9755,"Frederick-Gaithersburg-Rockville, MD",,,,
23420,20220101,1.0729,"Fresno, CA",,,,
23460,20220101,0.6954,"Gadsden, AL",,,,
23540,20220101,0.8914,"Gainesville, FL",,,,
23580,20220101,0.9400,"Gainesville, GA",,,,
23844,20220101,0.9304,"Gary, IN",,,,
23900,20220101,1.0477,"Gettysburg, PA",,,,
24020,20220101,0.7650,"Glens Falls, NY",,,,
24140,20220101,0.9473,"Goldsboro, NC",,,,
24220,20220101,0.8356,"Grand Forks, ND-MN",,,,
24260,20220101,0.9589,"Grand Island, NE",,,,
24300,20220101,0.9157,"Grand Junction, CO",,,,
24340,20220101,0.8942,"Grand Rapids-Kentwood, MI",,,,
24420,20220101,1.0509,"Grants Pass, OR",,,,
24500,20220101,0.8147,"Great Falls, MT",,,,
24540,20220101,0.8945,"Greeley, CO",,,,
24580,20220101,0.9276,"Green Bay, WI",,,,
24660,20220101,0.8949,"Greensboro-High Point, NC",,,,
24780,20220101,0.9033,"Greenville, NC",,,,
24860,20220101,0.8839,"Greenville-Anderson, SC",,,,
25020,20220101,0.5000,"Guayama, PR",,,,
25060,20220101,0.7423,"Gulfport-Biloxi, MS",,,,
25180,20220101,0.8678,"Hagerstown-Martinsburg, MD-WV",,,,
25220,20220101,0.8025,"Hammond, LA",,,,
25260,20220101,1.0531,"Hanford-Corcoran, CA",,,,
25420,20220101,0.9620,"Harrisburg-Carlisle, PA",,,,
25500,20220101,0.9377,"Harrisonburg, VA",,,,
25540,20220101,1.0924,"Hartford-East Hartford-Middletown, CT",,,,
25620,20220101,0.7244,"Hattiesburg, MS",,,,
25860,20220101,0.8528,"Hickory-Lenoir-Morganton, NC",,,,
25940,20220101,0.8132,"Hilton Head Island-Bluffton, SC",,,,
25980,20220101,0.8539,"Hinesville, GA",,,,
26140,20220101,0.8618,"Homosassa Springs, FL",,,,
26300,20220101,0.8261,"Hot Springs, AR",,,,
26380,20220101,0.6868,"Houma-Thibodaux, LA",,,,
26420,20220101,0.9925,"Houston-The Woodlands-Sugar Land, TX",,,,
26580,20220101,0.8482,"Huntington-Ashland, WV-KY-OH",,,,
26620,20220101,0.8055,"Huntsville, AL",,,,
26820,20220101,0.8420,"Idaho Falls, ID",,,,
26900,20220101,0.9807,"Indianapolis-Carmel-Anderson, IN",,,,
26980,20220101,0.9480,"Iowa City, IA",,,,
27060,20220101,1.0862,"Ithaca, NY",,,,
27100,20220101,0.7724,"Jackson, MI",,,,
27140,20220101,0.8351,"Jackson, MS",,,,
27180,20220101,0.7337,"Jackson, TN",,,,
27260,20220101,0.8390,"Jacksonville, FL",,,,
27340,20220101,0.7717,"Jacksonville, NC",,,,
27500,20220101,0.9039,"Janesville-Beloit, WI",,,,
27620,20220101,0.8076,"Jefferson City, MO",,,,
27740,20220101,0.6963,"Johnson City, TN",,,,
27780,20220101,0.7635,"Johnstown, PA",,,,
27860,20220101,0.7999,"Jonesboro, AR",,,,
27900,20220101,0.7612,"Joplin, MO",,,,
27980,20220101,1.2272,"Kahului-Wailuku-Lahaina, HI",,,,
28020,20220101,0.9331,"Kalamazoo-Portage, MI",,,,
28100,20220101,0.8914,"Kankakee, IL",,,,
28140,20220101,0.9237,"Kansas City, MO-KS",,,,
28420,20220101,0.9897,"Kennewick-Richland, WA",,,,
28660,20220101,0.9282,"Killeen-Temple, TX",,,,
28700,20220101,0.6988,"Kingsport-Bristol, TN-VA",,,,
28740,20220101,0.9708,"Kingston, NY",,,,
28940,20220101,0.7128,"Knoxville, TN",,,,
29020,20220101,0.9647,"Kokomo, IN",,,,
29100,20220101,0.9411,"La Crosse-Onalaska, WI-MN",,,,
29180,20220101,0.7741,"Lafayette, LA",,,,
29200,20220101,0.9991,"Lafayette-West Lafayette, IN",,,,
29340,20220101,0.7743,"Lake Charles, LA",,,,
29404,20220101,1.0047,"Lake County-Kenosha County, IL-WI",,,,
29420,20220101,0.9194,"Lake Havasu City-Kingman, AZ",,,,
29460,20220101,0.8014,"Lakeland-Winter Haven, FL",,,,
29540,20220101,0.9185,"Lancaster, PA",,,,
29620,20220101,0.9359,"Lansing-East Lansing, MI",,,,
29700,20220101,0.7767,"Laredo, TX",,,,
29740,20220101,0.9164,"Las Cruces, NM",,,,
29820,20220101,1.1733,"Las Vegas-Henderson-Paradise, NV",,,,
29940,20220101,0.8749,"Lawrence, KS",,,,
30020,20220101,0.6995,"Lawton, OK",,,,
30140,20220101,0.9731,"Lebanon, PA",,,,
30300,20220101,0.8635,"Lewiston, ID-WA",,,,
30340,20220101,0.8667,"Lewiston-Auburn, ME",,,,
30460,20220101,0.8755,"Lexington-Fayette, KY",,,,
