code,effectiveDate,weight,threshold
1FC11,20240101,1.0929,4
1FC21,20240101,1.1490,4
1FC31,20240101,1.3078,4
2FC11,20240101,1.3078,3
2FC21,20240101,1.3640,4
2FC31,20240101,1.5228,4
3FC11,20240101,0.7321,2
3FC21,20240101,0.7883,2
3FC31,20240101,0.9471,2
4FC11,20240101,1.2192,3
4FC21,20240101,1.2754,3
4FC31,20240101,1.4342,3
1FA11,20240101,0.9018,3
1FA21,20240101,0.9580,3
1FA31,20240101,1.1168,3
2FA11,20240101,1.1167,3
2FA21,20240101,1.1729,3
2FA31,20240101,1.3317,2
3FA11,20240101,0.5411,2
3FA21,20240101,0.5972,2
3FA31,20240101,0.7560,2
4FA11,20240101,1.0282,3
4FA21,20240101,1.0843,3
4FA31,20240101,1.2431,2
1FB11,20240101,1.0067,4
1FB21,20240101,1.0629,4
1FB31,20240101,1.2217,4
2FB11,20240101,1.2216,4
2FB21,20240101,1.2778,4
2FB31,20240101,1.4366,4
3FB11,20240101,0.6460,2
3FB21,20240101,0.7021,2
3FB31,20240101,0.8609,2
4FB11,20240101,1.1331,3
4FB21,20240101,1.1892,3
4FB31,20240101,1.3480,3
1DC11,20240101,0.9904,2
1DC21,20240101,1.0465,2
1DC31,20240101,1.2053,2
2DC11,20240101,1.2053,4
2DC21,20240101,1.2615,3
2DC31,20240101,1.4203,4
3DC11,20240101,0.6296,2
3DC21,20240101,0.6858,2
3DC31,20240101,0.8446,2
4DC11,20240101,1.1167,3
4DC21,20240101,1.1729,3
4DC31,20240101,1.3317,2
1DA11,20240101,0.8840,2
1DA21,20240101,0.9402,2
1DA31,20240101,1.0990,2
2DA11,20240101,1.0989,3
2DA21,20240101,1.1551,3
2DA31,20240101,1.3139,3
3DA11,20240101,0.5233,2
3DA21,20240101,0.5794,2
3DA31,20240101,0.7382,2
4DA11,20240101,1.0104,3
4DA21,20240101,1.0665,2
4DA31,20240101,1.2253,3
1DB11,20240101,1.0158,2
1DB21,20240101,1.0720,2
1DB31,20240101,1.2308,2
2DB11,20240101,1.2308,4
2DB21,20240101,1.2869,4
2DB31,20240101,1.4457,4
3DB11,20240101,0.6551,2
3DB21,20240101,0.7113,2
3DB31,20240101,0.8701,2
4DB11,20240101,1.1422,3
4DB21,20240101,1.1984,3
4DB31,20240101,1.3572,3
1HC11,20240101,1.1344,4
1HC21,20240101,1.1905,4
1HC31,20240101,1.3493,4
2HC11,20240101,1.3493,4
2HC21,20240101,1.4055,4
2HC31,20240101,1.5643,4
3HC11,20240101,0.7736,2
3HC21,20240101,0.8298,2
3HC31,20240101,0.9886,3
4HC11,20240101,1.2607,4
4HC21,20240101,1.3169,3
4HC31,20240101,1.4757,4
1HA11,20240101,0.9274,4
1HA21,20240101,0.9836,4
1HA31,20240101,1.1424,3
2HA11,20240101,1.1424,4
2HA21,20240101,1.1986,4
2HA31,20240101,1.3573,4
3HA11,20240101,0.5667,2
3HA21,20240101,0.6229,2
3HA31,20240101,0.7817,2
4HA11,20240101,1.0538,3
4HA21,20240101,1.1100,3
4HA31,20240101,1.2688,3
1HB11,20240101,1.0282,4
1HB21,20240101,1.0844,4
1HB31,20240101,1.2432,4
2HB11,20240101,1.2432,4
2HB21,20240101,1.2993,4
2HB31,20240101,1.4581,5
3HB11,20240101,0.6675,2
3HB21,20240101,0.7237,2
3HB31,20240101,0.8825,3
4HB11,20240101,1.1546,3
4HB21,20240101,1.2108,3
4HB31,20240101,1.3696,4
1IC11,20240101,1.3321,4
1IC21,20240101,1.3883,4
1IC31,20240101,1.5471,4
2IC11,20240101,1.5471,4
2IC21,20240101,1.6032,4
2IC31,20240101,1.7620,4
3IC11,20240101,0.9714,3
3IC21,20240101,1.0276,3
3IC31,20240101,1.1864,3
4IC11,20240101,1.4585,4
4IC21,20240101,1.5147,4
4IC31,20240101,1.6735,4
1IA11,20240101,1.2136,4
1IA21,20240101,1.2698,4
1IA31,20240101,1.4286,4
2IA11,20240101,1.4286,3
2IA21,20240101,1.4847,4
2IA31,20240101,1.6435,4
3IA11,20240101,0.8529,3
3IA21,20240101,0.9091,3
3IA31,20240101,1.0678,3
4IA11,20240101,1.3400,3
4IA21,20240101,1.3962,3
4IA31,20240101,1.5549,4
1IB11,20240101,1.2236,4
1IB21,20240101,1.2797,4
1IB31,20240101,1.4385,4
2IB11,20240101,1.4385,4
2IB21,20240101,1.4947,4
2IB31,20240101,1.6535,4
3IB11,20240101,0.8628,3
3IB21,20240101,0.9190,3
3IB31,20240101,1.0778,3
4IB11,20240101,1.3499,4
4IB21,20240101,1.4061,4
4IB31,20240101,1.5649,4
1JC11,20240101,1.1135,3
1JC21,20240101,1.1697,3
1JC31,20240101,1.3285,2
2JC11,20240101,1.3285,4
2JC21,20240101,1.3846,3
2JC31,20240101,1.5434,3
3JC11,20240101,0.7528,2
3JC21,20240101,0.8090,2
3JC31,20240101,0.9678,2
4JC11,20240101,1.2399,3
4JC21,20240101,1.2961,3
4JC31,20240101,1.4548,3
1JA11,20240101,0.8905,2
1JA21,20240101,0.9467,2
1JA31,20240101,1.1055,2
2JA11,20240101,1.1054,3
2JA21,20240101,1.1616,3
2JA31,20240101,1.3204,3
3JA11,20240101,0.5298,2
3JA21,20240101,0.5859,2
3JA31,20240101,0.7447,2
4JA11,20240101,1.0169,3
4JA21,20240101,1.0730,3
4JA31,20240101,1.2318,3
1JB11,20240101,1.0234,3
1JB21,20240101,1.0796,3
1JB31,20240101,1.2384,3
2JB11,20240101,1.2384,4
2JB21,20240101,1.2945,4
2JB31,20240101,1.4533,4
3JB11,20240101,0.6627,2
3JB21,20240101,0.7189,2
3JB31,20240101,0.8777,2
4JB11,20240101,1.1498,3
4JB21,20240101,1.2060,3
4JB31,20240101,1.3648,3
1KC11,20240101,1.1415,2
1KC21,20240101,1.1976,2
1KC31,20240101,1.3564,2
2KC11,20240101,1.3564,3
2KC21,20240101,1.4126,3
2KC31,20240101,1.5713,3
3KC11,20240101,0.7807,2
3KC21,20240101,0.8369,2
3KC31,20240101,0.9957,2
4KC11,20240101,1.2678,3
4KC21,20240101,1.3240,3
4KC31,20240101,1.4828,3
1KA11,20240101,0.9198,2
1KA21,20240101,0.9760,2
1KA31,20240101,1.1348,2
2KA11,20240101,1.1347,3
2KA21,20240101,1.1909,3
2KA31,20240101,1.3497,3
3KA11,20240101,0.5591,2
3KA21,20240101,0.6153,2
3KA31,20240101,0.7740,2
4KA11,20240101,1.0462,3
4KA21,20240101,1.1023,3
4KA31,20240101,1.2611,3
1KB11,20240101,1.0145,3
1KB21,20240101,1.0707,2
1KB31,20240101,1.2295,2
2KB11,20240101,1.2294,3
2KB21,20240101,1.2856,3
2KB31,20240101,1.4444,4
3KB11,20240101,0.6538,2
3KB21,20240101,0.7100,2
3KB31,20240101,0.8687,2
4KB11,20240101,1.1409,3
4KB21,20240101,1.1970,3
4KB31,20240101,1.3558,3
1AC11,20240101,1.1331,4
1AC21,20240101,1.1892,4
1AC31,20240101,1.3480,3
2AC11,20240101,1.3480,4
2AC21,20240101,1.4042,4
2AC31,20240101,1.5629,4
3AC11,20240101,0.7723,2
3AC21,20240101,0.8285,2
3AC31,20240101,0.9873,2
4AC11,20240101,1.2594,3
4AC21,20240101,1.3156,3
4AC31,20240101,1.4744,3
1AA11,20240101,0.9429,3
1AA21,20240101,0.9991,3
1AA31,20240101,1.1579,4
2AA11,20240101,1.1578,3
2AA21,20240101,1.2140,3
2AA31,20240101,1.3728,4
3AA11,20240101,0.5822,2
3AA21,20240101,0.6383,2
3AA31,20240101,0.7971,2
4AA11,20240101,1.0693,3
4AA21,20240101,1.1254,3
4AA31,20240101,1.2842,3
1AB11,20240101,1.0348,4
1AB21,20240101,1.0910,4
1AB31,20240101,1.2497,4
2AB11,20240101,1.2497,4
2AB21,20240101,1.3059,4
2AB31,20240101,1.4647,4
3AB11,20240101,0.6741,2
3AB21,20240101,0.7302,2
3AB31,20240101,0.8890,2
4AB11,20240101,1.1612,3
4AB21,20240101,1.2173,3
4AB31,20240101,1.3761,3
1LC11,20240101,1.1368,3
1LC21,20240101,1.1930,3
1LC31,20240101,1.3518,2
2LC11,20240101,1.3518,4
2LC21,20240101,1.4079,4
2LC31,20240101,1.5667,4
3LC11,20240101,0.7761,2
3LC21,20240101,0.8323,2
3LC31,20240101,0.9911,2
4LC11,20240101,1.2632,3
4LC21,20240101,1.3194,3
4LC31,20240101,1.4781,3
1LA11,20240101,0.9181,3
1LA21,20240101,0.9743,3
1LA31,20240101,1.1331,3
2LA11,20240101,1.1330,3
