cbsa,effectiveDate,geographicWageIndex,name,,,,,,
15940,20260101,0.8021,"Canton-Massillon, OH",,,,,,
15980,20260101,0.9189,"Cape Coral-Fort Myers, FL",,,,,,
16020,20260101,0.7794,"Cape Girardeau, MO-IL",,,,,,
16180,20260101,0.9567,"Carson City, NV",,,,,,
16220,20260101,0.9470,"Casper, WY",,,,,,
16300,20260101,0.8695,"Cedar Rapids, IA",,,,,,
16540,20260101,1.0154,"Chambersburg, PA",,,,,,
16580,20260101,0.8719,"Champaign-Urbana, IL",,,,,,
16620,20260101,0.7576,"Charleston, WV",,,,,,
16700,20260101,0.8747,"Charleston-North Charleston, SC",,,,,,
16740,20260101,0.9404,"Charlotte-Concord-Gastonia, NC-SC",,,,,,
16820,20260101,0.9610,"Charlottesville, VA",,,,,,
16860,20260101,0.8531,"Chattanooga, TN-GA",,,,,,
16940,20260101,0.9504,"Cheyenne, WY",,,,,,
16984,20260101,1.0228,"Chicago-Naperville-Schaumburg, IL",,,,,,
17020,20260101,1.0202,"Chico, CA",,,,,,
17140,20260101,0.9523,"Cincinnati, OH-KY-IN",,,,,,
17300,20260101,0.8317,"Clarksville, TN-KY",,,,,,
17410,20260101,0.8776,"Cleveland, OH",,,,,,
17420,20260101,0.8119,"Cleveland, TN",,,,,,
17660,20260101,0.9905,"Coeur d'Alene, ID",,,,,,
17780,20260101,0.8726,"College Station-Bryan, TX",,,,,,
17820,20260101,0.9568,"Colorado Springs, CO",,,,,,
17860,20260101,0.8548,"Columbia, MO",,,,,,
17900,20260101,0.9208,"Columbia, SC",,,,,,
17980,20260101,0.7796,"Columbus, GA-AL",,,,,,
18020,20260101,1.1271,"Columbus, IN",,,,,,
18140,20260101,0.9358,"Columbus, OH",,,,,,
18580,20260101,0.9287,"Corpus Christi, TX",,,,,,
18700,20260101,1.0963,"Corvallis, OR",,,,,,
18880,20260101,0.8723,"Crestview-Fort Walton Beach-Destin, FL",,,,,,
19124,20260101,0.9639,"Dallas-Plano-Irving, TX",,,,,,
19140,20260101,0.8885,"Dalton, GA",,,,,,
19300,20260101,0.8087,"Daphne-Fairhope-Foley, AL",,,,,,
19340,20260101,0.7828,"Davenport-Moline-Rock Island, IA-IL",,,,,,
19430,20260101,0.9646,"Dayton-Kettering-Beavercreek, OH",,,,,,
19460,20260101,0.7153,"Decatur, AL",,,,,,
19500,20260101,0.8414,"Decatur, IL",,,,,,
19660,20260101,0.8772,"Deltona-Daytona Beach-Ormond Beach, FL",,,,,,
19740,20260101,1.0079,"Denver-Aurora-Centennial, CO",,,,,,
19780,20260101,0.9156,"Des Moines-West Des Moines, IA",,,,,,
19804,20260101,0.8805,"Detroit-Dearborn-Livonia, MI",,,,,,
20020,20260101,0.7099,"Dothan, AL",,,,,,
20100,20260101,1.1673,"Dover, DE",,,,,,
20220,20260101,0.8532,"Dubuque, IA",,,,,,
20260,20260101,0.9382,"Duluth, MN-WI",,,,,,
20500,20260101,0.9758,"Durham-Chapel Hill, NC",,,,,,
20580,20260101,0.8078,"Eagle Pass, TX",,,,,,
20740,20260101,0.9891,"Eau Claire, WI",,,,,,
20940,20260101,0.8612,"El Centro, CA",,,,,,
20994,20260101,0.9833,"Elgin, IL",,,,,,
21060,20260101,0.8551,"Elizabethtown, KY",,,,,,
21140,20260101,1.0026,"Elkhart-Goshen, IN",,,,,,
21300,20260101,0.8462,"Elmira, NY",,,,,,
21340,20260101,0.8310,"El Paso, TX",,,,,,
21420,20260101,0.8425,"Enid, OK",,,,,,
21500,20260101,0.8450,"Erie, PA",,,,,,
21660,20260101,1.1999,"Eugene-Springfield, OR",,,,,,
21780,20260101,0.9727,"Evansville, IN",,,,,,
21794,20260101,1.1663,"Everett, WA",,,,,,
21820,20260101,0.9800,"Fairbanks-College, AK",,,,,,
22020,20260101,0.8911,"Fargo, ND-MN",,,,,,
22140,20260101,0.8816,"Farmington, NM",,,,,,
22180,20260101,0.9465,"Fayetteville, NC",,,,,,
22220,20260101,0.8802,"Fayetteville-Springdale-Rogers, AR",,,,,,
22380,20260101,1.0740,"Flagstaff, AZ",,,,,,
22420,20260101,0.9858,"Flint, MI",,,,,,
22500,20260101,0.8311,"Florence, SC",,,,,,
22520,20260101,0.6816,"Florence-Muscle Shoals, AL",,,,,,
22540,20260101,0.8767,"Fond du Lac, WI",,,,,,
22660,20260101,0.9523,"Fort Collins-Loveland, CO",,,,,,
22744,20260101,0.9693,"Fort Lauderdale-Pompano Beach-Sunrise, FL",,,,,,
22900,20260101,0.9214,"Fort Smith, AR-OK",,,,,,
23060,20260101,1.0326,"Fort Wayne, IN",,,,,,
23104,20260101,0.9691,"Fort Worth-Arlington-Grapevine, TX",,,,,,
23224,20260101,0.9736,"Frederick-Gaithersburg-Bethesda, MD",,,,,,
23420,20260101,1.1541,"Fresno, CA",,,,,,
23460,20260101,0.7243,"Gadsden, AL",,,,,,
23540,20260101,0.8991,"Gainesville, FL",,,,,,
23580,20260101,0.9368,"Gainesville, GA",,,,,,
23900,20260101,1.0071,"Gettysburg, PA",,,,,,
24020,20260101,0.9299,"Glens Falls, NY",,,,,,
24140,20260101,0.9120,"Goldsboro, NC",,,,,,
24220,20260101,0.7440,"Grand Forks, ND-MN",,,,,,
24260,20260101,0.9769,"Grand Island, NE",,,,,,
24300,20260101,1.0630,"Grand Junction, CO",,,,,,
24340,20260101,0.8291,"Grand Rapids-Wyoming-Kentwood, MI",,,,,,
24420,20260101,1.2904,"Grants Pass, OR",,,,,,
24500,20260101,0.8698,"Great Falls, MT",,,,,,
24540,20260101,0.9859,"Greeley, CO",,,,,,
24580,20260101,0.8930,"Green Bay, WI",,,,,,
24660,20260101,0.9168,"Greensboro-High Point, NC",,,,,,
24780,20260101,0.8242,"Greenville, NC",,,,,,
