code,effectiveDate,weight,threshold
3JB11,20250101,0.6643,2
3JB21,20250101,0.7265,2
3JB31,20250101,0.8758,2
4JB11,20250101,1.1420,3
4JB21,20250101,1.2042,3
4JB31,20250101,1.3535,3
1KC11,20250101,1.1383,2
1KC21,20250101,1.2005,2
1KC31,20250101,1.3498,2
2KC11,20250101,1.3456,3
2KC21,20250101,1.4079,3
2KC31,20250101,1.5572,3
3KC11,20250101,0.7902,2
3KC21,20250101,0.8524,2
3KC31,20250101,1.0017,2
4KC11,20250101,1.2679,3
4KC21,20250101,1.3301,3
4KC31,20250101,1.4794,3
1KA11,20250101,0.9077,2
1KA21,20250101,0.9699,2
1KA31,20250101,1.1192,2
2KA11,20250101,1.1150,3
2KA21,20250101,1.1772,3
2KA31,20250101,1.3265,3
3KA11,20250101,0.5595,2
3KA21,20250101,0.6217,2
3KA31,20250101,0.7711,2
4KA11,20250101,1.0372,3
4KA21,20250101,1.0994,3
4KA31,20250101,1.2487,3
1KB11,20250101,1.0079,3
1KB21,20250101,1.0701,2
1KB31,20250101,1.2194,2
2KB11,20250101,1.2152,3
2KB21,20250101,1.2774,3
2KB31,20250101,1.4267,3
3KB11,20250101,0.6597,2
3KB21,20250101,0.7220,2
3KB31,20250101,0.8713,2
4KB11,20250101,1.1374,3
4KB21,20250101,1.1997,3
4KB31,20250101,1.3490,3
1AC11,20250101,1.1073,4
1AC21,20250101,1.1695,4
1AC31,20250101,1.3189,3
2AC11,20250101,1.3146,4
2AC21,20250101,1.3769,4
2AC31,20250101,1.5262,4
3AC11,20250101,0.7592,2
3AC21,20250101,0.8214,2
3AC31,20250101,0.9707,2
4AC11,20250101,1.2369,3
4AC21,20250101,1.2991,3
4AC31,20250101,1.4484,3
1AA11,20250101,0.9187,3
1AA21,20250101,0.9810,3
1AA31,20250101,1.1303,4
2AA11,20250101,1.1260,3
2AA21,20250101,1.1883,3
2AA31,20250101,1.3376,3
3AA11,20250101,0.5706,2
3AA21,20250101,0.6328,2
3AA31,20250101,0.7821,2
4AA11,20250101,1.0483,3
4AA21,20250101,1.1105,3
4AA31,20250101,1.2598,3
1AB11,20250101,1.0085,4
1AB21,20250101,1.0707,4
1AB31,20250101,1.2200,3
2AB11,20250101,1.2158,4
2AB21,20250101,1.2780,4
2AB31,20250101,1.4273,4
3AB11,20250101,0.6603,2
3AB21,20250101,0.7225,2
3AB31,20250101,0.8718,2
4AB11,20250101,1.1380,3
4AB21,20250101,1.2002,3
4AB31,20250101,1.3495,4
1LC11,20250101,1.1204,4
1LC21,20250101,1.1826,3
1LC31,20250101,1.3319,3
2LC11,20250101,1.3277,4
2LC21,20250101,1.3899,4
2LC31,20250101,1.5392,4
3LC11,20250101,0.7723,2
3LC21,20250101,0.8345,2
3LC31,20250101,0.9838,2
4LC11,20250101,1.2499,3
4LC21,20250101,1.3122,3
4LC31,20250101,1.4615,3
1LA11,20250101,0.9187,3
1LA21,20250101,0.9809,3
1LA31,20250101,1.1302,3
2LA11,20250101,1.1260,3
2LA21,20250101,1.1882,3
2LA31,20250101,1.3375,4
3LA11,20250101,0.5705,2
3LA21,20250101,0.6328,2
3LA31,20250101,0.7821,2
4LA11,20250101,1.0482,3
4LA21,20250101,1.1105,3
4LA31,20250101,1.2598,3
1LB11,20250101,1.0163,4
1LB21,20250101,1.0786,3
1LB31,20250101,1.2279,3
2LB11,20250101,1.2236,4
2LB21,20250101,1.2859,4
2LB31,20250101,1.4352,4
3LB11,20250101,0.6682,2
3LB21,20250101,0.7304,2
3LB31,20250101,0.8797,2
4LB11,20250101,1.1459,3
4LB21,20250101,1.2081,3
4LB31,20250101,1.3574,3
1GC11,20250101,1.1378,3
1GC21,20250101,1.2000,3
1GC31,20250101,1.3493,3
2GC11,20250101,1.3451,4
2GC21,20250101,1.4073,4
2GC31,20250101,1.5566,4
3GC11,20250101,0.7896,2
3GC21,20250101,0.8519,2
3GC31,20250101,1.0012,2
4GC11,20250101,1.2673,3
4GC21,20250101,1.3296,3
4GC31,20250101,1.4789,4
1GA11,20250101,0.8921,2
1GA21,20250101,0.9544,2
1GA31,20250101,1.1037,2
2GA11,20250101,1.0994,3
2GA21,20250101,1.1617,3
2GA31,20250101,1.3110,3
3GA11,20250101,0.5440,2
3GA21,20250101,0.6062,2
3GA31,20250101,0.7555,2
4GA11,20250101,1.0217,2
4GA21,20250101,1.0839,3
4GA31,20250101,1.2332,3
1GB11,20250101,1.0103,3
1GB21,20250101,1.0726,3
1GB31,20250101,1.2219,3
2GB11,20250101,1.2176,3
2GB21,20250101,1.2799,4
2GB31,20250101,1.4292,4
3GB11,20250101,0.6622,2
3GB21,20250101,0.7244,2
3GB31,20250101,0.8737,2
4GB11,20250101,1.1399,3
4GB21,20250101,1.2021,3
4GB31,20250101,1.3514,4
1EC11,20250101,1.1768,4
1EC21,20250101,1.2390,4
1EC31,20250101,1.3884,4
2EC11,20250101,1.3841,5
2EC21,20250101,1.4464,5
2EC31,20250101,1.5957,5
3EC11,20250101,0.8287,2
3EC21,20250101,0.8909,2
3EC31,20250101,1.0402,3
4EC11,20250101,1.3064,4
4EC21,20250101,1.3686,4
4EC31,20250101,1.5179,4
1EA11,20250101,0.9543,4
1EA21,20250101,1.0165,4
1EA31,20250101,1.1658,4
2EA11,20250101,1.1616,4
2EA21,20250101,1.2238,5
2EA31,20250101,1.3731,5
3EA11,20250101,0.6061,2
3EA21,20250101,0.6683,2
3EA31,20250101,0.8176,2
4EA11,20250101,1.0838,4
4EA21,20250101,1.1460,4
4EA31,20250101,1.2953,4
1EB11,20250101,1.0370,5
1EB21,20250101,1.0992,5
1EB31,20250101,1.2485,4
2EB11,20250101,1.2443,5
2EB21,20250101,1.3065,5
2EB31,20250101,1.4558,5
3EB11,20250101,0.6889,2
3EB21,20250101,0.7511,2
3EB31,20250101,0.9004,2
4EB11,20250101,1.1666,4
4EB21,20250101,1.2288,4
4EB31,20250101,1.3781,4
1BC11,20250101,1.2929,4
1BC21,20250101,1.3551,4
1BC31,20250101,1.5044,4
2BC11,20250101,1.5002,5
2BC21,20250101,1.5624,5
2BC31,20250101,1.7117,4
3BC11,20250101,0.9447,2
3BC21,20250101,1.0070,3
3BC31,20250101,1.1563,3
4BC11,20250101,1.4224,4
4BC21,20250101,1.4847,4
4BC31,20250101,1.6340,4
1BA11,20250101,1.0413,4
1BA21,20250101,1.1035,4
1BA31,20250101,1.2528,3
2BA11,20250101,1.2486,4
2BA21,20250101,1.3108,4
2BA31,20250101,1.4601,4
3BA11,20250101,0.6932,2
3BA21,20250101,0.7554,2
3BA31,20250101,0.9047,2
4BA11,20250101,1.1709,3
4BA21,20250101,1.2331,3
4BA31,20250101,1.3824,3
1BB11,20250101,1.1529,4
1BB21,20250101,1.2152,4
1BB31,20250101,1.3645,4
2BB11,20250101,1.3603,4
2BB21,20250101,1.4225,5
2BB31,20250101,1.5718,5
3BB11,20250101,0.8048,2
3BB21,20250101,0.8670,2
3BB31,20250101,1.0163,2
4BB11,20250101,1.2825,4
4BB21,20250101,1.3447,4
4BB31,20250101,1.4940,4
1CC11,20250101,1.4977,4
1CC21,20250101,1.5600,4
1CC31,20250101,1.7093,4
2CC11,20250101,1.7050,5
2CC21,20250101,1.7673,4
2CC31,20250101,1.9166,4
3CC11,20250101,1.1496,3
3CC21,20250101,1.2118,3
3CC31,20250101,1.3611,3
4CC11,20250101,1.6273,4
4CC21,20250101,1.6895,4
4CC31,20250101,1.8388,4
1CA11,20250101,1.2850,4
1CA21,20250101,1.3473,4
1CA31,20250101,1.4966,4
2CA11,20250101,1.4924,4
2CA21,20250101,1.5546,4
2CA31,20250101,1.7039,4
3CA11,20250101,0.9369,2
3CA21,20250101,0.9991,3
3CA31,20250101,1.1484,3
4CA11,20250101,1.4146,3
4CA21,20250101,1.4768,4
4CA31,20250101,1.6261,4
1CB11,20250101,1.3804,4
1CB21,20250101,1.4426,4
1CB31,20250101,1.5919,4
2CB11,20250101,1.5877,4
2CB21,20250101,1.6499,4
2CB31,20250101,1.7992,4
3CB11,20250101,1.0322,3
3CB21,20250101,1.0944,3
3CB31,20250101,1.2438,3
4CB11,20250101,1.5099,4
4CB21,20250101,1.5721,4
4CB31,20250101,1.7214,4
