code,effectiveDate,weight,threshold
1AA11,20200101,01.0124,4
1AA21,20200101,01.0631,4
1AA31,20200101,01.1597,4
1AB11,20200101,01.1454,5
1AB21,20200101,01.1962,5
1AB31,20200101,01.2928,4
1AC11,20200101,01.2436,4
1AC21,20200101,01.2943,4
1AC31,20200101,01.3910,4
1BA11,20200101,01.1928,5
1BA21,20200101,01.2435,5
1BA31,20200101,01.3401,4
1BB11,20200101,01.3525,5
1BB21,20200101,01.4032,5
1BB31,20200101,01.4998,5
1BC11,20200101,01.4548,5
1BC21,20200101,01.5055,5
1BC31,20200101,01.6021,5
1CA11,20200101,01.2468,5
1CA21,20200101,01.2976,4
1CA31,20200101,01.3942,4
1CB11,20200101,01.3911,5
1CB21,20200101,01.4418,5
1CB31,20200101,01.5385,5
1CC11,20200101,01.5156,5
1CC21,20200101,01.5663,5
1CC31,20200101,01.6629,5
1DA11,20200101,00.9530,3
1DA21,20200101,01.0037,3
1DA31,20200101,01.1004,2
1DB11,20200101,01.1464,3
1DB21,20200101,01.1972,3
1DB31,20200101,01.2938,2
1DC11,20200101,01.2086,3
1DC21,20200101,01.2594,2
1DC31,20200101,01.3560,2
1EA11,20200101,01.0813,5
1EA21,20200101,01.1321,5
1EA31,20200101,01.2287,5
1EB11,20200101,01.1915,5
1EB21,20200101,01.2422,5
1EB31,20200101,01.3389,5
1EC11,20200101,01.3465,5
1EC21,20200101,01.3972,5
1EC31,20200101,01.4938,5
1FA11,20200101,00.9284,3
1FA21,20200101,00.9791,4
1FA31,20200101,01.0757,3
1FB11,20200101,01.0907,4
1FB21,20200101,01.1414,4
1FB31,20200101,01.2381,5
1FC11,20200101,01.1798,4
1FC21,20200101,01.2305,4
1FC31,20200101,01.3271,4
1GA11,20200101,00.9117,3
1GA21,20200101,00.9624,3
1GA31,20200101,01.0591,4
1GB11,20200101,01.0647,4
1GB21,20200101,01.1154,4
1GB31,20200101,01.2121,5
1GC11,20200101,01.2226,4
1GC21,20200101,01.2733,5
1GC31,20200101,01.3700,4
1HA11,20200101,00.9668,4
1HA21,20200101,01.0176,4
1HA31,20200101,01.1142,4
1HB11,20200101,01.1179,5
1HB21,20200101,01.1686,5
1HB31,20200101,01.2652,5
1HC11,20200101,01.2297,5
1HC21,20200101,01.2804,5
1HC31,20200101,01.3770,4
1IA11,20200101,01.0979,4
1IA21,20200101,01.1486,4
1IA31,20200101,01.2453,4
1IB11,20200101,01.2712,5
1IB21,20200101,01.3219,5
1IB31,20200101,01.4186,4
1IC11,20200101,01.3874,5
1IC21,20200101,01.4381,5
