apc,statusIndicator,effectiveDate,paymentRate,nationalCoinsurance,minimumCoinsurance
00701,K,20260101,004146.34,00829.27,00829.27
00702,G,20260101,000001.55,00000.31,00000.31
00703,G,20260101,000003.15,00000.63,00000.63
00704,G,20260101,000311.38,00062.28,00062.28
00705,G,20260101,000105.12,00021.03,00021.03
00706,G,20260101,000072.62,00014.53,00014.53
00707,G,20260101,000654.76,00130.96,00130.96
00708,G,20260101,000184.07,00036.82,00036.82
00709,G,20260101,003710.00,00742.00,00742.00
00710,G,20260101,000465.23,00093.05,00093.05
00711,K,20260101,000051.83,00010.37,00010.37
00713,G,20260101,012553.71,02510.75,02510.75
00715,G,20260101,000228.16,00045.64,00045.64
00716,G,20260101,001025.44,00205.09,00205.09
00717,G,20260101,063342.28,12668.46,12668.46
00718,K,20260101,000259.70,00051.94,00051.94
00719,G,20260101,000009.11,00001.83,00001.83
00720,G,20260101,002767.88,00553.58,00553.58
00721,G,20260101,000023.17,00004.64,00004.64
00723,K,20260101,000033.89,00006.78,00006.78
00725,G,20260101,000017.84,00003.57,00003.57
00726,K,20260101,000063.06,00012.62,00012.62
00727,G,20260101,000035.59,00007.12,00007.12
00728,G,20260101,000043.05,00008.61,00008.61
00729,G,20260101,000025.22,00005.05,00005.05
00730,G,20260101,000795.00,00159.00,00159.00
00731,K,20260101,000050.37,00010.08,00010.08
00732,G,20260101,000420.64,00084.13,00084.13
00733,G,20260101,001682.55,00336.51,00336.51
00734,K,20260101,000006.83,00001.37,00001.37
00736,K,20260101,000021.48,00004.30,00004.30
00737,G,20260101,000091.21,00018.25,00018.25
00738,K,20260101,000377.52,00075.51,00075.51
00739,K,20260101,000013.03,00002.61,00002.61
00740,K,20260101,000005.19,00001.04,00001.04
00741,K,20260101,000000.78,00000.16,00000.16
00742,G,20260101,000058.31,00011.67,00011.67
00743,K,20260101,000000.48,00000.10,00000.10
00744,G,20260101,000006.41,00001.29,00001.29
00745,G,20260101,000039.41,00007.89,00007.89
00747,G,20260101,000033.71,00006.75,00006.75
00749,G,20260101,000195.72,00039.15,00039.15
00750,K,20260101,000002.23,00000.45,00000.45
00752,K,20260101,000328.34,00065.67,00065.67
00755,K,20260101,000018.47,00003.70,00003.70
00756,K,20260101,000022.68,00004.54,00004.54
00757,G,20260101,000050.78,00010.16,00010.16
00759,K,20260101,000004.24,00000.85,00000.85
00760,G,20260101,000328.60,00000.00,00000.00
00761,G,20260101,000002.84,00000.57,00000.57
00763,K1,20260101,000001.47,00000.30,00000.30
00764,K1,20260101,000000.30,00000.07,00000.07
00765,G,20260101,000004.13,00000.83,00000.83
00766,K,20260101,000927.71,00185.55,00185.55
00767,G,20260101,000094.66,00018.94,00018.94
00768,G,20260101,001564.64,00312.93,00312.93
00770,K,20260101,000831.46,00166.30,00166.30
00771,K,20260101,000745.62,00149.13,00149.13
00772,G,20260101,000037.51,00000.00,00000.00
00774,K,20260101,000775.52,00155.11,00155.11
00776,K,20260101,000934.13,00186.83,00186.83
00777,K,20260101,001103.19,00220.64,00220.64
00778,G,20260101,000002.01,00000.41,00000.41
00779,K,20260101,002000.94,00400.19,00400.19
00780,K,20260101,002317.50,00463.50,00463.50
00781,K,20260101,001387.74,00277.55,00277.55
00782,G,20260101,000075.81,00015.17,00015.17
00784,G,20260101,000004.42,00000.89,00000.89
00785,K,20260101,000003.94,00000.79,00000.79
00786,G,20260101,000005.54,00001.11,00001.11
00798,K,20260101,000001.19,00000.24,00000.24
00800,K,20260101,001730.32,00346.07,00346.07
00802,K,20260101,000077.46,00015.50,00015.50
00804,K,20260101,000000.04,00000.01,00000.01
00805,K,20260101,000007.02,00000.00,00000.00
00806,K,20260101,000001.73,00000.00,00000.00
00807,K,20260101,003338.87,00667.78,00667.78
00808,K,20260101,000071.32,00000.00,00000.00
00810,K,20260101,000733.67,00146.74,00146.74
00811,G,20260101,000000.55,00000.11,00000.11
00812,K,20260101,000238.46,00047.70,00047.70
00813,G,20260101,000057.03,00011.41,00011.41
00814,G,20260101,001254.00,00000.00,00000.00
00815,G,20260101,000058.24,00011.65,00011.65
00816,G,20260101,000057.45,00011.49,00011.49
00818,K,20260101,000551.51,00110.31,00110.31
00819,K,20260101,000130.24,00026.05,00026.05
00821,G,20260101,000009.96,00000.00,00000.00
00822,K,20260101,000011.01,00002.21,00002.21
00825,K,20260101,000079.86,00015.98,00015.98
00827,K,20260101,004128.02,00825.61,00825.61
00831,G,20260101,278250.00,55650.00,55650.00
00835,G,20260101,000051.56,00010.32,00010.32
00837,G,20260101,000032.33,00006.47,00006.47
00839,G,20260101,000055.65,00011.13,00011.13
00840,K,20260101,000095.90,00019.19,00019.19
00841,G,20260101,000052.47,00010.50,00010.50
00842,G,20260101,000064.78,00012.96,00012.96
00843,K,20260101,028424.06,05684.82,05684.82
00844,K,20260101,002608.16,00521.64,00521.64
00846,G,20260101,000040.31,00008.07,00008.07
00847,K,20260101,000010.54,00002.11,00002.11
00848,G,20260101,000027.36,00005.48,00005.48
00852,G,20260101,000031.35,00006.28,00006.28
00853,G,20260101,000032.91,00006.59,00006.59
00854,K,20260101,001730.29,00346.06,00346.06
00856,K,20260101,024228.42,04845.68,04845.68
00858,K,20260101,000010.68,00002.14,00002.14
00859,G,20260101,000040.35,00008.07,00008.07
00860,K,20260101,000953.01,00190.61,00190.61
00861,K,20260101,000469.06,00093.82,00093.82
00862,K,20260101,001917.96,00383.60,00383.60
00863,K,20260101,000649.64,00129.93,00129.93
00864,K,20260101,000023.88,00004.78,00004.78
00865,K,20260101,000040.03,00008.01,00008.01
00866,K,20260101,000000.88,00000.18,00000.18
00869,G,20260101,000024.98,00005.00,00005.00
00870,K,20260101,000082.08,00016.42,00016.42
00871,K,20260101,000010.60,00002.12,00002.12
00872,K,20260101,000027.54,00005.51,00005.51
00874,K,20260101,000007.95,00001.60,00001.60
00875,K,20260101,000112.45,00022.50,00022.50
00876,G,20260101,001042.45,00208.50,00208.50
00877,K,20260101,000114.54,00022.91,00022.91
00878,G,20260101,000001.68,00000.34,00000.34
00879,G,20260101,000001.09,00000.22,00000.22
00880,K,20260101,000016.13,00000.00,00000.00
00881,K,20260101,000449.03,00000.00,00000.00
00882,K,20260101,000003.45,00000.70,00000.70
00883,K,20260101,000020.97,00004.20,00004.20
00884,K,20260101,000016.97,00003.40,00003.40
00885,K,20260101,000000.32,00000.07,00000.07
