apc,statusIndicator,effectiveDate,paymentRate,nationalCoinsurance,minimumCoinsurance
09258,K,20250101,000006.38,00001.28,00001.28
09259,K,20250101,000373.77,00074.76,00074.76
09260,K,20250101,000063.96,00012.80,00012.80
09261,K,20250101,000159.91,00031.99,00031.99
09262,G,20250101,000153.66,00030.74,00030.74
09263,K,20250101,000565.83,00113.17,00113.17
09264,K,20250101,000005.96,00001.20,00001.20
09266,G,20250101,000024.77,00004.96,00004.96
09267,G,20250101,000010.12,00002.03,00002.03
09269,K,20250101,000068.36,00013.68,00013.68
09270,K,20250101,000057.93,00011.59,00011.59
09271,K,20250101,000370.20,00074.04,00074.04
09272,K,20250101,000026.96,00005.40,00005.40
09273,K,20250101,055015.23,11003.05,11003.05
09274,K,20250101,001762.35,00352.47,00352.47
09276,K,20250101,000216.46,00043.30,00043.30
09277,G,20250101,000004.69,00000.94,00000.94
09278,K,20250101,000005.34,00001.07,00001.07
09280,G,20250101,000029.20,00005.84,00005.84
09281,K,20250101,003482.15,00696.44,00696.44
09284,K,20250101,000176.88,00035.38,00035.38
09285,K,20250101,000005.00,00001.01,00001.01
09286,K,20250101,000003.81,00000.77,00000.77
09287,K,20250101,000239.86,00047.98,00047.98
09294,K,20250101,000042.58,00008.52,00008.52
09295,K,20250101,000049.58,00009.92,00009.92
09296,K,20250101,000006.50,00001.31,00001.31
09297,K,20250101,000004.03,00000.81,00000.81
09299,K,20250101,000002.44,00000.49,00000.49
09300,K,20250101,000038.29,00007.66,00007.66
09301,K,20250101,000001.72,00000.35,00000.35
09302,K,20250101,000242.50,00048.50,00048.50
09304,K,20250101,000028.24,00005.65,00005.65
09305,K,20250101,000023.39,00004.68,00004.68
09306,K,20250101,000135.92,00027.19,00027.19
09308,K1,20250101,000117.14,00023.43,00023.43
09309,K,20250101,000339.03,00067.81,00067.81
09310,K,20250101,000378.03,00075.61,00075.61
09311,K,20250101,000003.80,00000.77,00000.77
09312,K,20250101,000220.75,00044.16,00044.16
09313,K,20250101,000027.53,00005.51,00005.51
09314,K,20250101,000063.79,00012.76,00012.76
09319,K,20250101,000048.92,00009.79,00009.79
09320,K,20250101,000235.06,00047.02,00047.02
09323,K,20250101,000004.05,00000.81,00000.81
09324,K1,20250101,000096.59,00019.32,00019.32
09327,K,20250101,000011.17,00002.24,00002.24
09328,K,20250101,000527.97,00105.60,00105.60
09329,K,20250101,000026.59,00005.32,00005.32
09330,K,20250101,000024.33,00004.87,00004.87
09331,K,20250101,000129.78,00025.96,00025.96
09335,K,20250101,000084.21,00016.85,00016.85
09336,K,20250101,000033.59,00006.72,00006.72
09338,K,20250101,000010.36,00002.08,00002.08
09340,K,20250101,000332.57,00066.52,00066.52
09341,K,20250101,000054.16,00010.84,00010.84
