cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,name,imputedFloorWageIndex,ruralFloorWageIndex,size
10180,20191001,0.8520,0.0000,"Abilene, TX",,,
10380,20191001,0.3693,0.0000,"Aguadilla-Isabela, PR",,,
10420,20191001,0.8332,0.0000,"Akron, OH",,,
10500,20191001,0.8070,0.0000,"Albany, GA",,,
10540,20191001,1.0831,0.0000,"Albany, OR",,,
10580,20191001,0.8239,0.0000,"Albany-Schenectady-Troy, NY",,,
10740,20191001,0.9081,0.0000,"Albuquerque, NM",,,
10780,20191001,0.8554,0.0000,"Alexandria, LA",,,
10900,20191001,0.9470,0.0000,"Allentown-Bethlehem-Easton, PA-NJ",,,
11020,20191001,0.9346,0.0000,"Altoona, PA",,,
11100,20191001,0.8411,0.0000,"Amarillo, TX",,,
11180,20191001,0.9199,0.0000,"Ames, IA",,,
11244,20191001,1.2578,0.0000,"Anaheim-Santa Ana-Irvine, CA",,,
11260,20191001,1.2290,0.0000,"Anchorage, AK",,,
11460,20191001,0.9968,0.0000,"Ann Arbor, MI",,,
11500,20191001,0.8000,0.0000,"Anniston-Oxford-Jacksonville, AL",,,
11540,20191001,0.9108,0.0000,"Appleton, WI",,,
11640,20191001,0.4193,0.0000,"Arecibo, PR",,,
11700,20191001,0.8780,0.0000,"Asheville, NC",,,
12020,20191001,0.8891,0.0000,"Athens-Clarke County, GA",,,
12060,20191001,0.9371,0.0000,"Atlanta-Sandy Springs-Roswell, GA",,,
12100,20191001,1.2068,0.0000,"Atlantic City-Hammonton, NJ",,,
12220,20191001,0.7799,0.0000,"Auburn-Opelika, AL",,,
12260,20191001,0.8826,0.0000,"Augusta-Richmond County, GA-SC",,,
12420,20191001,0.9396,0.0000,"Austin-Round Rock, TX",,,
12540,20191001,1.2417,0.0000,"Bakersfield, CA",,,
12580,20191001,0.9581,0.0000,"Baltimore-Columbia-Towson, MD",,,
12620,20191001,1.0238,0.0000,"Bangor, ME",,,
12700,20191001,1.2602,0.0000,"Barnstable Town, MA",,,
12940,20191001,0.8000,0.0000,"Baton Rouge, LA",,,
12980,20191001,0.8948,0.0000,"Battle Creek, MI",,,
13020,20191001,0.9332,0.0000,"Bay City, MI",,,
13140,20191001,0.8529,0.0000,"Beaumont-Port Arthur, TX",,,
