cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,name,imputedFloorWageIndex,ruralFloorWageIndex,size
99901,20241001,0.7442,0.0000,ALABAMA,,,
99902,20241001,1.1396,0.0000,ALASKA,,,
99903,20241001,0.8735,0.0000,ARIZONA,,,
99904,20241001,0.8000,0.0000,ARKANSAS,,,
99905,20241001,1.2602,0.0000,CALIFORNIA,,,
99906,20241001,1.0278,0.0000,COLORADO,,,
99907,20241001,0.9571,0.0000,CONNECTICUT,,,
99908,20241001,1.0385,0.0000,DELAWARE,,,
99910,20241001,0.8523,0.0000,FLORIDA,,,
99911,20241001,0.8000,0.0000,GEORGIA,,,
99912,20241001,1.1110,0.0000,HAWAII,,,
99913,20241001,0.7964,0.0000,IDAHO,,,
99914,20241001,0.8188,0.0000,ILLINOIS,,,
99915,20241001,0.8657,0.0000,INDIANA,,,
99916,20241001,0.8052,0.0000,IOWA,,,
99917,20241001,0.8183,0.0000,KANSAS,,,
99918,20241001,0.8152,0.0000,KENTUCKY,,,
99919,20241001,0.7807,0.0000,LOUISIANA,,,
99920,20241001,0.8236,0.0000,MAINE,,,
99921,20241001,0.8679,0.0000,MARYLAND,,,
99922,20241001,1.1971,0.0000,MASSACHUSETTS,,,
99923,20241001,0.8421,0.0000,MICHIGAN,,,
99924,20241001,0.8975,0.0000,MINNESOTA,,,
99925,20241001,0.8000,0.0000,MISSISSIPPI,,,
99926,20241001,0.8000,0.0000,MISSOURI,,,
99927,20241001,0.8835,0.0000,MONTANA,,,
99928,20241001,0.8639,0.0000,NEBRASKA,,,
99929,20241001,1.0343,0.0000,NEVADA,,,
99930,20241001,0.9925,0.0000,NEW HAMPSHIRE,,,
99932,20241001,0.9268,0.0000,NEW MEXICO,,,
99933,20241001,0.8653,0.0000,NEW YORK,,,
99934,20241001,0.8012,0.0000,NORTH CAROLINA,,,
99935,20241001,0.8545,0.0000,NORTH DAKOTA,,,
99936,20241001,0.8010,0.0000,OHIO,,,
99937,20241001,0.8172,0.0000,OKLAHOMA,,,
99938,20241001,1.0467,0.0000,OREGON,,,
99939,20241001,0.8723,0.0000,PENNSYLVANIA,,,
99940,20241001,0.4421,0.0000,PUERTO RICO,,,
99942,20241001,0.8010,0.0000,SOUTH CAROLINA,,,
99943,20241001,0.8000,0.0000,SOUTH DAKOTA,,,
99944,20241001,0.8000,0.0000,TENNESSEE,,,
99945,20241001,0.8434,0.0000,TEXAS,,,
99946,20241001,0.8877,0.0000,UTAH,,,
99947,20241001,0.9028,0.0000,VERMONT,,,
99948,20241001,0.6408,0.0000,Virgin Islands,,,
99949,20241001,0.8177,0.0000,VIRGINIA,,,
99950,20241001,0.9364,0.0000,WASHINGTON,,,
99951,20241001,0.8000,0.0000,WEST VIRGINIA,,,
99952,20241001,0.8406,0.0000,WISCONSIN,,,
99953,20241001,0.9871,0.0000,WYOMING,,,
99965,20241001,0.9611,0.0000,GUAM,,,
10180,20241001,0.9776,0.0000,"Abilene, TX",,,
10380,20241001,0.3521,0.0000,"Aguadilla, PR",,,
10420,20241001,0.8045,0.0000,"Akron, OH",,,
10500,20241001,1.0004,0.0000,"Albany, GA",,,
10540,20241001,1.0458,0.0000,"Albany, OR",,,
10580,20241001,0.8163,0.0000,"Albany-Schenectady-Troy, NY",,,
10740,20241001,0.9233,0.0000,"Albuquerque, NM",,,
10780,20241001,0.9248,0.0000,"Alexandria, LA",,,
10900,20241001,1.0313,0.0000,"Allentown-Bethlehem-Easton, PA-NJ",,,
11020,20241001,0.8915,0.0000,"Altoona, PA",,,
11100,20241001,0.8000,0.0000,"Amarillo, TX",,,
11180,20241001,0.9115,0.0000,"Ames, IA",,,
11200,20241001,0.9404,0.0000,"Amherst Town-Northampton, MA",,,
11244,20241001,1.2433,0.0000,"Anaheim-Santa Ana-Irvine, CA",,,
11260,20241001,1.1505,0.0000,"Anchorage, AK",,,
11460,20241001,0.9895,0.0000,"Ann Arbor, MI",,,
11500,20241001,0.8000,0.0000,"Anniston-Oxford, AL",,,
11540,20241001,0.9506,0.0000,"Appleton, WI",,,
11640,20241001,0.3586,0.0000,"Arecibo, PR",,,
11694,20241001,1.0311,0.0000,"Arlington-Alexandria-Reston, VA-WV",,,
11700,20241001,0.8873,0.0000,"Asheville, NC",,,
12020,20241001,0.9064,0.0000,"Athens-Clarke County, GA",,,
12054,20241001,1.0211,0.0000,"Atlanta-Sandy Springs-Roswell, GA",,,
12100,20241001,1.0333,0.0000,"Atlantic City-Hammonton, NJ",,,
12220,20241001,0.7759,0.0000,"Auburn-Opelika, AL",,,
12260,20241001,0.8016,0.0000,"Augusta-Richmond County, GA-SC",,,
12420,20241001,0.9880,0.0000,"Austin-Round Rock-San Marcos, TX",,,
12540,20241001,1.2250,0.0000,"Bakersfield-Delano, CA",,,
12580,20241001,0.9853,0.0000,"Baltimore-Columbia-Towson, MD",,,
12620,20241001,0.8979,0.0000,"Bangor, ME",,,
12700,20241001,1.1532,0.0000,"Barnstable Town, MA",,,
