cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,name,imputedFloorWageIndex,ruralFloorWageIndex,size
10180,20201001,0.8337,0.0000,"Abilene, TX",,,
10380,20201001,0.3727,0.0000,"Aguadilla-Isabela, PR",,,
10420,20201001,0.8237,0.0000,"Akron, OH",,,
10500,20201001,0.8206,0.0000,"Albany, GA",,,
10540,20201001,1.0691,0.0000,"Albany- Lebanon, OR",,,
10580,20201001,0.8259,0.0000,"Albany-Schenectady-Troy, NY",,,
10740,20201001,0.8699,0.0000,"Albuquerque, NM",,,
10780,20201001,0.8527,0.0000,"Alexandria, LA",,,
10900,20201001,0.9501,0.0000,"Allentown-Bethlehem-Easton, PA-NJ",,,
11020,20201001,0.8879,0.0000,"Altoona, PA",,,
11100,20201001,0.8131,0.0000,"Amarillo, TX",,,
11180,20201001,0.9214,0.0000,"Ames, IA",,,
11244,20201001,1.2609,0.0000,"Anaheim-Santa Ana-Irvine, CA",,,
11260,20201001,1.2194,0.0000,"Anchorage, AK",,,
11460,20201001,0.9916,0.0000,"Ann Arbor, MI",,,
11500,20201001,0.8000,0.0000,"Anniston-Oxford, AL",,,
11540,20201001,0.9030,0.0000,"Appleton, WI",,,
11640,20201001,0.4068,0.0000,"Arecibo, PR",,,
11700,20201001,0.8701,0.0000,"Asheville, NC",,,
12020,20201001,0.8714,0.0000,"Athens-Clarke County, GA",,,
12060,20201001,0.9463,0.0000,Atlanta-Sandy Springs-Alpharetta GA,,,
12100,20201001,1.1734,0.0000,"Atlantic City-Hammonton, NJ",,,
12220,20201001,0.8000,0.0000,"Auburn-Opelika, AL",,,
12260,20201001,0.8653,0.0000,"Augusta-Richmond County, GA-SC",,,
12420,20201001,0.9476,0.0000,"Austin-Round Rock-Georgetown, TX",,,
12540,20201001,1.2090,0.0000,"Bakersfield, CA",,,
12580,20201001,0.9521,0.0000,"Baltimore-Columbia-Towson, MD",,,
12620,20201001,1.0022,0.0000,"Bangor, ME",,,
12700,20201001,1.2145,0.0000,"Barnstable Town, MA",,,
12940,20201001,0.8000,0.0000,"Baton Rouge, LA",,,
12980,20201001,0.8986,0.0000,"Battle Creek, MI",,,
13020,20201001,0.9242,0.0000,"Bay City, MI",,,
13140,20201001,0.8664,0.0000,"Beaumont-Port Arthur, TX",,,
13220,20201001,0.8000,0.0000,"Beckley, WV",,,
13380,20201001,1.2149,0.0000,"Bellingham, WA",,,
13460,20201001,1.1449,0.0000,"Bend, OR",,,
13740,20201001,0.9287,0.0000,"Billings, MT",,,
13780,20201001,0.8343,0.0000,"Binghamton, NY",,,
13820,20201001,0.8147,0.0000,"Birmingham-Hoover, AL",,,
13900,20201001,0.8564,0.0000,"Bismarck, ND",,,
13980,20201001,0.8765,0.0000,"Blacksburg-Christiansburg, VA",,,
14010,20201001,0.9114,0.0000,"Bloomington, IL",,,
14020,20201001,0.9302,0.0000,"Bloomington, IN",,,
14100,20201001,0.8549,0.0000,"Bloomsburg-Berwick, PA",,,
14260,20201001,0.9289,0.0000,"Boise City, ID",,,
14454,20201001,1.2220,0.0000,"Boston, MA",,,
14500,20201001,1.0574,0.0000,"Boulder, CO",,,
14540,20201001,0.8440,0.0000,"Bowling Green, KY",,,
14740,20201001,1.1451,0.0000,"Bremerton-Silverdale-Port Orchard, WA",,,
14860,20201001,1.2070,0.0000,"Bridgeport-Stamford-Norwalk, CT",,,
15180,20201001,0.8471,0.0000,"Brownsville-Harlingen, TX",,,
15260,20201001,0.8000,0.0000,"Brunswick, GA",,,
