cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,name,imputedFloorWageIndex,ruralFloorWageIndex,size
99901,20251001,0.7322,0.0000,ALABAMA,,,
99902,20251001,1.1274,0.0000,ALASKA,,,
99903,20251001,0.8539,0.0000,ARIZONA,,,
99904,20251001,0.8000,0.0000,ARKANSAS,,,
99905,20251001,1.2775,0.0000,CALIFORNIA,,,
99906,20251001,1.0501,0.0000,COLORADO,,,
99907,20251001,0.9140,0.0000,CONNECTICUT,,,
99908,20251001,1.0095,0.0000,DELAWARE,,,
99910,20251001,0.8363,0.0000,FLORIDA,,,
99911,20251001,0.8000,0.0000,GEORGIA,,,
99912,20251001,1.1312,0.0000,HAWAII,,,
99913,20251001,0.7753,0.0000,IDAHO,,,
99914,20251001,0.8743,0.0000,ILLINOIS,,,
99915,20251001,0.8565,0.0000,INDIANA,,,
99916,20251001,0.8000,0.0000,IOWA,,,
99917,20251001,0.8135,0.0000,KANSAS,,,
99918,20251001,0.8165,0.0000,KENTUCKY,,,
99919,20251001,0.7988,0.0000,LOUISIANA,,,
99920,20251001,0.8039,0.0000,MAINE,,,
99921,20251001,0.8788,0.0000,MARYLAND,,,
99922,20251001,1.1372,0.0000,MASSACHUSETTS,,,
99923,20251001,0.8232,0.0000,MICHIGAN,,,
99924,20251001,0.9037,0.0000,MINNESOTA,,,
99925,20251001,0.8000,0.0000,MISSISSIPPI,,,
99926,20251001,0.8016,0.0000,MISSOURI,,,
99927,20251001,1.1433,0.0000,MONTANA,,,
99928,20251001,0.8864,0.0000,NEBRASKA,,,
99929,20251001,1.1108,0.0000,NEVADA,,,
99930,20251001,1.0138,0.0000,NEW HAMPSHIRE,,,
99932,20251001,0.9194,0.0000,NEW MEXICO,,,
99933,20251001,0.8892,0.0000,NEW YORK,,,
99934,20251001,0.8122,0.0000,NORTH CAROLINA,,,
99935,20251001,0.8469,0.0000,NORTH DAKOTA,,,
99936,20251001,0.8032,0.0000,OHIO,,,
99937,20251001,0.8035,0.0000,OKLAHOMA,,,
99938,20251001,1.0209,0.0000,OREGON,,,
99939,20251001,0.8507,0.0000,PENNSYLVANIA,,,
99940,20251001,0.4200,0.0000,PUERTO RICO,,,
99942,20251001,0.8184,0.0000,SOUTH CAROLINA,,,
99943,20251001,0.8177,0.0000,SOUTH DAKOTA,,,
99944,20251001,0.8000,0.0000,TENNESSEE,,,
99945,20251001,0.8400,0.0000,TEXAS,,,
99946,20251001,0.8969,0.0000,UTAH,,,
99947,20251001,0.8848,0.0000,VERMONT,,,
99948,20251001,0.6088,0.0000,Virgin Islands,,,
99949,20251001,0.8339,0.0000,VIRGINIA,,,
99950,20251001,0.9712,0.0000,WASHINGTON,,,
99951,20251001,0.8000,0.0000,WEST VIRGINIA,,,
99952,20251001,0.8513,0.0000,WISCONSIN,,,
99953,20251001,0.9845,0.0000,WYOMING,,,
99965,20251001,0.9611,0.0000,GUAM,,,
10180,20251001,0.9287,0.0000,"Abilene, TX",,,
10380,20251001,0.3345,0.0000,"Aguadilla, PR",,,
10420,20251001,0.8254,0.0000,"Akron, OH",,,
