diagnosticRelatedGroup,relativeWeight,arithmeticMeanLengthOfStay
003,3.7050,57.5
004,2.9260,45.5
011,1.3482,31.9
012,0.7813,21.1
013,0.6366,19.3
014,0.6366,19.3
016,0.6366,19.3
017,0.6366,19.3
018,0.6366,19.3
020,0.8307,22.9
021,0.4651,15.7
022,0.4651,15.7
023,1.3482,31.9
024,0.4651,15.7
025,0.6366,19.3
026,0.4651,15.7
027,0.4651,15.7
028,0.6366,19.3
029,0.6366,19.3
030,0.6366,19.3
031,0.6366,19.3
032,0.6366,19.3
033,0.4651,15.7
034,0.7985,20.4
035,0.6366,19.3
036,0.6366,19.3
037,1.3482,31.9
038,1.3482,31.9
039,1.3482,31.9
040,1.3858,34.7
041,0.7813,21.1
042,0.7813,21.1
052,1.2064,34.0
053,0.4651,15.7
054,1.2026,29.6
055,0.6458,22.8
056,0.8659,24.9
057,0.6458,22.8
058,0.4651,15.7
059,0.4651,15.7
060,0.4651,15.7
061,0.8329,23.5
062,0.6564,22.1
063,0.4651,15.7
064,0.8307,22.9
065,0.4651,15.7
066,0.4651,15.7
067,0.4651,15.7
068,0.4651,15.7
069,0.4651,15.7
070,0.8329,23.5
071,0.6564,22.1
072,0.4651,15.7
073,0.7813,21.1
074,0.6366,19.3
075,0.6366,19.3
076,0.6366,19.3
077,0.6366,19.3
078,0.4651,15.7
079,0.4651,15.7
080,1.0424,26.9
081,1.0424,26.9
082,0.9365,26.3
083,0.6366,19.3
084,0.4651,15.7
085,1.0424,26.9
086,0.6366,19.3
087,0.6366,19.3
088,1.0424,26.9
089,0.6366,19.3
090,0.6366,19.3
091,0.9279,24.6
092,0.7824,20.1
093,0.6206,20.1
094,1.0948,27.4
095,0.7339,22.6
096,0.7339,22.6
097,0.9115,25.1
098,0.6366,19.3
099,0.6366,19.3
100,0.7813,21.1
101,0.6366,19.3
102,1.0424,26.9
103,0.6366,19.3
113,0.7813,21.1
114,0.7813,21.1
115,0.7813,21.1
116,0.7813,21.1
117,0.7813,21.1
121,0.6366,19.3
122,0.6366,19.3
123,0.6366,19.3
124,0.7813,21.1
125,0.6366,19.3
135,0.7813,21.1
136,0.7813,21.1
137,0.7813,21.1
138,0.7813,21.1
139,0.7813,21.1
140,0.7813,21.1
141,0.7813,21.1
142,0.7813,21.1
143,0.7813,21.1
144,0.7813,21.1
145,0.7813,21.1
146,1.3482,31.9
147,1.0424,26.9
148,0.6366,19.3
149,0.6366,19.3
150,1.0424,26.9
151,0.6366,19.3
152,0.9068,24.0
153,0.6366,19.3
154,1.0424,26.9
155,0.7813,21.1
156,0.6366,19.3
157,1.0424,26.9
158,0.7813,21.1
159,0.6366,19.3
163,2.9476,42.3
164,1.0424,26.9
165,1.0424,26.9
166,2.4576,39.8
167,1.6263,30.6
168,1.3482,31.9
175,1.0424,26.9
176,1.0424,26.9
177,0.7934,21.0
178,0.6326,19.0
179,0.6218,18.7
180,0.7813,21.1
181,0.4651,15.7
182,0.4651,15.7
183,0.7813,21.1
184,0.4651,15.7
185,0.4651,15.7
186,0.7375,18.1
187,0.4651,15.7
188,0.4651,15.7
189,0.9606,21.4
190,0.7011,18.9
191,0.5901,15.5
192,0.4651,15.7
193,0.8642,20.1
194,0.5535,16.2
195,0.5535,16.2
196,0.7813,21.1
197,0.6366,19.3
198,0.4651,15.7
199,0.7813,21.1
200,0.4651,15.7
