diagnosticRelatedGroup,relativeWeight,arithmeticMeanLengthOfStay
003,3.9021,59.3
004,2.8896,44.4
011,1.5530,34.8
012,1.5530,34.8
013,1.5530,34.8
014,0.6062,18.8
016,1.0393,26.7
017,0.6062,18.8
018,0.6062,18.8
020,1.5530,34.8
021,1.5530,34.8
022,1.5530,34.8
023,1.5530,34.8
024,1.5530,34.8
025,1.5530,34.8
026,1.5530,34.8
027,1.5530,34.8
028,1.5530,34.8
029,1.5530,34.8
030,1.5530,34.8
031,1.5530,34.8
032,1.5530,34.8
033,1.5530,34.8
034,1.0393,26.7
035,1.0393,26.7
036,1.0393,26.7
037,1.0393,26.7
038,1.0393,26.7
039,1.0393,26.7
040,1.2517,32.6
041,0.6062,18.8
042,0.6062,18.8
052,1.0840,39.4
053,1.0616,39.4
054,0.6062,18.8
055,0.6062,18.8
056,0.8026,24.0
057,0.6754,23.5
058,1.0393,26.7
059,0.6754,23.5
060,0.6754,23.5
061,1.4532,27.0
062,0.4563,15.5
063,0.4563,15.5
064,1.4532,27.0
065,0.4563,15.5
066,0.4563,15.5
067,0.8726,23.1
068,0.4563,15.5
069,0.4563,15.5
070,0.8726,23.1
071,0.5898,19.0
072,0.4563,15.5
073,0.7854,21.7
074,0.4563,15.5
075,0.4563,15.5
076,0.4563,15.5
077,0.8908,23.6
078,0.7030,20.7
079,0.6062,18.8
080,1.5530,34.8
081,1.5530,34.8
082,1.0379,27.8
083,0.7854,21.7
084,0.6062,18.8
085,0.7854,21.7
086,0.7854,21.7
087,0.6062,18.8
088,0.8908,23.6
089,0.7030,20.7
090,0.6062,18.8
091,0.8908,23.6
092,0.7030,20.7
093,0.6754,23.5
094,1.1967,28.3
095,0.7854,21.7
096,0.4563,15.5
097,0.9809,23.6
098,0.7854,21.7
099,0.6062,18.8
100,1.0393,26.7
101,0.6062,18.8
102,1.0393,26.7
103,0.6062,18.8
113,1.5130,31.5
114,1.0393,26.7
115,1.0393,26.7
116,1.5130,31.5
117,1.0393,26.7
121,0.4563,15.5
122,0.4563,15.5
123,0.4563,15.5
124,0.4563,15.5
125,0.4563,15.5
135,1.5130,31.5
136,1.0393,26.7
137,1.5130,31.5
138,1.0393,26.7
139,1.0393,26.7
140,2.3199,39.6
141,1.5130,31.5
142,1.0393,26.7
143,1.5130,31.5
144,1.0393,26.7
145,1.0393,26.7
146,0.7854,21.7
147,0.7854,21.7
148,0.4563,15.5
149,0.6062,18.8
150,0.4563,15.5
151,0.4563,15.5
152,0.6062,18.8
153,0.6062,18.8
154,1.0393,26.7
155,0.6062,18.8
156,0.6062,18.8
157,1.0393,26.7
158,0.7854,21.7
159,0.7854,21.7
163,2.6487,45.0
164,2.6487,45.0
165,2.6487,45.0
166,2.3199,39.6
167,1.5130,31.5
168,1.0393,26.7
173,1.0393,26.7
175,0.7854,21.7
176,0.4563,15.5
177,0.8223,21.0
178,0.5684,17.7
179,0.5522,17.7
180,0.7854,21.7
181,0.4563,15.5
182,0.4563,15.5
183,0.4563,15.5
184,0.4563,15.5
185,0.4563,15.5
186,0.8635,21.3
187,0.6062,18.8
188,0.6062,18.8
189,0.9416,21.0
190,0.6399,18.1
191,0.6062,18.8
192,0.4563,15.5
193,0.7766,18.9
194,0.5176,17.0
