diagnosticRelatedGroup,relativeWeight,arithmeticMeanLengthOfStay
003,3.6215,54.8
004,2.7772,43.3
011,0.6431,19.4
012,0.6431,19.4
013,0.6431,19.4
014,0.5191,16.9
016,0.5191,16.9
017,0.5191,16.9
018,0.5191,16.9
020,0.9251,24.9
021,0.9251,24.9
022,0.9251,24.9
023,0.6431,19.4
024,0.6431,19.4
025,1.7606,36.6
026,0.6431,19.4
027,0.6431,19.4
028,1.7606,36.6
029,0.9235,24.8
030,0.9235,24.8
031,0.8438,23.5
032,0.8438,23.5
033,0.8438,23.5
034,1.8864,39.8
035,1.8864,39.8
036,1.8864,39.8
037,1.7606,36.6
038,1.7606,36.6
039,1.7606,36.6
040,1.3880,34.8
041,0.6431,19.4
042,0.6431,19.4
052,0.9832,33.0
053,0.9832,33.0
054,1.0691,26.0
055,0.6431,19.4
056,0.8412,24.0
057,0.6678,22.5
058,0.6431,19.4
059,0.6431,19.4
060,0.6431,19.4
061,0.8730,23.4
062,0.7305,20.1
063,0.6431,19.4
064,0.9251,24.9
065,0.5191,16.9
066,0.5191,16.9
067,0.6431,19.4
068,0.6431,19.4
069,0.5191,16.9
070,0.8730,23.4
071,0.7305,20.1
072,0.6431,19.4
073,0.9235,24.8
074,0.9235,24.8
075,0.6431,19.4
076,0.6431,19.4
077,0.6431,19.4
078,0.6431,19.4
079,0.6431,19.4
080,1.7606,36.6
081,0.5191,16.9
082,1.0270,28.9
083,0.7535,23.6
084,0.5191,16.9
085,1.0260,25.7
086,0.6431,19.4
087,0.6431,19.4
088,1.7606,36.6
089,0.6431,19.4
090,0.6431,19.4
091,0.8704,23.3
092,0.8704,23.3
093,0.8704,23.3
094,1.0665,27.2
095,0.7534,20.5
096,0.5191,16.9
097,0.9602,21.9
098,0.8438,23.5
099,0.8438,23.5
100,0.7234,21.5
101,0.6431,19.4
102,0.6431,19.4
103,0.6431,19.4
113,0.6431,19.4
114,0.6431,19.4
115,0.6431,19.4
116,0.6431,19.4
117,0.6431,19.4
121,1.0691,26.0
122,0.6431,19.4
123,0.6431,19.4
124,0.6431,19.4
125,0.6431,19.4
135,0.6431,19.4
136,0.6431,19.4
137,0.6431,19.4
138,0.6431,19.4
139,0.5191,16.9
140,0.5191,16.9
141,0.5191,16.9
142,0.5191,16.9
143,0.8438,23.5
144,0.8438,23.5
145,0.8438,23.5
146,0.8438,23.5
147,0.6431,19.4
148,0.5191,16.9
149,0.5191,16.9
150,0.8438,23.5
151,0.8438,23.5
152,0.8438,23.5
153,0.6431,19.4
154,1.7606,36.6
155,0.6431,19.4
156,0.6431,19.4
157,1.0691,26.0
158,0.8438,23.5
159,0.6431,19.4
163,2.8678,44.9
164,0.8438,23.5
165,0.8438,23.5
166,2.3509,40.0
167,1.4267,29.1
168,1.4267,29.1
175,0.7253,20.6
176,0.7253,20.6
177,0.8259,21.6
178,0.5980,18.6
179,0.5980,18.6
180,0.8438,23.5
181,0.5191,16.9
182,0.5191,16.9
183,0.6431,19.4
184,0.6431,19.4
185,0.6431,19.4
186,0.8212,20.6
187,0.6431,19.4
188,0.6431,19.4
189,0.9446,21.3
190,0.7303,18.9
191,0.6578,16.3
192,0.6578,16.3
193,0.7073,19.0
194,0.6168,17.9
