diagnosticRelatedGroup,relativeWeight,arithmeticMeanLengthOfStay
001,0.0000,00.0
002,0.0000,00.0
003,3.4928,52.8
004,2.8728,44.6
005,0.0000,00.0
006,0.0000,00.0
007,0.0000,00.0
008,0.0000,00.0
010,0.0000,00.0
011,2.3406,38.0
012,1.5773,33.0
013,0.9445,25.2
014,0.4780,15.4
016,0.6815,20.9
017,0.4780,15.4
018,0.4780,15.4
019,0.0000,00.0
020,1.2623,31.8
021,1.2623,31.8
022,1.2623,31.8
023,1.2623,31.8
024,1.2623,31.8
025,1.2623,31.8
026,1.2623,31.8
027,1.2623,31.8
028,1.1990,34.1
029,1.1990,34.1
030,0.4780,15.4
031,1.2623,31.8
032,1.2623,31.8
033,1.2623,31.8
034,1.2623,31.8
035,1.2623,31.8
036,1.2623,31.8
037,1.2623,31.8
038,1.2623,31.8
039,1.2623,31.8
040,1.4690,36.4
041,1.2623,31.8
042,1.2623,31.8
052,1.0631,35.3
053,1.0631,35.3
054,1.2623,31.8
055,0.4780,15.4
056,0.9081,25.5
057,0.6371,21.9
058,0.4780,15.4
059,0.4780,15.4
060,0.4780,15.4
061,1.3008,20.6
062,0.6815,20.9
063,0.4780,15.4
064,1.3008,20.6
065,0.6815,20.9
066,0.4780,15.4
067,0.6387,19.1
068,0.6236,19.2
069,0.6236,19.2
070,0.8175,24.0
071,0.6236,19.2
072,0.6236,19.2
073,1.2623,31.8
074,0.4780,15.4
075,0.6387,19.1
076,0.6387,19.1
077,0.9445,25.2
078,0.9445,25.2
079,0.6815,20.9
080,0.6815,20.9
081,0.6815,20.9
082,1.0729,25.8
083,0.6387,19.1
084,0.6387,19.1
085,0.6815,20.9
086,0.6387,19.1
087,0.6387,19.1
088,0.8324,23.0
089,0.6293,18.3
090,0.4780,15.4
091,0.8324,23.0
092,0.6293,18.3
093,0.4780,15.4
094,1.0712,25.9
095,0.6815,20.9
096,0.6815,20.9
097,0.9302,23.4
098,0.6387,19.1
099,0.4780,15.4
100,0.6815,20.9
101,0.6815,20.9
102,0.6815,20.9
103,0.6815,20.9
113,0.9445,25.2
114,0.9445,25.2
115,0.9445,25.2
116,0.9445,25.2
117,0.9445,25.2
121,0.4780,15.4
122,0.4780,15.4
123,0.4780,15.4
124,0.6815,20.9
125,0.6815,20.9
135,0.9445,25.2
136,0.9445,25.2
137,0.9445,25.2
138,0.9445,25.2
139,0.9445,25.2
140,2.3406,38.0
141,0.9445,25.2
142,0.9445,25.2
143,0.9445,25.2
144,0.9445,25.2
145,0.9445,25.2
146,0.6387,19.1
147,0.6387,19.1
148,0.6387,19.1
149,0.4780,15.4
150,0.4780,15.4
151,0.4780,15.4
152,0.9445,25.2
153,0.6387,19.1
154,0.9445,25.2
155,0.9445,25.2
156,0.6387,19.1
157,0.9445,25.2
158,0.6815,20.9
159,0.6815,20.9
163,2.3709,31.1
164,2.3709,31.1
165,2.3709,31.1
166,2.3406,38.0
167,1.5773,33.0
168,1.5773,33.0
173,1.5773,33.0
175,0.7030,20.6
176,0.6387,19.1
177,0.8106,20.7
178,0.5211,17.8
179,0.5211,17.8
180,0.4780,15.4
181,0.4780,15.4
182,0.4780,15.4
183,0.4780,15.4
184,0.4780,15.4
185,0.4780,15.4
186,0.7729,18.4
187,0.5921,18.4
188,0.5921,18.4
189,0.9787,20.8
190,0.6535,17.9
191,0.6535,17.9
192,0.6535,17.9
193,0.6951,18.8
194,0.5334,16.3
195,0.4780,15.4
196,0.9445,25.2
197,0.9445,25.2
198,0.9445,25.2
199,0.6815,20.9
200,0.6815,20.9
201,0.6815,20.9
202,1.2623,31.8
203,0.4780,15.4
204,0.6387,19.1
205,1.3114,23.6
206,0.6387,19.1
207,1.9446,31.9
208,1.1808,22.2
212,1.2623,31.8
215,1.2623,31.8
216,1.2623,31.8
217,1.2623,31.8
218,1.2623,31.8
219,1.2623,31.8
220,1.2623,31.8
221,1.2623,31.8
228,1.2623,31.8
229,1.2623,31.8
231,1.2623,31.8
232,1.2623,31.8
233,1.2623,31.8
234,1.2623,31.8
235,1.2623,31.8
236,1.2623,31.8
239,1.2623,31.8
240,1.2623,31.8
241,1.2623,31.8
242,1.2623,31.8
243,0.6387,19.1
244,0.4780,15.4
245,1.2706,28.5
250,1.2623,31.8
251,1.2623,31.8
252,1.2623,31.8
253,1.2623,31.8
254,1.2623,31.8
255,1.2623,31.8
256,1.2623,31.8
257,1.2623,31.8
258,1.2623,31.8
259,0.4780,15.4
260,0.9445,25.2
261,0.6387,19.1
262,0.4780,15.4
263,1.2706,28.5
264,1.2706,28.5
265,0.6815,20.9
266,1.2623,31.8
267,1.2623,31.8
268,1.2623,31.8
269,1.2623,31.8
270,1.2623,31.8
271,1.2623,31.8
272,1.2623,31.8
273,1.2623,31.8
274,1.2623,31.8
275,1.2623,31.8
276,0.9445,25.2
277,0.9445,25.2
278,0.9445,25.2
279,0.9445,25.2
280,0.8199,21.0
281,0.6387,19.1
282,0.4780,15.4
283,0.9445,25.2
284,0.6387,19.1
285,0.4780,15.4
286,0.6815,20.9
287,0.6815,20.9
288,1.0190,24.2
289,0.7160,22.6
290,0.6815,20.9
291,0.7695,20.4
292,0.5464,17.2
293,0.4780,15.4
294,0.7582,19.8
295,0.4780,15.4
296,0.7695,20.4
297,0.5464,17.2
298,0.5464,17.2
299,0.7582,19.8
300,0.5551,18.4
301,0.4780,15.4
302,0.6387,19.1
303,0.4780,15.4
304,0.9445,25.2
305,0.6815,20.9
306,0.9445,25.2
307,0.6387,19.1
308,0.8372,19.7
309,0.4780,15.4
310,0.4780,15.4
311,0.6815,20.9
312,0.9445,25.2
313,0.6815,20.9
314,0.8831,22.8
315,0.6216,17.5
316,0.4780,15.4
317,0.4780,15.4
319,0.9445,25.2
320,0.6387,19.1
321,0.6387,19.1
322,0.4780,15.4
323,0.6387,19.1
324,0.4780,15.4
325,0.6387,19.1
326,0.9445,25.2
327,0.7254,20.6
328,0.6387,19.1
329,1.2623,31.8
330,0.6387,19.1
331,0.6387,19.1
332,0.7254,20.6
333,0.7254,20.6
334,0.6387,19.1
335,0.6387,19.1
336,0.6387,19.1
337,0.6387,19.1
344,1.2623,31.8
345,0.7254,20.6
346,0.6387,19.1
347,0.8935,23.5
348,0.7254,20.6
349,0.6387,19.1
350,0.8935,23.5
351,0.7254,20.6
352,0.6387,19.1
353,1.2623,31.8
354,0.7254,20.6
355,0.6387,19.1
356,1.3958,30.3
357,0.6815,20.9
358,0.6815,20.9
368,0.6815,20.9
369,0.6815,20.9
370,0.4780,15.4
371,0.8935,23.5
372,0.7254,20.6
373,0.6387,19.1
374,0.9445,25.2
375,0.6387,19.1
376,0.6387,19.1
377,0.7113,20.5
378,0.6387,19.1
379,0.6387,19.1
380,0.9577,22.0
381,0.6815,20.9
382,0.6387,19.1
383,0.6815,20.9
384,0.4780,15.4
385,1.2623,31.8
386,0.9445,25.2
387,0.9445,25.2
388,0.9881,22.3
389,0.6815,20.9
390,0.4780,15.4
391,0.7744,21.9
392,0.6264,16.0
393,1.0160,26.0
394,0.7191,20.7
395,0.4780,15.4
397,0.8935,23.5
398,0.7254,20.6
399,0.6387,19.1
402,0.7030,19.3
405,1.2623,31.8
406,0.6815,20.9
407,0.6387,19.1
408,0.7191,20.7
409,0.6387,19.1
410,0.6387,19.1
411,0.9577,22.0
412,0.6815,20.9
413,0.6387,19.1
414,0.9577,22.0
415,0.7191,20.7
416,0.7191,20.7
417,0.9577,22.0
418,0.7254,20.6
419,0.7254,20.6
420,0.7191,20.7
421,0.6387,19.1
422,0.6387,19.1
423,1.2623,31.8
424,0.6387,19.1
425,0.6387,19.1
426,1.0631,35.3
427,1.0631,35.3
428,0.8771,24.0
429,1.0631,35.3
430,0.7030,19.3
432,0.7380,19.3
433,0.6387,19.1
434,0.4780,15.4
435,0.9445,25.2
436,0.6387,19.1
437,0.6387,19.1
438,1.0477,22.8
439,0.6815,20.9
440,0.6387,19.1
441,0.9311,24.3
442,0.4780,15.4
443,0.4780,15.4
444,0.7605,20.1
445,0.6946,20.1
446,0.6387,19.1
447,1.0631,35.3
448,1.0631,35.3
450,0.8771,24.0
451,0.7030,19.3
456,0.7030,19.3
457,0.7030,19.3
