diagnosticRelatedGroup,relativeWeight,arithmeticMeanLengthOfStay
001,0.0000,00.0
002,0.0000,00.0
003,3.6440,54.8
004,3.0549,45.8
005,0.0000,00.0
006,0.0000,00.0
007,0.0000,00.0
008,0.0000,00.0
010,0.0000,00.0
011,2.2804,38.4
012,1.4245,32.0
013,1.4245,32.0
014,0.6071,19.0
016,0.9466,25.4
017,0.6071,19.0
018,0.6071,19.0
019,0.0000,00.0
020,1.4555,35.0
021,0.9466,25.4
022,0.9466,25.4
023,1.4555,35.0
024,0.9466,25.4
025,1.4555,35.0
026,0.9466,25.4
027,0.9466,25.4
028,1.4320,34.2
029,0.6071,19.0
030,0.6071,19.0
031,1.4555,35.0
032,0.9466,25.4
033,0.9466,25.4
034,1.4555,35.0
035,0.9466,25.4
036,0.9466,25.4
037,0.7087,21.2
038,0.7087,21.2
039,0.7087,21.2
040,1.4320,34.2
041,0.6071,19.0
042,0.6071,19.0
052,1.0547,35.8
053,0.5227,16.9
054,0.9466,25.4
055,0.9466,25.4
056,0.8652,25.4
057,0.6377,22.7
058,0.5227,16.9
059,0.5227,16.9
060,0.5227,16.9
061,1.1687,24.6
062,0.7087,21.2
063,0.7087,21.2
064,1.1687,24.6
065,0.7087,21.2
066,0.7087,21.2
067,1.4555,35.0
068,0.6071,19.0
069,0.5227,16.9
070,0.8393,23.6
071,0.5603,18.8
072,0.5044,18.8
073,0.7087,21.2
074,0.7087,21.2
075,0.6071,19.0
076,0.6071,19.0
080,0.6071,19.0
081,0.5227,16.9
082,1.1421,29.0
083,0.6647,23.8
084,0.5227,16.9
085,0.9466,25.4
086,0.9466,25.4
087,0.5227,16.9
088,0.7984,24.0
089,0.6136,21.6
090,0.5227,16.9
091,0.7984,24.0
092,0.6136,21.6
093,0.6136,21.6
094,1.0170,27.0
095,0.8096,24.5
096,0.5227,16.9
097,1.0037,25.4
098,0.9466,25.4
099,0.6071,19.0
100,0.8577,23.5
101,0.6071,19.0
102,0.7087,21.2
103,0.7087,21.2
113,1.4555,35.0
114,1.4245,32.0
115,1.4555,35.0
116,1.4555,35.0
117,1.4245,32.0
121,0.8577,23.5
122,0.6071,19.0
123,0.6071,19.0
124,0.8577,23.5
125,0.6071,19.0
135,1.4555,35.0
136,1.4245,32.0
137,1.4555,35.0
138,1.4245,32.0
139,1.4245,32.0
140,2.2804,38.4
141,1.4245,32.0
142,1.4245,32.0
143,1.4555,35.0
144,1.4245,32.0
145,1.4245,32.0
146,0.5227,16.9
147,0.5227,16.9
148,0.5227,16.9
149,0.5227,16.9
150,0.5227,16.9
151,0.5227,16.9
152,0.9466,25.4
153,0.7087,21.2
154,0.9466,25.4
155,0.7087,21.2
156,0.5227,16.9
157,1.4555,35.0
158,1.4555,35.0
159,0.5227,16.9
163,2.4177,39.6
164,1.4555,35.0
165,1.4555,35.0
166,2.2804,38.4
167,1.4245,32.0
168,1.4245,32.0
173,1.4245,32.0
175,0.6071,19.0
176,0.6071,19.0
177,0.7857,21.6
178,0.5669,18.1
179,0.5669,18.1
180,0.7087,21.2
181,0.5227,16.9
182,0.5227,16.9
183,0.5227,16.9
184,0.5227,16.9
185,0.5227,16.9
186,0.8503,23.2
187,0.6071,19.0
188,0.6071,19.0
189,0.9443,21.2
190,0.6530,18.5
191,0.6530,18.5
192,0.6071,19.0
193,0.7201,19.6
194,0.5274,16.7
195,0.5274,16.7
196,0.8708,20.1
197,0.5227,16.9
198,0.5227,16.9
199,0.8041,23.1
200,0.6071,19.0
201,0.6071,19.0
202,0.9466,25.4
203,0.5274,16.7
204,0.7087,21.2
205,1.1845,27.1
206,0.7087,21.2
207,2.0491,32.5
208,1.1749,22.0
209,0.9466,25.4
212,0.9466,25.4
213,0.9466,25.4
215,0.9466,25.4
216,0.9466,25.4
217,0.9466,25.4
218,0.9466,25.4
219,0.9466,25.4
220,0.9466,25.4
221,0.9466,25.4
228,0.9466,25.4
229,0.9466,25.4
231,0.9466,25.4
232,0.9466,25.4
233,0.9466,25.4
234,0.9466,25.4
235,0.9466,25.4
236,0.9466,25.4
239,1.4555,35.0
240,0.7087,21.2
241,0.7087,21.2
242,1.4555,35.0
243,0.9466,25.4
244,0.7087,21.2
245,0.7087,21.2
250,1.4555,35.0
251,0.7087,21.2
252,1.4555,35.0
253,0.7087,21.2
254,0.7087,21.2
255,1.4555,35.0
256,0.7087,21.2
257,0.7087,21.2
258,1.4555,35.0
259,0.7087,21.2
260,0.6071,19.0
261,0.6071,19.0
262,0.6071,19.0
263,0.7087,21.2
264,1.1416,27.4
265,0.6071,19.0
266,0.9466,25.4
267,0.9466,25.4
268,0.9466,25.4
269,0.9466,25.4
270,0.9466,25.4
271,0.9466,25.4
272,0.9466,25.4
273,0.9466,25.4
274,0.9466,25.4
275,0.9466,25.4
276,0.6071,19.0
277,0.6071,19.0
278,0.9466,25.4
279,0.9466,25.4
280,0.9168,22.9
281,0.6071,19.0
282,0.5227,16.9
283,0.9466,25.4
284,0.6071,19.0
285,0.5227,16.9
286,0.9466,25.4
287,0.5227,16.9
288,0.9746,25.7
289,0.7619,25.3
290,0.5227,16.9
291,0.7819,20.9
292,0.7599,21.1
293,0.7599,21.1
296,0.7819,20.9
297,0.6071,19.0
298,0.5227,16.9
299,0.7878,22.2
300,0.5714,20.5
301,0.5714,20.5
302,0.9466,25.4
303,0.5227,16.9
304,0.5227,16.9
305,0.5227,16.9
306,0.7087,21.2
307,0.6071,19.0
308,0.8088,20.4
309,0.7087,21.2
310,0.5227,16.9
311,0.7087,21.2
312,0.7087,21.2
313,0.5227,16.9
314,0.9151,23.1
315,0.7231,20.4
316,0.7087,21.2
317,0.9466,25.4
318,0.9466,25.4
319,0.9466,25.4
320,0.9466,25.4
321,0.9466,25.4
322,0.7087,21.2
323,1.4555,35.0
324,1.4555,35.0
325,1.4555,35.0
326,1.4555,35.0
327,0.5227,16.9
328,0.5227,16.9
329,1.4555,35.0
330,0.5227,16.9
331,0.5227,16.9
332,1.4555,35.0
333,0.5227,16.9
334,0.5227,16.9
335,1.4555,35.0
336,0.5227,16.9
337,0.5227,16.9
344,1.4555,35.0
345,0.6071,19.0
346,0.5227,16.9
347,0.9466,25.4
348,0.5227,16.9
349,0.5227,16.9
350,0.9466,25.4
351,0.5227,16.9
352,0.5227,16.9
353,1.4555,35.0
354,0.5227,16.9
355,0.5227,16.9
356,1.4048,31.9
357,0.9466,25.4
358,0.5227,16.9
359,1.4555,35.0
360,0.9466,25.4
368,0.7087,21.2
369,0.7087,21.2
370,0.7087,21.2
371,0.8763,23.7
372,0.6518,19.3
373,0.5881,19.3
374,0.9466,25.4
375,0.7087,21.2
376,0.6071,19.0
377,0.7087,21.2
378,0.5227,16.9
379,0.5227,16.9
380,0.9466,25.4
381,0.6071,19.0
382,0.5227,16.9
383,0.5227,16.9
384,0.5044,18.8
385,1.4555,35.0
386,1.4555,35.0
387,1.4555,35.0
388,0.8878,23.5
389,0.6422,20.0
390,0.6422,20.0
391,0.7259,21.6
392,0.6048,20.7
393,1.0453,27.0
394,0.6461,21.7
395,0.5227,16.9
397,0.8763,23.7
398,0.6518,19.3
399,0.5881,19.3
402,0.7287,21.8
405,0.9466,25.4
406,0.6518,19.3
407,0.5227,16.9
408,1.4555,35.0
409,0.5227,16.9
410,0.5227,16.9
411,0.9466,25.4
412,0.6071,19.0
413,0.5227,16.9
414,0.9466,25.4
415,0.6461,21.7
416,0.6461,21.7
417,0.5227,16.9
418,0.5044,18.8
419,0.5044,18.8
420,0.6461,21.7
421,0.5227,16.9
422,0.5227,16.9
423,0.9466,25.4
424,0.5227,16.9
425,0.5227,16.9
426,1.0547,35.8
427,1.0547,35.8
428,0.7881,21.8
429,1.0547,35.8
430,0.7287,21.8
432,0.6631,19.6
433,0.6290,19.6
434,0.5227,16.9
435,0.6071,19.0
436,0.6071,19.0
437,0.6071,19.0
438,1.0355,27.2
439,0.7087,21.2
440,0.7087,21.2
441,0.9460,23.1
442,0.6071,19.0
443,0.6071,19.0
444,0.7377,21.5
445,0.6071,19.0
446,0.6071,19.0
447,0.5227,16.9
448,0.5044,18.8
450,0.7881,21.8
451,0.7287,21.8
456,1.4555,35.0
457,0.7287,21.8
