diagnosticRelatedGroup,effectiveDate,weight,geometricMeanLengthOfStay,lowVolumeDrg,arithmeticMeanLengthOfStay,postAcuteCare,specialPaymentPostAcuteCare,description
216,2025-10-01,9.7828,10.6,,13.6,Y,Y,CARDIAC VALVE AND OTHER MA
217,2025-10-01,6.5753,4.3,,6.2,Y,Y,CARDIAC VALVE AND OTHER MA
218,2025-10-01,6.5753,4.3,,6.2,Y,Y,CARDIAC VALVE AND OTHER MA
219,2025-10-01,7.6783,8.2,,10.0,Y,Y,CARDIAC VALVE AND OTHER MA
220,2025-10-01,5.3328,5.4,,6.1,Y,Y,CARDIAC VALVE AND OTHER MA
221,2025-10-01,5.0402,2.9,,3.6,Y,Y,CARDIAC VALVE AND OTHER MA
228,2025-10-01,4.9474,6.1,,8.5,,,OTHER CARDIOTHORACIC PROCE
229,2025-10-01,3.1495,2.4,,3.2,,,OTHER CARDIOTHORACIC PROCE
231,2025-10-01,8.4299,10.4,,12.0,,,CORONARY BYPASS WITH PTCA
232,2025-10-01,6.0626,7.5,,8.6,,,CORONARY BYPASS WITH PTCA
233,2025-10-01,7.6452,11.0,,12.3,Y,,CORONARY BYPASS WITH CARDI
234,2025-10-01,5.4627,8.2,,8.8,Y,,CORONARY BYPASS WITH CARDI
235,2025-10-01,5.8686,8.0,,9.1,Y,,CORONARY BYPASS WITHOUT CA
236,2025-10-01,4.1888,5.8,,6.2,Y,,CORONARY BYPASS WITHOUT CA
239,2025-10-01,4.9217,11.1,,13.8,Y,,AMPUTATION FOR CIRCULATORY
240,2025-10-01,2.8505,7.3,,8.8,Y,,AMPUTATION FOR CIRCULATORY
241,2025-10-01,1.3844,4.0,,4.8,Y,,AMPUTATION FOR CIRCULATORY
242,2025-10-01,3.1928,4.8,,6.2,Y,,PERMANENT CARDIAC PACEMAKE
243,2025-10-01,2.1309,2.8,,3.5,Y,,PERMANENT CARDIAC PACEMAKE
244,2025-10-01,1.8075,2.1,,2.5,Y,,PERMANENT CARDIAC PACEMAKE
245,2025-10-01,4.5624,4.1,,6.2,,,AICD GENERATOR PROCEDURES
250,2025-10-01,2.1825,3.1,,4.3,,,PERCUTANEOUS CARDIOVASCULA
251,2025-10-01,1.4945,2.0,,2.4,,,PERCUTANEOUS CARDIOVASCULA
252,2025-10-01,3.4883,5.3,,7.8,,,OTHER VASCULAR PROCEDURES
253,2025-10-01,2.5956,3.7,,5.1,,,OTHER VASCULAR PROCEDURES
