diagnosticRelatedGroup,effectiveDate,weight,geometricMeanLengthOfStay,lowVolumeDrg,arithmeticMeanLengthOfStay,postAcuteCare,specialPaymentPostAcuteCare,description
479,2025-10-01,1.8589,3.3,,4.1,Y,Y,BIOPSIES OF MUSCULOSKELETA
480,2025-10-01,2.9123,6.1,,7.3,Y,Y,HIP AND FEMUR PROCEDURES E
481,2025-10-01,2.0945,4.3,,4.8,Y,Y,HIP AND FEMUR PROCEDURES E
482,2025-10-01,1.6310,3.1,,3.5,Y,Y,HIP AND FEMUR PROCEDURES E
483,2025-10-01,2.7719,2.0,,2.8,,,MAJOR JOINT OR LIMB REATTA
485,2025-10-01,3.2271,8.1,,9.6,,,KNEE PROCEDURES WITH PRINC
486,2025-10-01,2.0911,5.1,,6.0,,,KNEE PROCEDURES WITH PRINC
487,2025-10-01,1.5662,3.5,,4.1,,,KNEE PROCEDURES WITH PRINC
488,2025-10-01,1.7689,2.2,,3.1,Y,,KNEE PROCEDURES WITHOUT PR
489,2025-10-01,1.1168,1.2,,1.4,Y,,KNEE PROCEDURES WITHOUT PR
492,2025-10-01,3.6716,6.6,,8.4,Y,Y,LOWER EXTREMITY AND HUMERU
493,2025-10-01,2.5361,4.2,,5.1,Y,Y,LOWER EXTREMITY AND HUMERU
494,2025-10-01,2.0065,2.8,,3.4,Y,Y,LOWER EXTREMITY AND HUMERU
495,2025-10-01,3.6257,7.2,,9.9,Y,Y,LOCAL EXCISION AND REMOVAL
496,2025-10-01,1.8039,2.8,,3.9,Y,Y,LOCAL EXCISION AND REMOVAL
497,2025-10-01,1.2083,1.4,,1.8,Y,Y,LOCAL EXCISION AND REMOVAL
498,2025-10-01,3.0168,4.4,,5.9,,,LOCAL EXCISION AND REMOVAL
499,2025-10-01,2.0148,1.8,,2.3,,,LOCAL EXCISION AND REMOVAL
500,2025-10-01,3.1648,7.6,,9.9,Y,Y,SOFT TISSUE PROCEDURES WIT
501,2025-10-01,1.7481,4.0,,5.2,Y,Y,SOFT TISSUE PROCEDURES WIT
502,2025-10-01,1.3459,2.4,,3.0,Y,Y,SOFT TISSUE PROCEDURES WIT
503,2025-10-01,2.7911,7.1,,8.9,,,FOOT PROCEDURES WITH MCC
504,2025-10-01,1.8692,4.5,,5.5,,,FOOT PROCEDURES WITH CC
505,2025-10-01,1.7928,2.7,,3.2,,,FOOT PROCEDURES WITHOUT CC
506,2025-10-01,1.3492,3.7,,4.5,,,MAJOR THUMB OR JOINT PROCE
507,2025-10-01,1.8064,5.1,,6.4,,,MAJOR SHOULDER OR ELBOW JO
508,2025-10-01,1.5144,3.2,,3.8,,,MAJOR SHOULDER OR ELBOW JO
510,2025-10-01,3.0205,5.3,,6.9,Y,,"SHOULDER, ELBOW OR FOREARM"
511,2025-10-01,2.0794,3.5,,4.4,Y,,"SHOULDER, ELBOW OR FOREARM"
512,2025-10-01,1.6554,2.3,,2.7,Y,,"SHOULDER, ELBOW OR FOREARM"
513,2025-10-01,1.5743,3.9,,5.2,,,"HAND OR WRIST PROCEDURES,"
514,2025-10-01,1.0223,2.1,,2.6,,,"HAND OR WRIST PROCEDURES,"
515,2025-10-01,3.1869,6.7,,8.4,Y,Y,OTHER MUSCULOSKELETAL SYST
516,2025-10-01,2.0781,4.0,,5.1,Y,Y,OTHER MUSCULOSKELETAL SYST
517,2025-10-01,1.5367,2.3,,2.9,Y,Y,OTHER MUSCULOSKELETAL SYST
518,2025-10-01,3.7373,5.3,,7.6,Y,Y,BACK AND NECK PROCEDURES E
519,2025-10-01,2.0002,3.2,,4.2,Y,Y,BACK AND NECK PROCEDURES E
520,2025-10-01,1.4939,2.1,,2.6,Y,Y,BACK AND NECK PROCEDURES E
521,2025-10-01,2.8702,6.0,,7.0,Y,Y,HIP REPLACEMENT WITH PRINC
522,2025-10-01,2.1177,4.0,,4.5,Y,Y,HIP REPLACEMENT WITH PRINC
533,2025-10-01,1.5677,4.3,,5.7,Y,,FRACTURES OF FEMUR WITH MC
534,2025-10-01,0.8061,2.9,,3.5,Y,,FRACTURES OF FEMUR WITHOUT
535,2025-10-01,1.2820,3.9,,5.0,Y,,FRACTURES OF HIP AND PELVI
536,2025-10-01,0.8076,2.9,,3.5,Y,,FRACTURES OF HIP AND PELVI
537,2025-10-01,0.9543,3.3,,4.1,,,"SPRAINS, STRAINS, AND DISL"
538,2025-10-01,0.7203,2.4,,2.9,,,"SPRAINS, STRAINS, AND DISL"
539,2025-10-01,1.9697,6.2,,8.1,Y,,OSTEOMYELITIS WITH MCC
540,2025-10-01,1.2963,4.3,,5.6,Y,,OSTEOMYELITIS WITH CC
541,2025-10-01,0.7874,2.9,,3.6,Y,,OSTEOMYELITIS WITHOUT CC/M
542,2025-10-01,1.7665,5.0,,6.8,Y,,PATHOLOGICAL FRACTURES AND
543,2025-10-01,1.0280,3.5,,4.4,Y,,PATHOLOGICAL FRACTURES AND
544,2025-10-01,0.7546,2.7,,3.1,Y,,PATHOLOGICAL FRACTURES AND
545,2025-10-01,2.4817,5.5,,8.3,Y,,CONNECTIVE TISSUE DISORDER
546,2025-10-01,1.1534,3.4,,4.4,Y,,CONNECTIVE TISSUE DISORDER
547,2025-10-01,0.8362,2.5,,3.0,Y,,CONNECTIVE TISSUE DISORDER
548,2025-10-01,1.9309,5.9,,7.7,,,SEPTIC ARTHRITIS WITH MCC
549,2025-10-01,1.2072,3.9,,4.9,,,SEPTIC ARTHRITIS WITH CC
550,2025-10-01,0.8741,3.1,,3.7,,,SEPTIC ARTHRITIS WITHOUT C
551,2025-10-01,1.6761,4.5,,5.9,Y,,MEDICAL BACK PROBLEMS WITH
552,2025-10-01,0.9613,2.9,,3.6,Y,,MEDICAL BACK PROBLEMS WITH
553,2025-10-01,1.2963,4.0,,5.2,,,BONE DISEASES AND ARTHROPA
554,2025-10-01,0.8301,2.8,,3.5,,,BONE DISEASES AND ARTHROPA
555,2025-10-01,1.3218,3.8,,5.2,,,SIGNS AND SYMPTOMS OF MUSC
556,2025-10-01,0.8306,2.7,,3.3,,,SIGNS AND SYMPTOMS OF MUSC
557,2025-10-01,1.4869,4.7,,6.1,Y,,"TENDONITIS, MYOSITIS AND B"
558,2025-10-01,0.8932,3.1,,3.9,Y,,"TENDONITIS, MYOSITIS AND B"
559,2025-10-01,1.8649,5.1,,7.0,Y,,"AFTERCARE, MUSCULOSKELETAL"
560,2025-10-01,1.1261,3.8,,5.2,Y,,"AFTERCARE, MUSCULOSKELETAL"
561,2025-10-01,0.8039,2.9,,4.2,Y,,"AFTERCARE, MUSCULOSKELETAL"
562,2025-10-01,1.4248,4.1,,5.2,Y,,"FRACTURE, SPRAIN, STRAIN A"
563,2025-10-01,0.8955,3.0,,3.5,Y,,"FRACTURE, SPRAIN, STRAIN A"
564,2025-10-01,1.5436,4.8,,6.2,,,OTHER MUSCULOSKELETAL SYST
565,2025-10-01,0.9744,3.3,,4.1,,,OTHER MUSCULOSKELETAL SYST
566,2025-10-01,0.7493,2.4,,2.9,,,OTHER MUSCULOSKELETAL SYST
570,2025-10-01,2.9411,7.8,,10.3,Y,,SKIN DEBRIDEMENT WITH MCC
571,2025-10-01,1.6895,5.0,,6.3,Y,,SKIN DEBRIDEMENT WITH CC
572,2025-10-01,1.1463,2.8,,3.6,Y,,SKIN DEBRIDEMENT WITHOUT C
573,2025-10-01,6.5514,12.0,,16.7,Y,,SKIN GRAFT FOR SKIN ULCER
574,2025-10-01,3.4714,7.6,,10.6,Y,,SKIN GRAFT FOR SKIN ULCER
575,2025-10-01,1.7970,4.0,,4.9,Y,,SKIN GRAFT FOR SKIN ULCER
576,2025-10-01,4.9012,8.8,,12.5,,,SKIN GRAFT EXCEPT FOR SKIN
577,2025-10-01,2.6507,4.3,,6.6,,,SKIN GRAFT EXCEPT FOR SKIN
578,2025-10-01,1.6064,2.3,,3.2,,,SKIN GRAFT EXCEPT FOR SKIN
579,2025-10-01,3.2385,7.5,,10.3,Y,,"OTHER SKIN, SUBCUTANEOUS T"
580,2025-10-01,1.7280,4.1,,5.5,Y,,"OTHER SKIN, SUBCUTANEOUS T"
581,2025-10-01,1.4431,2.1,,2.6,Y,,"OTHER SKIN, SUBCUTANEOUS T"
582,2025-10-01,1.9266,2.6,,3.4,,,MASTECTOMY FOR MALIGNANCY
583,2025-10-01,1.7244,1.7,,2.1,,,MASTECTOMY FOR MALIGNANCY
584,2025-10-01,2.1407,3.3,,4.4,,,"BREAST BIOPSY, LOCAL EXCIS"
585,2025-10-01,1.9291,2.0,,2.3,,,"BREAST BIOPSY, LOCAL EXCIS"
592,2025-10-01,1.9353,5.7,,8.1,Y,,SKIN ULCERS WITH MCC
593,2025-10-01,1.1863,4.2,,5.6,Y,,SKIN ULCERS WITH CC
594,2025-10-01,0.8668,3.2,,4.1,Y,,SKIN ULCERS WITHOUT CC/MCC
595,2025-10-01,2.1207,5.4,,7.5,,,MAJOR SKIN DISORDERS WITH
596,2025-10-01,1.0825,3.4,,4.5,,,MAJOR SKIN DISORDERS WITHO
597,2025-10-01,1.6671,4.7,,6.5,,,MALIGNANT BREAST DISORDERS
598,2025-10-01,1.1313,3.4,,4.7,,,MALIGNANT BREAST DISORDERS
599,2025-10-01,0.7694,2.4,,2.8,,,MALIGNANT BREAST DISORDERS
600,2025-10-01,1.0416,3.2,,4.0,,,NON-MALIGNANT BREAST DISOR
601,2025-10-01,0.6050,2.3,,2.6,,,NON-MALIGNANT BREAST DISOR
602,2025-10-01,1.4213,4.5,,5.8,Y,,CELLULITIS WITH MCC
603,2025-10-01,0.8709,3.1,,3.8,Y,,CELLULITIS WITHOUT MCC
604,2025-10-01,1.4721,3.9,,5.1,,,"TRAUMA TO THE SKIN, SUBCUT"
605,2025-10-01,0.9160,2.7,,3.3,,,"TRAUMA TO THE SKIN, SUBCUT"
606,2025-10-01,1.5132,4.5,,6.3,,,MINOR SKIN DISORDERS WITH
607,2025-10-01,0.9064,2.9,,3.8,,,MINOR SKIN DISORDERS WITHO
614,2025-10-01,2.1918,2.4,,3.6,,,ADRENAL AND PITUITARY PROC
615,2025-10-01,1.3993,1.4,,1.6,,,ADRENAL AND PITUITARY PROC
616,2025-10-01,3.4874,8.8,,11.0,Y,,AMPUTATION OF LOWER LIMB F
617,2025-10-01,1.8703,5.6,,6.7,Y,,AMPUTATION OF LOWER LIMB F
618,2025-10-01,1.4183,4.1,,5.1,Y,,AMPUTATION OF LOWER LIMB F
619,2025-10-01,2.8874,2.8,,4.9,,,O.R. PROCEDURES FOR OBESIT
620,2025-10-01,1.6003,1.5,,1.8,,,O.R. PROCEDURES FOR OBESIT
621,2025-10-01,1.5084,1.2,,1.3,,,O.R. PROCEDURES FOR OBESIT
622,2025-10-01,3.5592,8.6,,11.5,Y,,SKIN GRAFTS AND WOUND DEBR
623,2025-10-01,1.7939,5.2,,6.3,Y,,SKIN GRAFTS AND WOUND DEBR
624,2025-10-01,1.2519,3.1,,3.8,Y,,SKIN GRAFTS AND WOUND DEBR
625,2025-10-01,3.0201,5.1,,8.1,,,"THYROID, PARATHYROID AND T"
626,2025-10-01,1.4994,1.9,,2.6,,,"THYROID, PARATHYROID AND T"
627,2025-10-01,1.3283,1.3,,1.5,,,"THYROID, PARATHYROID AND T"
628,2025-10-01,3.7268,8.3,,10.9,Y,,"OTHER ENDOCRINE, NUTRITION"
629,2025-10-01,2.1788,5.9,,7.1,Y,,"OTHER ENDOCRINE, NUTRITION"
630,2025-10-01,1.4595,1.9,,2.6,Y,,"OTHER ENDOCRINE, NUTRITION"
637,2025-10-01,1.4367,3.9,,5.3,Y,,DIABETES WITH MCC
638,2025-10-01,0.8962,2.9,,3.7,Y,,DIABETES WITH CC
639,2025-10-01,0.6212,2.1,,2.4,Y,,DIABETES WITHOUT CC/MCC
640,2025-10-01,1.3356,3.6,,5.0,Y,,MISCELLANEOUS DISORDERS OF
641,2025-10-01,0.7782,2.6,,3.3,Y,,MISCELLANEOUS DISORDERS OF
642,2025-10-01,1.4221,3.4,,4.6,,,INBORN AND OTHER DISORDERS
643,2025-10-01,1.6461,4.9,,6.3,Y,,ENDOCRINE DISORDERS WITH M
644,2025-10-01,1.0250,3.4,,4.2,Y,,ENDOCRINE DISORDERS WITH C
645,2025-10-01,0.7683,2.7,,3.2,Y,,ENDOCRINE DISORDERS WITHOU
650,2025-10-01,4.7014,6.3,,7.6,,,KIDNEY TRANSPLANT WITH HEM
651,2025-10-01,3.7058,5.5,,6.3,,,KIDNEY TRANSPLANT WITH HEM
652,2025-10-01,3.2295,4.3,,4.8,,,KIDNEY TRANSPLANT
653,2025-10-01,5.1964,9.5,,12.4,Y,,MAJOR BLADDER PROCEDURES W
654,2025-10-01,2.7993,5.1,,6.2,Y,,MAJOR BLADDER PROCEDURES W
655,2025-10-01,2.1166,3.2,,3.9,Y,,MAJOR BLADDER PROCEDURES W
656,2025-10-01,3.1838,5.0,,7.2,,,KIDNEY AND URETER PROCEDUR
657,2025-10-01,1.8300,2.5,,3.2,,,KIDNEY AND URETER PROCEDUR
658,2025-10-01,1.5518,1.6,,1.8,,,KIDNEY AND URETER PROCEDUR
659,2025-10-01,2.5409,5.7,,7.7,Y,,KIDNEY AND URETER PROCEDUR
660,2025-10-01,1.3217,2.8,,3.7,Y,,KIDNEY AND URETER PROCEDUR
661,2025-10-01,1.0354,1.8,,2.1,Y,,KIDNEY AND URETER PROCEDUR
662,2025-10-01,3.0615,7.1,,9.7,,,MINOR BLADDER PROCEDURES W
663,2025-10-01,1.5202,3.6,,4.7,,,MINOR BLADDER PROCEDURES W
664,2025-10-01,1.0469,2.1,,2.6,,,MINOR BLADDER PROCEDURES W
665,2025-10-01,3.1212,7.1,,9.8,,,PROSTATECTOMY WITH MCC
666,2025-10-01,1.7493,3.6,,5.0,,,PROSTATECTOMY WITH CC
667,2025-10-01,1.1062,2.1,,2.7,,,PROSTATECTOMY WITHOUT CC/M
668,2025-10-01,2.9200,7.2,,9.4,,,TRANSURETHRAL PROCEDURES W
669,2025-10-01,1.5520,3.7,,4.9,,,TRANSURETHRAL PROCEDURES W
670,2025-10-01,0.9773,2.0,,2.5,,,TRANSURETHRAL PROCEDURES W
671,2025-10-01,1.7950,3.9,,5.5,,,URETHRAL PROCEDURES WITH C
672,2025-10-01,1.0795,1.6,,2.1,,,URETHRAL PROCEDURES WITHOU
673,2025-10-01,4.2016,10.2,,13.1,,,OTHER KIDNEY AND URINARY T
674,2025-10-01,2.3386,5.5,,7.1,,,OTHER KIDNEY AND URINARY T
675,2025-10-01,1.6414,2.8,,3.6,,,OTHER KIDNEY AND URINARY T
682,2025-10-01,1.4810,4.3,,5.7,Y,,RENAL FAILURE WITH MCC
683,2025-10-01,0.8758,3.0,,3.7,Y,,RENAL FAILURE WITH CC
684,2025-10-01,0.6003,2.2,,2.6,Y,,RENAL FAILURE WITHOUT CC/M
686,2025-10-01,1.8037,5.1,,6.9,,,KIDNEY AND URINARY TRACT N
687,2025-10-01,1.0478,3.3,,4.2,,,KIDNEY AND URINARY TRACT N
688,2025-10-01,0.7903,2.0,,2.3,,,KIDNEY AND URINARY TRACT N
689,2025-10-01,1.1603,3.8,,4.9,Y,,KIDNEY AND URINARY TRACT I
690,2025-10-01,0.8095,2.8,,3.5,Y,,KIDNEY AND URINARY TRACT I
693,2025-10-01,1.3445,3.7,,4.9,,,URINARY STONES WITH MCC
694,2025-10-01,0.7817,2.1,,2.7,,,URINARY STONES WITHOUT MCC
695,2025-10-01,1.1438,3.6,,4.6,,,KIDNEY AND URINARY TRACT S
696,2025-10-01,0.6890,2.3,,2.9,,,KIDNEY AND URINARY TRACT S
697,2025-10-01,1.0778,2.6,,3.6,,,URETHRAL STRICTURE
698,2025-10-01,1.6544,4.8,,6.1,Y,,OTHER KIDNEY AND URINARY T
699,2025-10-01,1.0150,3.2,,4.0,Y,,OTHER KIDNEY AND URINARY T
700,2025-10-01,0.6899,2.3,,2.8,Y,,OTHER KIDNEY AND URINARY T
707,2025-10-01,2.0003,2.2,,3.1,,,MAJOR MALE PELVIC PROCEDUR
708,2025-10-01,1.5342,1.4,,1.5,,,MAJOR MALE PELVIC PROCEDUR
709,2025-10-01,2.3271,4.0,,6.5,,,PENIS PROCEDURES WITH CC/M
710,2025-10-01,1.4012,1.6,,1.9,,,PENIS PROCEDURES WITHOUT C
711,2025-10-01,2.0838,4.8,,6.8,,,TESTES PROCEDURES WITH CC/
712,2025-10-01,1.0997,2.3,,3.0,,,TESTES PROCEDURES WITHOUT
713,2025-10-01,1.5034,2.4,,3.5,,,TRANSURETHRAL PROSTATECTOM
714,2025-10-01,1.0574,1.5,,1.7,,,TRANSURETHRAL PROSTATECTOM
715,2025-10-01,2.2373,5.0,,7.2,,,OTHER MALE REPRODUCTIVE SY
716,2025-10-01,1.4710,1.6,,1.8,,,OTHER MALE REPRODUCTIVE SY
717,2025-10-01,1.8905,3.6,,5.2,,,OTHER MALE REPRODUCTIVE SY
718,2025-10-01,1.3431,1.9,,2.3,,,OTHER MALE REPRODUCTIVE SY
722,2025-10-01,1.8097,5.0,,7.1,,,"MALIGNANCY, MALE REPRODUCT"
723,2025-10-01,1.1427,3.4,,4.7,,,"MALIGNANCY, MALE REPRODUCT"
724,2025-10-01,0.6557,1.8,,2.1,,,"MALIGNANCY, MALE REPRODUCT"
725,2025-10-01,1.1702,3.8,,4.9,,,BENIGN PROSTATIC HYPERTROP
726,2025-10-01,0.7220,2.5,,3.1,,,BENIGN PROSTATIC HYPERTROP
727,2025-10-01,1.4829,4.5,,6.0,,,INFLAMMATION OF THE MALE R
728,2025-10-01,0.8112,2.9,,3.6,,,INFLAMMATION OF THE MALE R
729,2025-10-01,1.0587,3.1,,4.1,,,OTHER MALE REPRODUCTIVE SY
730,2025-10-01,0.6720,1.8,,2.1,,,OTHER MALE REPRODUCTIVE SY
734,2025-10-01,2.1300,3.1,,4.7,,,"PELVIC EVISCERATION, RADIC"
735,2025-10-01,1.3455,1.7,,1.9,,,"PELVIC EVISCERATION, RADIC"
736,2025-10-01,3.5745,6.1,,8.2,,,UTERINE AND ADNEXA PROCEDU
737,2025-10-01,2.0606,3.7,,4.5,,,UTERINE AND ADNEXA PROCEDU
738,2025-10-01,1.4685,2.3,,2.6,,,UTERINE AND ADNEXA PROCEDU
739,2025-10-01,3.5828,5.1,,8.3,,,UTERINE AND ADNEXA PROCEDU
740,2025-10-01,1.8096,2.6,,3.6,,,UTERINE AND ADNEXA PROCEDU
741,2025-10-01,1.4261,1.5,,1.8,,,UTERINE AND ADNEXA PROCEDU
742,2025-10-01,1.8348,2.7,,3.6,,,UTERINE AND ADNEXA PROCEDU
743,2025-10-01,1.2407,1.5,,1.7,,,UTERINE AND ADNEXA PROCEDU
744,2025-10-01,2.0491,4.6,,6.6,,,"D&C, CONIZATION, LAPAROSCO"
745,2025-10-01,1.1375,2.0,,2.6,,,"D&C, CONIZATION, LAPAROSCO"
746,2025-10-01,1.7371,3.1,,5.1,,,"VAGINA, CERVIX AND VULVA P"
747,2025-10-01,0.8597,1.3,,1.6,,,"VAGINA, CERVIX AND VULVA P"
748,2025-10-01,1.3873,1.4,,1.8,,,FEMALE REPRODUCTIVE SYSTEM
749,2025-10-01,2.5676,5.1,,7.1,,,OTHER FEMALE REPRODUCTIVE
750,2025-10-01,1.4758,1.9,,2.6,,,OTHER FEMALE REPRODUCTIVE
754,2025-10-01,1.8417,5.1,,7.1,,,"MALIGNANCY, FEMALE REPRODU"
755,2025-10-01,1.0878,3.2,,4.3,,,"MALIGNANCY, FEMALE REPRODU"
756,2025-10-01,0.9605,2.0,,2.3,,,"MALIGNANCY, FEMALE REPRODU"
757,2025-10-01,1.4319,4.6,,6.0,,,"INFECTIONS, FEMALE REPRODU"
758,2025-10-01,0.9790,3.6,,4.4,,,"INFECTIONS, FEMALE REPRODU"
759,2025-10-01,0.6636,2.4,,2.9,,,"INFECTIONS, FEMALE REPRODU"
760,2025-10-01,1.0075,2.8,,3.8,,,MENSTRUAL AND OTHER FEMALE
761,2025-10-01,0.5705,1.7,,2.1,,,MENSTRUAL AND OTHER FEMALE
768,2025-10-01,1.0716,2.7,,3.4,,,VAGINAL DELIVERY WITH O.R.
769,2025-10-01,1.6898,3.0,,4.7,,,POSTPARTUM AND POST ABORTI
770,2025-10-01,1.0027,1.9,,2.3,,,"ABORTION WITH D&C, ASPIRAT"
776,2025-10-01,0.6547,2.4,,3.1,,,POSTPARTUM AND POST ABORTI
779,2025-10-01,0.8413,1.5,,2.0,,,ABORTION WITHOUT D&C
783,2025-10-01,2.4551,4.9,,8.6,,,CESAREAN SECTION WITH STER
784,2025-10-01,1.0601,3.1,,3.6,,,CESAREAN SECTION WITH STER
785,2025-10-01,0.9578,2.6,,3.0,,,CESAREAN SECTION WITH STER
786,2025-10-01,1.6495,4.4,,6.2,,,CESAREAN SECTION WITHOUT S
787,2025-10-01,1.1168,3.4,,4.2,,,CESAREAN SECTION WITHOUT S
788,2025-10-01,0.9588,2.9,,3.2,,,CESAREAN SECTION WITHOUT S
789,2025-10-01,1.8022,1.8,,1.8,,,"NEONATES, DIED OR TRANSFER"
790,2025-10-01,5.9435,17.9,,17.9,,,EXTREME IMMATURITY OR RESP
791,2025-10-01,4.0590,13.3,,13.3,,,PREMATURITY WITH MAJOR PRO
792,2025-10-01,2.4492,8.6,,8.6,,,PREMATURITY WITHOUT MAJOR
793,2025-10-01,4.1696,4.7,,4.7,,,FULL TERM NEONATE WITH MAJ
794,2025-10-01,1.4759,3.4,,3.4,,,NEONATE WITH OTHER SIGNIFI
795,2025-10-01,0.1998,3.1,,3.1,,,NORMAL NEWBORN
796,2025-10-01,1.1670,3.5,,4.4,,,VAGINAL DELIVERY WITH STER
797,2025-10-01,1.0004,2.5,,3.1,,,VAGINAL DELIVERY WITH STER
798,2025-10-01,0.9571,2.3,,2.5,,,VAGINAL DELIVERY WITH STER
799,2025-10-01,4.5289,6.8,,9.1,,,SPLENIC PROCEDURES WITH MC
800,2025-10-01,2.8094,3.9,,5.2,,,SPLENIC PROCEDURES WITH CC
801,2025-10-01,1.9089,2.4,,3.3,,,SPLENIC PROCEDURES WITHOUT
802,2025-10-01,3.9841,7.8,,11.6,,,OTHER O.R. PROCEDURES OF T
803,2025-10-01,1.8589,3.7,,5.2,,,OTHER O.R. PROCEDURES OF T
804,2025-10-01,1.3560,1.7,,2.2,,,OTHER O.R. PROCEDURES OF T
805,2025-10-01,1.0792,3.0,,4.5,,,VAGINAL DELIVERY WITHOUT S
806,2025-10-01,0.7540,2.4,,2.7,,,VAGINAL DELIVERY WITHOUT S
807,2025-10-01,0.6742,2.0,,2.2,,,VAGINAL DELIVERY WITHOUT S
808,2025-10-01,2.2079,5.2,,7.1,,,MAJOR HEMATOLOGICAL AND IM
809,2025-10-01,1.2659,3.3,,4.3,,,MAJOR HEMATOLOGICAL AND IM
810,2025-10-01,1.0466,2.6,,3.3,,,MAJOR HEMATOLOGICAL AND IM
811,2025-10-01,1.4043,3.7,,4.9,,,RED BLOOD CELL DISORDERS W
812,2025-10-01,0.9182,2.7,,3.6,,,RED BLOOD CELL DISORDERS W
813,2025-10-01,1.5253,3.6,,4.7,,,COAGULATION DISORDERS
814,2025-10-01,2.1267,4.7,,6.9,,,RETICULOENDOTHELIAL AND IM
815,2025-10-01,1.0140,2.9,,3.8,,,RETICULOENDOTHELIAL AND IM
816,2025-10-01,0.6320,2.0,,2.3,,,RETICULOENDOTHELIAL AND IM
817,2025-10-01,2.2816,3.6,,5.5,,,OTHER ANTEPARTUM DIAGNOSES
818,2025-10-01,1.1592,2.7,,3.4,,,OTHER ANTEPARTUM DIAGNOSES
819,2025-10-01,0.8599,1.6,,1.7,,,OTHER ANTEPARTUM DIAGNOSES
820,2025-10-01,5.8648,10.7,,15.4,,,LYMPHOMA AND LEUKEMIA WITH
821,2025-10-01,2.2386,3.3,,5.2,,,LYMPHOMA AND LEUKEMIA WITH
822,2025-10-01,1.2040,1.5,,1.8,,,LYMPHOMA AND LEUKEMIA WITH
823,2025-10-01,4.5848,10.1,,13.6,,,LYMPHOMA AND NON-ACUTE LEU
824,2025-10-01,2.2656,4.9,,6.7,,,LYMPHOMA AND NON-ACUTE LEU
825,2025-10-01,1.3494,2.2,,3.0,,,LYMPHOMA AND NON-ACUTE LEU
826,2025-10-01,4.6778,8.4,,11.2,,,MYELOPROLIFERATIVE DISORDE
827,2025-10-01,2.3112,4.0,,5.2,,,MYELOPROLIFERATIVE DISORDE
828,2025-10-01,1.7038,2.4,,2.9,,,MYELOPROLIFERATIVE DISORDE
829,2025-10-01,3.1600,5.9,,9.0,,,MYELOPROLIFERATIVE DISORDE
830,2025-10-01,1.5050,2.1,,2.6,,,MYELOPROLIFERATIVE DISORDE
831,2025-10-01,1.2025,3.3,,5.0,,,OTHER ANTEPARTUM DIAGNOSES
832,2025-10-01,0.7216,2.6,,3.7,,,OTHER ANTEPARTUM DIAGNOSES
833,2025-10-01,0.5229,1.7,,2.2,,,OTHER ANTEPARTUM DIAGNOSES
834,2025-10-01,5.4899,9.6,,15.4,,,ACUTE LEUKEMIA WITH MCC
835,2025-10-01,2.0858,4.4,,6.8,,,ACUTE LEUKEMIA WITH CC
836,2025-10-01,1.2195,2.9,,4.0,,,ACUTE LEUKEMIA WITHOUT CC/
837,2025-10-01,4.8043,10.2,,14.9,,,CHEMOTHERAPY WITH ACUTE LE
838,2025-10-01,2.0874,5.1,,6.7,,,CHEMOTHERAPY WITH ACUTE LE
839,2025-10-01,1.4439,4.0,,4.5,,,CHEMOTHERAPY WITH ACUTE LE
840,2025-10-01,3.2349,6.8,,9.7,Y,,LYMPHOMA AND NON-ACUTE LEU
841,2025-10-01,1.6314,4.0,,5.4,Y,,LYMPHOMA AND NON-ACUTE LEU
842,2025-10-01,1.0104,2.6,,3.3,Y,,LYMPHOMA AND NON-ACUTE LEU
843,2025-10-01,1.9948,5.4,,7.5,,,OTHER MYELOPROLIFERATIVE D
844,2025-10-01,1.2174,3.7,,5.0,,,OTHER MYELOPROLIFERATIVE D
845,2025-10-01,0.8516,2.4,,3.2,,,OTHER MYELOPROLIFERATIVE D
846,2025-10-01,2.5925,5.8,,7.7,,,CHEMOTHERAPY WITHOUT ACUTE
847,2025-10-01,1.3082,3.8,,4.3,,,CHEMOTHERAPY WITHOUT ACUTE
848,2025-10-01,0.8494,2.6,,3.3,,,CHEMOTHERAPY WITHOUT ACUTE
849,2025-10-01,2.7095,7.1,,9.8,,,RADIOTHERAPY
850,2025-10-01,8.6595,15.3,,23.0,,,ACUTE LEUKEMIA WITH OTHER
853,2025-10-01,4.9386,9.3,,12.4,Y,,INFECTIOUS AND PARASITIC D
854,2025-10-01,1.9981,4.9,,6.2,Y,,INFECTIOUS AND PARASITIC D
855,2025-10-01,1.4972,2.9,,3.7,Y,,INFECTIOUS AND PARASITIC D
856,2025-10-01,4.5487,9.1,,12.1,Y,,POSTOPERATIVE OR POST-TRAU
857,2025-10-01,2.1415,5.4,,6.7,Y,,POSTOPERATIVE OR POST-TRAU
858,2025-10-01,1.3929,3.4,,4.2,Y,,POSTOPERATIVE OR POST-TRAU
862,2025-10-01,1.8237,5.0,,6.6,Y,,POSTOPERATIVE AND POST-TRA
863,2025-10-01,0.9979,3.3,,4.1,Y,,POSTOPERATIVE AND POST-TRA
864,2025-10-01,0.8877,2.6,,3.2,,,FEVER AND INFLAMMATORY CON
865,2025-10-01,1.4983,4.0,,5.7,,,VIRAL ILLNESS WITH MCC
866,2025-10-01,0.8696,2.7,,3.5,,,VIRAL ILLNESS WITHOUT MCC
867,2025-10-01,2.0932,5.4,,7.3,Y,,OTHER INFECTIOUS AND PARAS
868,2025-10-01,1.0311,3.4,,4.3,Y,,OTHER INFECTIOUS AND PARAS
