diagnosticRelatedGroup,relativeWeight,arithmeticMeanLengthOfStay
003,3.8102,55.9
004,2.8150,44.4
011,0.4808,15.8
012,0.4808,15.8
013,0.4808,15.8
014,0.6064,18.6
016,0.6064,18.6
017,0.6064,18.6
020,0.8779,22.4
021,0.6064,18.6
022,0.4808,15.8
023,1.5478,33.6
024,0.4808,15.8
025,1.0554,26.2
026,0.4808,15.8
027,0.4808,15.8
028,1.0554,26.2
029,0.6064,18.6
030,0.6064,18.6
031,1.5478,33.6
032,0.6064,18.6
033,0.6064,18.6
034,1.7608,39.5
035,1.7608,39.5
036,1.7608,39.5
037,1.5478,33.6
038,1.5478,33.6
039,1.5478,33.6
040,1.6303,35.7
041,0.6064,18.6
042,0.6064,18.6
052,1.1249,37.9
053,1.1249,37.9
054,1.5478,33.6
055,1.5478,33.6
056,0.8732,25.0
057,0.6673,22.4
058,0.7922,21.8
059,0.6064,18.6
060,0.6064,18.6
061,0.8629,23.0
062,0.5981,19.4
063,0.4808,15.8
064,0.8779,22.4
065,0.6064,18.6
066,0.4808,15.8
067,0.5981,19.4
068,0.4808,15.8
069,0.4808,15.8
070,0.8629,23.0
071,0.5981,19.4
072,0.4808,15.8
073,0.9848,23.7
074,0.6064,18.6
075,0.6064,18.6
076,0.6064,18.6
077,0.6064,18.6
078,0.6064,18.6
079,0.6064,18.6
080,1.0554,26.2
081,0.7922,21.8
082,0.8791,24.5
083,0.4808,15.8
084,0.4808,15.8
085,0.7922,21.8
086,0.7922,21.8
087,0.4808,15.8
088,0.7922,21.8
089,0.7922,21.8
090,0.4808,15.8
091,0.9846,25.5
092,0.5851,20.1
093,0.4808,15.8
094,1.1890,27.5
095,0.8016,23.5
096,0.4808,15.8
097,1.0536,23.3
098,0.6064,18.6
099,0.6064,18.6
100,0.8822,21.5
101,0.7922,21.8
102,0.4808,15.8
103,0.4808,15.8
113,0.4808,15.8
114,0.4808,15.8
115,1.5478,33.6
116,1.5478,33.6
117,0.4808,15.8
121,0.7922,21.8
122,0.4808,15.8
123,0.7922,21.8
124,0.6064,18.6
125,0.4808,15.8
129,1.5478,33.6
130,0.4808,15.8
131,0.4808,15.8
132,0.4808,15.8
133,1.5478,33.6
134,0.4808,15.8
135,0.4808,15.8
136,0.4808,15.8
137,1.0554,26.2
138,0.4808,15.8
139,1.5478,33.6
146,0.7922,21.8
147,0.7922,21.8
148,0.7922,21.8
149,0.4808,15.8
150,0.6064,18.6
151,0.6064,18.6
152,1.0554,26.2
153,1.0554,26.2
154,0.6064,18.6
155,0.4808,15.8
156,0.4808,15.8
157,1.0554,26.2
158,0.6064,18.6
159,0.4808,15.8
163,2.4924,40.7
164,1.0554,26.2
165,1.0554,26.2
166,2.3392,40.5
167,1.6427,31.8
168,1.6427,31.8
175,0.6442,17.9
176,0.6064,18.6
177,0.8035,21.5
178,0.6729,19.4
179,0.6729,19.4
180,1.0554,26.2
181,0.7922,21.8
182,0.7922,21.8
183,0.4808,15.8
184,0.4808,15.8
185,0.4808,15.8
186,0.7382,20.5
187,0.6064,18.6
188,0.6064,18.6
189,0.9616,21.5
190,0.7572,19.1
191,0.5484,16.1
192,0.5484,16.1
193,0.7520,19.3
194,0.5562,16.3
195,0.4808,15.8
196,0.8012,20.1
197,0.7922,21.8
198,0.7922,21.8
199,0.7100,20.2
200,0.4808,15.8
201,0.4808,15.8
202,0.6232,17.5
203,0.6232,17.5
204,0.6064,18.6
205,0.9692,23.8
206,0.6064,18.6
207,1.8628,32.1
208,1.1100,21.6
215,1.3511,28.6
216,1.3511,28.6
217,1.3511,28.6
218,1.3511,28.6
219,1.3511,28.6
220,1.3511,28.6
221,1.3511,28.6
222,1.5478,33.6
223,1.5478,33.6
224,1.5478,33.6
225,1.5478,33.6
226,1.5478,33.6
227,1.5478,33.6
228,0.7922,21.8
229,0.7922,21.8
231,1.3511,28.6
232,1.3511,28.6
233,1.3511,28.6
234,1.3511,28.6
235,1.3511,28.6
236,1.3511,28.6
239,1.7608,39.5
240,1.5478,33.6
241,1.5478,33.6
242,1.5478,33.6
243,0.7922,21.8
244,0.4808,15.8
245,1.5478,33.6
246,1.5478,33.6
247,0.7922,21.8
248,0.4808,15.8
249,0.4808,15.8
250,1.5478,33.6
251,0.4808,15.8
252,1.3511,28.6
