diagnosticRelatedGroup,relativeWeight,arithmeticMeanLengthOfStay
824,1.0152,25.2
825,1.0152,25.2
826,1.0152,25.2
827,1.0152,25.2
828,1.0152,25.2
829,1.0152,25.2
830,1.0152,25.2
831,0.6374,19.3
832,0.6374,19.3
833,0.6374,19.3
834,0.8548,23.6
835,0.8548,23.6
836,0.5193,16.9
837,0.5193,16.9
838,0.5193,16.9
839,0.5193,16.9
840,0.9263,22.1
841,0.6374,19.3
842,0.6374,19.3
843,0.8548,23.6
844,0.8548,23.6
845,0.8548,23.6
846,1.0152,25.2
847,1.0152,25.2
848,1.0152,25.2
849,1.0152,25.2
853,1.7175,36.6
854,0.8548,23.6
855,0.5193,16.9
856,1.4252,33.8
857,1.2505,32.2
858,0.5193,16.9
862,1.0876,25.9
863,0.7306,21.6
864,1.0152,25.2
865,1.1185,23.5
866,0.5193,16.9
867,1.1453,24.8
868,0.6374,19.3
869,0.6374,19.3
870,1.9471,29.4
871,0.932,22.7
872,0.5851,18.4
876,0.7881,22.9
880,0.4959,17.7
881,0.6214,20.3
882,0.6214,20.3
883,0.6214,20.3
884,0.5152,24.5
885,0.4901,23.1
886,0.4959,17.7
887,0.4959,17.7
894,0.4959,17.7
895,0.467,25.4
896,0.7881,22.9
897,0.6214,20.3
901,1.4248,33
902,0.9523,29.3
903,0.9523,29.3
904,1.7482,36.8
905,0.6374,19.3
906,0.5193,16.9
907,1.511,33.2
908,0.8548,23.6
909,0.8548,23.6
913,0.8548,23.6
914,0.8548,23.6
915,1.0152,25.2
916,1.0152,25.2
917,1.0152,25.2
918,1.0152,25.2
919,1.1632,28.1
920,0.8414,23.9
921,0.6374,19.3
922,0.8548,23.6
923,0.8548,23.6
927,1.7482,36.8
928,1.7482,36.8
929,1.7482,36.8
933,0.8548,23.6
934,0.6374,19.3
935,0.8548,23.6
939,1.3009,32.8
940,0.9483,29.3
941,0.9483,29.3
945,0.6621,20.5
946,0.4063,16.3
947,0.7768,20.1
948,0.6374,19.3
949,0.7558,21.7
950,0.42,15.1
951,0.42,15.1
955,1.0152,25.2
956,1.0152,25.2
957,1.0152,25.2
958,1.0152,25.2
959,1.0152,25.2
963,1.0152,25.2
964,0.5193,16.9
965,0.5193,16.9
969,1.7482,36.8
970,1.7482,36.8
974,1.1967,23.4
975,1.0152,25.2
976,1.0152,25.2
977,1.0152,25.2
981,2.2735,40.5
982,1.2942,30.8
983,1.2942,30.8
987,1.8505,36.8
988,1.7482,36.8
989,0.6374,19.3
