cbsa,effectiveDate,wageIndex1,wageIndex2,geographicWageIndex,name
01,20251001,0,0,0.6367,ALABAMA
02,20251001,0,0,1.1274,ALASKA
03,20251001,0,0,0.8539,ARIZONA
04,20251001,0,0,0.7296,ARKANSAS
05,20251001,0,0,1.2775,CALIFORNIA
06,20251001,0,0,1.0501,COLORADO
07,20251001,0,0,0.9140,CONNECTICUT
08,20251001,0,0,1.0095,DELAWARE
10,20251001,0,0,0.8363,FLORIDA
11,20251001,0,0,0.7364,GEORGIA
12,20251001,0,0,1.1312,HAWAII
13,20251001,0,0,0.6742,IDAHO
14,20251001,0,0,0.8743,ILLINOIS
15,20251001,0,0,0.8565,INDIANA
16,20251001,0,0,0.7814,IOWA
17,20251001,0,0,0.8135,KANSAS
18,20251001,0,0,0.8165,KENTUCKY
19,20251001,0,0,0.6946,LOUISIANA
20,20251001,0,0,0.8039,MAINE
21,20251001,0,0,0.8788,MARYLAND
22,20251001,0,0,1.1102,MASSACHUSETTS
23,20251001,0,0,0.8232,MICHIGAN
24,20251001,0,0,0.9037,MINNESOTA
25,20251001,0,0,0.7124,MISSISSIPPI
26,20251001,0,0,0.8016,MISSOURI
27,20251001,0,0,1.1433,MONTANA
28,20251001,0,0,0.8864,NEBRASKA
29,20251001,0,0,1.1108,NEVADA
30,20251001,0,0,1.0138,NEW HAMPSHIRE
32,20251001,0,0,0.9194,NEW MEXICO
33,20251001,0,0,0.8892,NEW YORK
34,20251001,0,0,0.8122,NORTH CAROLINA
35,20251001,0,0,0.8128,NORTH DAKOTA
36,20251001,0,0,0.8032,OHIO
37,20251001,0,0,0.8035,OKLAHOMA
38,20251001,0,0,1.0209,OREGON
39,20251001,0,0,0.8507,PENNSYLVANIA
42,20251001,0,0,0.8184,SOUTH CAROLINA
43,20251001,0,0,0.8177,SOUTH DAKOTA
44,20251001,0,0,0.7239,TENNESSEE
45,20251001,0,0,0.8400,TEXAS
46,20251001,0,0,0.8969,UTAH
47,20251001,0,0,0.8848,VERMONT
49,20251001,0,0,0.8339,VIRGINIA
50,20251001,0,0,0.9712,WASHINGTON
51,20251001,0,0,0.7156,WEST VIRGINIA
52,20251001,0,0,0.8513,WISCONSIN
53,20251001,0,0,0.9845,WYOMING
10180,20251001,0,0,0.9225,"Abilene, TX"
10380,20251001,0,0,0.2840,"Aguadilla, PR"
10420,20251001,0,0,0.8254,"Akron, OH"
10500,20251001,0,0,0.7821,"Albany, GA"
10540,20251001,0,0,1.0449,"Albany, OR"
10580,20251001,0,0,0.8551,"Albany-Schenectady-Troy, NY"
10740,20251001,0,0,0.9306,"Albuquerque, NM"
10780,20251001,0,0,0.8816,"Alexandria, LA"
10900,20251001,0,0,0.9978,"Allentown-Bethlehem-Easton, PA-NJ"
11020,20251001,0,0,0.8641,"Altoona, PA"
11100,20251001,0,0,0.8434,"Amarillo, TX"
11180,20251001,0,0,0.8665,"Ames, IA"
11200,20251001,0,0,0.9814,"Amherst Town-Northampton, MA"
11244,20251001,0,0,1.2445,"Anaheim-Santa Ana-Irvine, CA"
11260,20251001,0,0,1.1328,"Anchorage, AK"
11460,20251001,0,0,0.9869,"Ann Arbor, MI"
11500,20251001,0,0,0.6958,"Anniston-Oxford, AL"
11540,20251001,0,0,0.9498,"Appleton, WI"
11640,20251001,0,0,0.3134,"Arecibo, PR"
11694,20251001,0,0,1.0449,"Arlington-Alexandria-Reston, VA-WV"
11700,20251001,0,0,0.8847,"Asheville, NC"
12020,20251001,0,0,0.8652,"Athens-Clarke County, GA"
12054,20251001,0,0,0.9986,"Atlanta-Sandy Springs-Roswell, GA"
12100,20251001,0,0,0.9869,"Atlantic City-Hammonton, NJ"
12220,20251001,0,0,0.6797,"Auburn-Opelika, AL"
12260,20251001,0,0,0.7916,"Augusta-Richmond County, GA-SC"
12420,20251001,0,0,0.9660,"Austin-Round Rock-San Marcos, TX"
12540,20251001,0,0,1.1840,"Bakersfield-Delano, CA"
12580,20251001,0,0,0.9508,"Baltimore-Columbia-Towson, MD"
12620,20251001,0,0,0.9102,"Bangor, ME"
12700,20251001,0,0,1.2554,"Barnstable Town, MA"
12940,20251001,0,0,0.8046,"Baton Rouge, LA"
12980,20251001,0,0,0.8879,"Battle Creek, MI"
13020,20251001,0,0,0.8667,"Bay City, MI"
13140,20251001,0,0,0.8793,"Beaumont-Port Arthur, TX"
13220,20251001,0,0,0.8311,"Beckley, WV"
13380,20251001,0,0,1.1930,"Bellingham, WA"
13460,20251001,0,0,1.1925,"Bend, OR"
13740,20251001,0,0,0.8974,"Billings, MT"
13780,20251001,0,0,0.8313,"Binghamton, NY"
13820,20251001,0,0,0.8596,"Birmingham, AL"
13900,20251001,0,0,0.8919,"Bismarck, ND"
13980,20251001,0,0,0.8488,"Blacksburg-Christiansburg-Radford, VA"
14010,20251001,0,0,0.8945,"Bloomington, IL"
14020,20251001,0,0,0.9943,"Bloomington, IN"
14260,20251001,0,0,0.9689,"Boise City, ID"
14454,20251001,0,0,1.1519,"Boston, MA"
14500,20251001,0,0,1.1215,"Boulder, CO"
14540,20251001,0,0,0.8657,"Bowling Green, KY"
14580,20251001,0,0,0.9655,"Bozeman, MT"
14740,20251001,0,0,1.2343,"Bremerton-Silverdale-Port Orchard, WA"
14860,20251001,0,0,1.1504,"Bridgeport-Stamford-Danbury, CT"
15180,20251001,0,0,0.7845,"Brownsville-Harlingen, TX"
15260,20251001,0,0,0.8816,"Brunswick-St. Simons, GA"
15380,20251001,0,0,1.0646,"Buffalo-Cheektowaga, NY"
15500,20251001,0,0,0.8719,"Burlington, NC"
15540,20251001,0,0,0.9839,"Burlington-South Burlington, VT"
15764,20251001,0,0,1.0673,"Cambridge-Newton-Framingham, MA"
15804,20251001,0,0,1.0925,"Camden, NJ"
15940,20251001,0,0,0.8021,"Canton-Massillon, OH"
15980,20251001,0,0,0.9189,"Cape Coral-Fort Myers, FL"
16020,20251001,0,0,0.7794,"Cape Girardeau, MO-IL"
16180,20251001,0,0,0.9567,"Carson City, NV"
16220,20251001,0,0,0.9470,"Casper, WY"
16300,20251001,0,0,0.8695,"Cedar Rapids, IA"
16540,20251001,0,0,0.9760,"Chambersburg, PA"
16580,20251001,0,0,0.8719,"Champaign-Urbana, IL"
16620,20251001,0,0,0.7576,"Charleston, WV"
16700,20251001,0,0,0.8747,"Charleston-North Charleston, SC"
16740,20251001,0,0,0.9404,"Charlotte-Concord-Gastonia, NC-SC"
16820,20251001,0,0,0.9610,"Charlottesville, VA"
16860,20251001,0,0,0.8531,"Chattanooga, TN-GA"
16940,20251001,0,0,0.9504,"Cheyenne, WY"
16984,20251001,0,0,1.0228,"Chicago-Naperville-Schaumburg, IL"
17020,20251001,0,0,1.0202,"Chico, CA"
17140,20251001,0,0,0.9523,"Cincinnati, OH-KY-IN"
17300,20251001,0,0,0.8317,"Clarksville, TN-KY"
17410,20251001,0,0,0.8776,"Cleveland, OH"
17420,20251001,0,0,0.7676,"Cleveland, TN"
17660,20251001,0,0,0.9905,"Coeur d'Alene, ID"
17780,20251001,0,0,0.8726,"College Station-Bryan, TX"
17820,20251001,0,0,0.9568,"Colorado Springs, CO"
17860,20251001,0,0,0.8548,"Columbia, MO"
17900,20251001,0,0,0.9208,"Columbia, SC"
17980,20251001,0,0,0.7471,"Columbus, GA-AL"
18020,20251001,0,0,1.1271,"Columbus, IN"
18140,20251001,0,0,0.9358,"Columbus, OH"
18580,20251001,0,0,0.9192,"Corpus Christi, TX"
18700,20251001,0,0,1.0963,"Corvallis, OR"
18880,20251001,0,0,0.8646,"Crestview-Fort Walton Beach-Destin, FL"
19124,20251001,0,0,0.9639,"Dallas-Plano-Irving, TX"
19140,20251001,0,0,0.8885,"Dalton, GA"
19300,20251001,0,0,0.8087,"Daphne-Fairhope-Foley, AL"
19340,20251001,0,0,0.7828,"Davenport-Moline-Rock Island, IA-IL"
19430,20251001,0,0,0.9646,"Dayton-Kettering-Beavercreek, OH"
19460,20251001,0,0,0.7153,"Decatur, AL"
19500,20251001,0,0,0.7925,"Decatur, IL"
19660,20251001,0,0,0.8772,"Deltona-Daytona Beach-Ormond Beach, FL"
19740,20251001,0,0,1.0079,"Denver-Aurora-Centennial, CO"
19780,20251001,0,0,0.9156,"Des Moines-West Des Moines, IA"
19804,20251001,0,0,0.8805,"Detroit-Dearborn-Livonia, MI"
20020,20251001,0,0,0.7099,"Dothan, AL"
20100,20251001,0,0,1.1673,"Dover, DE"
20220,20251001,0,0,0.8532,"Dubuque, IA"
20260,20251001,0,0,0.9382,"Duluth, MN-WI"
20500,20251001,0,0,0.9758,"Durham-Chapel Hill, NC"
20580,20251001,0,0,0.8078,"Eagle Pass, TX"
20740,20251001,0,0,0.9891,"Eau Claire, WI"
20940,20251001,0,0,0.7894,"El Centro, CA"
20994,20251001,0,0,0.9833,"Elgin, IL"
21060,20251001,0,0,0.8551,"Elizabethtown, KY"
21140,20251001,0,0,1.0026,"Elkhart-Goshen, IN"
21300,20251001,0,0,0.8462,"Elmira, NY"
21340,20251001,0,0,0.8310,"El Paso, TX"
21420,20251001,0,0,0.8425,"Enid, OK"
21500,20251001,0,0,0.8450,"Erie, PA"
21660,20251001,0,0,1.1999,"Eugene-Springfield, OR"
21780,20251001,0,0,0.9727,"Evansville, IN"
21794,20251001,0,0,1.1663,"Everett, WA"
21820,20251001,0,0,0.9800,"Fairbanks-College, AK"
22020,20251001,0,0,0.8911,"Fargo, ND-MN"
22140,20251001,0,0,0.7989,"Farmington, NM"
22180,20251001,0,0,0.9465,"Fayetteville, NC"
22220,20251001,0,0,0.8802,"Fayetteville-Springdale-Rogers, AR"
22380,20251001,0,0,1.0328,"Flagstaff, AZ"
22420,20251001,0,0,0.9858,"Flint, MI"
22500,20251001,0,0,0.8311,"Florence, SC"
22520,20251001,0,0,0.6816,"Florence-Muscle Shoals, AL"
22540,20251001,0,0,0.8767,"Fond du Lac, WI"
22660,20251001,0,0,0.9523,"Fort Collins-Loveland, CO"
22744,20251001,0,0,0.9693,"Fort Lauderdale-Pompano Beach-Sunrise, FL"
22900,20251001,0,0,0.9214,"Fort Smith, AR-OK"
23060,20251001,0,0,1.0326,"Fort Wayne, IN"
23104,20251001,0,0,0.9691,"Fort Worth-Arlington-Grapevine, TX"
23224,20251001,0,0,0.9736,"Frederick-Gaithersburg-Bethesda, MD"
23420,20251001,0,0,1.0197,"Fresno, CA"
23460,20251001,0,0,0.7243,"Gadsden, AL"
23540,20251001,0,0,0.8622,"Gainesville, FL"
23580,20251001,0,0,0.9368,"Gainesville, GA"
23900,20251001,0,0,1.0071,"Gettysburg, PA"
24020,20251001,0,0,0.9299,"Glens Falls, NY"
24140,20251001,0,0,0.9075,"Goldsboro, NC"
24220,20251001,0,0,0.6960,"Grand Forks, ND-MN"
24260,20251001,0,0,0.9769,"Grand Island, NE"
24300,20251001,0,0,1.0630,"Grand Junction, CO"
24340,20251001,0,0,0.8291,"Grand Rapids-Wyoming-Kentwood, MI"
24420,20251001,0,0,1.2904,"Grants Pass, OR"
24500,20251001,0,0,0.8698,"Great Falls, MT"
24540,20251001,0,0,0.9548,"Greeley, CO"
24580,20251001,0,0,0.8930,"Green Bay, WI"
24660,20251001,0,0,0.9168,"Greensboro-High Point, NC"
24780,20251001,0,0,0.8242,"Greenville, NC"
24860,20251001,0,0,0.9137,"Greenville-Anderson-Greer, SC"
25020,20251001,0,0,0.3819,"Guayama, PR"
25060,20251001,0,0,0.7667,"Gulfport-Biloxi, MS"
25180,20251001,0,0,0.9109,"Hagerstown-Martinsburg, MD-WV"
25220,20251001,0,0,0.7346,"Hammond, LA"
25260,20251001,0,0,1.1706,"Hanford-Corcoran, CA"
25420,20251001,0,0,1.0055,"Harrisburg-Carlisle, PA"
25500,20251001,0,0,0.9814,"Harrisonburg, VA"
25540,20251001,0,0,1.0547,"Hartford-West Hartford-East Hartford, CT"
25620,20251001,0,0,0.6992,"Hattiesburg, MS"
25740,20251001,0,0,0.7705,"Helena, MT"
25860,20251001,0,0,0.8531,"Hickory-Lenoir-Morganton, NC"
25940,20251001,0,0,0.7642,"Hilton Head Island-Bluffton-Port Royal, SC"
25980,20251001,0,0,0.8589,"Hinesville, GA"
26140,20251001,0,0,0.8569,"Homosassa Springs, FL"
26300,20251001,0,0,0.8608,"Hot Springs, AR"
26380,20251001,0,0,0.6960,"Houma-Bayou Cane-Thibodaux, LA"
26420,20251001,0,0,0.9729,"Houston-Pasadena-The Woodlands, TX"
26580,20251001,0,0,0.8981,"Huntington-Ashland, WV-KY-OH"
26620,20251001,0,0,0.8106,"Huntsville, AL"
26820,20251001,0,0,0.8009,"Idaho Falls, ID"
26900,20251001,0,0,1.0022,"Indianapolis-Carmel-Greenwood, IN"
26980,20251001,0,0,0.8757,"Iowa City, IA"
27060,20251001,0,0,0.9277,"Ithaca, NY"
27100,20251001,0,0,0.8349,"Jackson, MI"
27140,20251001,0,0,0.8493,"Jackson, MS"
27180,20251001,0,0,0.6649,"Jackson, TN"
27260,20251001,0,0,0.8753,"Jacksonville, FL"
27340,20251001,0,0,0.7424,"Jacksonville, NC"
27500,20251001,0,0,0.8802,"Janesville-Beloit, WI"
27620,20251001,0,0,0.8018,"Jefferson City, MO"
27740,20251001,0,0,0.8080,"Johnson City, TN"
27780,20251001,0,0,0.7921,"Johnstown, PA"
27860,20251001,0,0,0.8199,"Jonesboro, AR"
27900,20251001,0,0,0.7358,"Joplin, MO-KS"
27980,20251001,0,0,1.0169,"Kahului-Wailuku, HI"
28020,20251001,0,0,0.8683,"Kalamazoo-Portage, MI"
28100,20251001,0,0,0.8798,"Kankakee, IL"
28140,20251001,0,0,0.9054,"Kansas City, MO-KS"
28420,20251001,0,0,0.9518,"Kennewick-Richland, WA"
28450,20251001,0,0,0.8672,"Kenosha, WI"
28660,20251001,0,0,0.9463,"Killeen-Temple, TX"
28700,20251001,0,0,0.8108,"Kingsport-Bristol, TN-VA"
28740,20251001,0,0,1.0532,"Kingston, NY"
28880,20251001,0,0,1.1720,"Kiryas Joel-Poughkeepsie-Newburgh, NY"
28940,20251001,0,0,0.7364,"Knoxville, TN"
29020,20251001,0,0,0.9774,"Kokomo, IN"
29100,20251001,0,0,0.9746,"La Crosse-Onalaska, WI-MN"
29180,20251001,0,0,0.8153,"Lafayette, LA"
29200,20251001,0,0,1.0090,"Lafayette-West Lafayette, IN"
29340,20251001,0,0,0.8177,"Lake Charles, LA"
29404,20251001,0,0,0.9978,"Lake County, IL"
29414,20251001,0,0,0.8933,"Lake County-Porter County-Jasper County, IN"
29420,20251001,0,0,0.9044,"Lake Havasu City-Kingman, AZ"
29460,20251001,0,0,0.8715,"Lakeland-Winter Haven, FL"
29484,20251001,0,0,1.1274,"Lakewood-New Brunswick, NJ"
29540,20251001,0,0,0.8577,"Lancaster, PA"
29620,20251001,0,0,0.9002,"Lansing-East Lansing, MI"
29700,20251001,0,0,0.8111,"Laredo, TX"
29740,20251001,0,0,0.8548,"Las Cruces, NM"
29820,20251001,0,0,1.0884,"Las Vegas-Henderson-North Las Vegas, NV"
29940,20251001,0,0,0.8785,"Lawrence, KS"
30020,20251001,0,0,0.6880,"Lawton, OK"
30140,20251001,0,0,1.0038,"Lebanon, PA"
30300,20251001,0,0,0.7983,"Lewiston, ID-WA"
30340,20251001,0,0,0.8638,"Lewiston-Auburn, ME"
30460,20251001,0,0,0.9449,"Lexington-Fayette, KY"
30500,20251001,0,0,0.9270,"Lexington Park, MD"
30620,20251001,0,0,0.8954,"Lima, OH"
30700,20251001,0,0,1.0231,"Lincoln, NE"
30780,20251001,0,0,0.8807,"Little Rock-North Little Rock-Conway, AR"
30860,20251001,0,0,0.9470,"Logan, UT-ID"
30980,20251001,0,0,0.9006,"Longview, TX"
31020,20251001,0,0,1.1397,"Longview-Kelso, WA"
31084,20251001,0,0,1.2699,"Los Angeles-Long Beach-Glendale, CA"
31140,20251001,0,0,0.9145,"Louisville/Jefferson County, KY-IN"
31180,20251001,0,0,0.8593,"Lubbock, TX"
31340,20251001,0,0,0.8969,"Lynchburg, VA"
31420,20251001,0,0,0.8256,"Macon-Bibb County, GA"
31540,20251001,0,0,0.9437,"Madison, WI"
31700,20251001,0,0,0.9831,"Manchester-Nashua, NH"
31740,20251001,0,0,0.8194,"Manhattan, KS"
31860,20251001,0,0,1.1112,"Mankato, MN"
31900,20251001,0,0,0.9632,"Mansfield, OH"
31924,20251001,0,0,1.0154,"Marietta, GA"
32420,20251001,0,0,0.3408,"Mayag�ez, PR"
32580,20251001,0,0,0.7661,"McAllen-Edinburg-Mission, TX"
32780,20251001,0,0,1.2446,"Medford, OR"
32820,20251001,0,0,0.8676,"Memphis, TN-MS-AR"
32900,20251001,0,0,1.2866,"Merced, CA"
33124,20251001,0,0,0.9669,"Miami-Miami Beach-Kendall, FL"
33140,20251001,0,0,0.9278,"Michigan City-La Porte, IN"
33220,20251001,0,0,0.9233,"Midland, MI"
33260,20251001,0,0,0.9018,"Midland, TX"
33340,20251001,0,0,0.9679,"Milwaukee-Waukesha, WI"
33460,20251001,0,0,1.0849,"Minneapolis-St. Paul-Bloomington, MN-WI"
33500,20251001,0,0,0.7721,"Minot, ND"
33540,20251001,0,0,0.9325,"Missoula, MT"
33660,20251001,0,0,0.8153,"Mobile, AL"
33700,20251001,0,0,1.2476,"Modesto, CA"
33740,20251001,0,0,0.7579,"Monroe, LA"
33780,20251001,0,0,0.9435,"Monroe, MI"
33860,20251001,0,0,0.7994,"Montgomery, AL"
33874,20251001,0,0,0.9618,"Montgomery County-Bucks County-Chester County, PA"
34060,20251001,0,0,0.8094,"Morgantown, WV"
34100,20251001,0,0,0.6922,"Morristown, TN"
34580,20251001,0,0,0.9453,"Mount Vernon-Anacortes, WA"
34620,20251001,0,0,0.9820,"Muncie, IN"
34740,20251001,0,0,0.8612,"Muskegon-Norton Shores, MI"
34820,20251001,0,0,0.8008,"Myrtle Beach-Conway-North Myrtle Beach, SC"
34900,20251001,0,0,1.4679,"Napa, CA"
34940,20251001,0,0,0.9223,"Naples-Marco Island, FL"
34980,20251001,0,0,0.9080,"Nashville-Davidson--Murfreesboro--Franklin, TN"
35004,20251001,0,0,1.2365,"Nassau County-Suffolk County, NY"
35084,20251001,0,0,1.1000,"Newark, NJ"
35300,20251001,0,0,1.1148,"New Haven, CT"
35380,20251001,0,0,0.8545,"New Orleans-Metairie, LA"
35614,20251001,0,0,1.2951,"New York-Jersey City-White Plains, NY-NJ"
35660,20251001,0,0,0.8907,"Niles, MI"
35840,20251001,0,0,0.9439,"North Port-Bradenton-Sarasota, FL"
35980,20251001,0,0,1.0563,"Norwich-New London-Willimantic, CT"
36084,20251001,0,0,1.7434,"Oakland-Fremont-Berkeley, CA"
36100,20251001,0,0,0.8715,"Ocala, FL"
36220,20251001,0,0,0.8702,"Odessa, TX"
36260,20251001,0,0,0.9270,"Ogden, UT"
36420,20251001,0,0,0.8721,"Oklahoma City, OK"
36500,20251001,0,0,1.1329,"Olympia-Lacey-Tumwater, WA"
36540,20251001,0,0,1.0402,"Omaha, NE-IA"
36740,20251001,0,0,0.9674,"Orlando-Kissimmee-Sanford, FL"
36780,20251001,0,0,0.9411,"Oshkosh-Neenah, WI"
36980,20251001,0,0,0.9018,"Owensboro, KY"
37100,20251001,0,0,1.2548,"Oxnard-Thousand Oaks-Ventura, CA"
37140,20251001,0,0,0.8638,"Paducah, KY-IL"
37340,20251001,0,0,0.9484,"Palm Bay-Melbourne-Titusville, FL"
37460,20251001,0,0,0.8332,"Panama City-Panama City Beach, FL"
37620,20251001,0,0,0.8027,"Parkersburg-Vienna, WV"
37860,20251001,0,0,0.8065,"Pensacola-Ferry Pass-Brent, FL"
37900,20251001,0,0,0.8900,"Peoria, IL"
37964,20251001,0,0,1.0364,"Philadelphia, PA"
38060,20251001,0,0,1.0117,"Phoenix-Mesa-Chandler, AZ"
38240,20251001,0,0,0.8222,"Pinehurst-Southern Pines, NC"
38300,20251001,0,0,0.8463,"Pittsburgh, PA"
38340,20251001,0,0,0.9948,"Pittsfield, MA"
38540,20251001,0,0,0.8722,"Pocatello, ID"
38660,20251001,0,0,0.3287,"Ponce, PR"
38860,20251001,0,0,0.9983,"Portland-South Portland, ME"
38900,20251001,0,0,1.1783,"Portland-Vancouver-Hillsboro, OR-WA"
38940,20251001,0,0,0.9145,"Port St. Lucie, FL"
39150,20251001,0,0,0.9986,"Prescott Valley-Prescott, AZ"
39300,20251001,0,0,1.0040,"Providence-Warwick, RI-MA"
39340,20251001,0,0,0.9617,"Provo-Orem-Lehi, UT"
39380,20251001,0,0,0.9397,"Pueblo, CO"
39460,20251001,0,0,0.8793,"Punta Gorda, FL"
39540,20251001,0,0,0.9708,"Racine-Mount Pleasant, WI"
39580,20251001,0,0,0.9855,"Raleigh-Cary, NC"
39660,20251001,0,0,0.8843,"Rapid City, SD"
39740,20251001,0,0,1.0205,"Reading, PA"
39820,20251001,0,0,1.3850,"Redding, CA"
39900,20251001,0,0,0.9373,"Reno, NV"
40060,20251001,0,0,0.8995,"Richmond, VA"
40140,20251001,0,0,1.1740,"Riverside-San Bernardino-Ontario, CA"
40220,20251001,0,0,0.8569,"Roanoke, VA"
40340,20251001,0,0,1.1304,"Rochester, MN"
40380,20251001,0,0,0.9499,"Rochester, NY"
40420,20251001,0,0,0.9202,"Rockford, IL"
40484,20251001,0,0,1.0021,"Rockingham County-Strafford County, NH"
40580,20251001,0,0,0.8712,"Rocky Mount, NC"
40660,20251001,0,0,1.0373,"Rome, GA"
40900,20251001,0,0,1.5630,"Sacramento-Roseville-Folsom, CA"
40980,20251001,0,0,0.7933,"Saginaw, MI"
41060,20251001,0,0,0.9161,"St. Cloud, MN"
41100,20251001,0,0,0.9998,"St. George, UT"
41140,20251001,0,0,0.8175,"St. Joseph, MO-KS"
41180,20251001,0,0,0.9734,"St. Louis, MO-IL"
41304,20251001,0,0,0.8805,"St. Petersburg-Clearwater-Largo, FL"
41420,20251001,0,0,1.1119,"Salem, OR"
41500,20251001,0,0,1.7074,"Salinas, CA"
41540,20251001,0,0,0.8292,"Salisbury, MD"
41620,20251001,0,0,0.9598,"Salt Lake City-Murray, UT"
41660,20251001,0,0,0.8774,"San Angelo, TX"
41700,20251001,0,0,0.8526,"San Antonio-New Braunfels, TX"
41740,20251001,0,0,1.2301,"San Diego-Chula Vista-Carlsbad, CA"
41780,20251001,0,0,0.7940,"Sandusky, OH"
41884,20251001,0,0,1.7522,"San Francisco-San Mateo-Redwood City, CA"
