code,factor
056,1.05
057,1.05
080,1.07
081,1.07
876,1.22
880,1.05
881,0.99
882,1.02
883,1.02
884,1.03
885,1.00
886,0.99
887,0.92
894,0.97
895,1.02
896,0.88
897,0.88
