code,factor
056,1.12
057,1.11
947,1.12
948,1.09
876,1.29
880,1.08
881,1.06
882,1.02
883,1.17
884,1.08
885,1.00
886,1.07
887,1.00
894,0.86
895,0.90
896,1.00
897,0.95
917,1.19
918,1.12
