cbsa,effectiveDate,geographicWageIndex,name,imputedFloorWageIndex,reclassifiedWageIndex,ruralFloorWageIndex,size
16700,20231001,0.8875,"Charleston-North Charleston, SC",,,,
16740,20231001,0.9464,"Charlotte-Concord-Gastonia, NC-SC",,,,
16820,20231001,0.8903,"Charlottesville, VA",,,,
16860,20231001,0.8514,"Chattanooga, TN-GA",,,,
16940,20231001,0.8938,"Cheyenne, WY",,,,
16984,20231001,1.0419,"Chicago-Naperville-Evanston, IL",,,,
17020,20231001,1.0891,"Chico, CA",,,,
17140,20231001,0.9103,"Cincinnati, OH-KY-IN",,,,
17300,20231001,0.7166,"Clarksville, TN-KY",,,,
17420,20231001,0.7644,"Cleveland, TN",,,,
17460,20231001,0.8541,"Cleveland-Elyria, OH",,,,
17660,20231001,0.9184,"Coeur d'Alene, ID",,,,
17780,20231001,0.8968,"College Station-Bryan, TX",,,,
17820,20231001,0.9528,"Colorado Springs, CO",,,,
17860,20231001,0.8377,"Columbia, MO",,,,
17900,20231001,0.8565,"Columbia, SC",,,,
17980,20231001,0.7849,"Columbus, GA-AL",,,,
18020,20231001,0.9680,"Columbus, IN",,,,
18140,20231001,0.9486,"Columbus, OH",,,,
18580,20231001,0.9752,"Corpus Christi, TX",,,,
18700,20231001,1.0808,"Corvallis, OR",,,,
18880,20231001,0.9039,"Crestview-Fort Walton Beach-Destin, FL",,,,
19060,20231001,0.8575,"Cumberland, MD-WV",,,,
19124,20231001,0.9625,"Dallas-Plano-Irving, TX",,,,
19140,20231001,0.8992,"Dalton, GA",,,,
19180,20231001,0.9288,"Danville, IL",,,,
19300,20231001,0.7541,"Daphne-Fairhope-Foley, AL",,,,
19340,20231001,0.7886,"Davenport-Moline-Rock Island, IA-IL",,,,
19430,20231001,0.8720,"Dayton-Kettering, OH",,,,
19460,20231001,0.6722,"Decatur, AL",,,,
19500,20231001,0.8795,"Decatur, IL",,,,
19660,20231001,0.8015,"Deltona-Daytona Beach-Ormond Beach, FL",,,,
19740,20231001,0.9881,"Denver-Aurora-Lakewood, CO",,,,
19780,20231001,0.8706,"Des Moines-West Des Moines, IA",,,,
19804,20231001,0.8843,"Detroit-Dearborn-Livonia, MI",,,,
20020,20231001,0.6495,"Dothan, AL",,,,
20100,20231001,1.0899,"Dover, DE",,,,
20220,20231001,0.8377,"Dubuque, IA",,,,
20260,20231001,0.9748,"Duluth, MN-WI",,,,
20500,20231001,0.9544,"Durham-Chapel Hill, NC",,,,
20700,20231001,0.9012,"East Stroudsburg, PA",,,,
20740,20231001,0.9669,"Eau Claire, WI",,,,
20940,20231001,0.9542,"El Centro, CA",,,,
20994,20231001,1.0282,"Elgin, IL",,,,
21060,20231001,0.8248,"Elizabethtown-Fort Knox, KY",,,,
21140,20231001,0.9167,"Elkhart-Goshen, IN",,,,
21300,20231001,0.8111,"Elmira, NY",,,,
21340,20231001,0.8224,"El Paso, TX",,,,
21420,20231001,0.8311,"Enid, OK",,,,
21500,20231001,0.7555,"Erie, PA",,,,
21660,20231001,1.2159,"Eugene-Springfield, OR",,,,
21780,20231001,0.9163,"Evansville, IN-KY",,,,
21820,20231001,0.9232,"Fairbanks, AK",,,,
22020,20231001,0.8603,"Fargo, ND-MN",,,,
22140,20231001,0.8309,"Farmington, NM",,,,
22180,20231001,0.8115,"Fayetteville, NC",,,,
22220,20231001,0.8168,"Fayetteville-Springdale-Rogers, AR",,,,
22380,20231001,1.0470,"Flagstaff, AZ",,,,
22420,20231001,1.0250,"Flint, MI",,,,
22500,20231001,0.8123,"Florence, SC",,,,
22520,20231001,0.6614,"Florence-Muscle Shoals, AL",,,,
22540,20231001,0.8184,"Fond du Lac, WI",,,,
22660,20231001,0.9742,"Fort Collins, CO",,,,
22744,20231001,0.9700,"Fort Lauderdale-Pompano Beach-Sunrise, FL",,,,
22900,20231001,0.8305,"Fort Smith, AR-OK",,,,
23060,20231001,0.9728,"Fort Wayne, IN",,,,
23104,20231001,0.9690,"Fort Worth-Arlington-Grapevine, TX",,,,
23224,20231001,0.9637,"Frederick-Gaithersburg-Rockville, MD",,,,
23420,20231001,1.0984,"Fresno, CA",,,,
23460,20231001,0.7005,"Gadsden, AL",,,,
23540,20231001,0.8603,"Gainesville, FL",,,,
23580,20231001,0.9363,"Gainesville, GA",,,,
23844,20231001,0.9047,"Gary, IN",,,,
23900,20231001,1.0514,"Gettysburg, PA",,,,
24020,20231001,0.8321,"Glens Falls, NY",,,,
24140,20231001,1.0105,"Goldsboro, NC",,,,
24220,20231001,0.7732,"Grand Forks, ND-MN",,,,
24260,20231001,1.0083,"Grand Island, NE",,,,
24300,20231001,0.8393,"Grand Junction, CO",,,,
24340,20231001,0.8807,"Grand Rapids-Kentwood, MI",,,,
24420,20231001,1.0212,"Grants Pass, OR",,,,
24500,20231001,0.7896,"Great Falls, MT",,,,
24540,20231001,0.9409,"Greeley, CO",,,,
24580,20231001,0.9512,"Green Bay, WI",,,,
24660,20231001,0.8730,"Greensboro-High Point, NC",,,,
24780,20231001,0.8702,"Greenville, NC",,,,
24860,20231001,0.8897,"Greenville-Anderson, SC",,,,
25020,20231001,0.3967,"Guayama, PR",,,,
25060,20231001,0.6847,"Gulfport-Biloxi, MS",,,,
25180,20231001,0.8637,"Hagerstown-Martinsburg, MD-WV",,,,
25220,20231001,0.7563,"Hammond, LA",,,,
25260,20231001,1.1103,"Hanford-Corcoran, CA",,,,
25420,20231001,0.9486,"Harrisburg-Carlisle, PA",,,,
25500,20231001,0.9123,"Harrisonburg, VA",,,,
25540,20231001,1.1072,"Hartford-East Hartford-Middletown, CT",,,,
25620,20231001,0.6636,"Hattiesburg, MS",,,,
25860,20231001,0.8289,"Hickory-Lenoir-Morganton, NC",,,,
25940,20231001,0.8103,"Hilton Head Island-Bluffton, SC",,,,
25980,20231001,0.8542,"Hinesville, GA",,,,
26140,20231001,0.8589,"Homosassa Springs, FL",,,,
26300,20231001,0.8944,"Hot Springs, AR",,,,
26380,20231001,0.6823,"Houma-Thibodaux, LA",,,,
26420,20231001,1.0026,"Houston-The Woodlands-Sugar Land, TX",,,,
26580,20231001,0.8420,"Huntington-Ashland, WV-KY-OH",,,,
26620,20231001,0.7984,"Huntsville, AL",,,,
26820,20231001,0.8178,"Idaho Falls, ID",,,,
26900,20231001,0.9583,"Indianapolis-Carmel-Anderson, IN",,,,
26980,20231001,0.9341,"Iowa City, IA",,,,
27060,20231001,0.9288,"Ithaca, NY",,,,
27100,20231001,0.8248,"Jackson, MI",,,,
27140,20231001,0.8095,"Jackson, MS",,,,
27180,20231001,0.7269,"Jackson, TN",,,,
27260,20231001,0.8591,"Jacksonville, FL",,,,
27340,20231001,0.7035,"Jacksonville, NC",,,,
27500,20231001,0.9434,"Janesville-Beloit, WI",,,,
27620,20231001,0.7555,"Jefferson City, MO",,,,
27740,20231001,0.7656,"Johnson City, TN",,,,
27780,20231001,0.7644,"Johnstown, PA",,,,
27860,20231001,0.7761,"Jonesboro, AR",,,,
27900,20231001,0.7398,"Joplin, MO",,,,
27980,20231001,1.1294,"Kahului-Wailuku-Lahaina, HI",,,,
28020,20231001,0.8827,"Kalamazoo-Portage, MI",,,,
28100,20231001,0.9145,"Kankakee, IL",,,,
28140,20231001,0.9139,"Kansas City, MO-KS",,,,
28420,20231001,0.9565,"Kennewick-Richland, WA",,,,
28660,20231001,0.9083,"Killeen-Temple, TX",,,,
28700,20231001,0.7680,"Kingsport-Bristol, TN-VA",,,,
28740,20231001,1.0911,"Kingston, NY",,,,
28940,20231001,0.7027,"Knoxville, TN",,,,
29020,20231001,0.9746,"Kokomo, IN",,,,
29100,20231001,0.9323,"La Crosse-Onalaska, WI-MN",,,,
29180,20231001,0.7666,"Lafayette, LA",,,,
29200,20231001,0.9315,"Lafayette-West Lafayette, IN",,,,
29340,20231001,0.8041,"Lake Charles, LA",,,,
29404,20231001,0.9867,"Lake County-Kenosha County, IL-WI",,,,
29420,20231001,0.8756,"Lake Havasu City-Kingman, AZ",,,,
29460,20231001,0.8307,"Lakeland-Winter Haven, FL",,,,
29540,20231001,0.8956,"Lancaster, PA",,,,
29620,20231001,0.8960,"Lansing-East Lansing, MI",,,,
29700,20231001,0.7694,"Laredo, TX",,,,
29740,20231001,0.8585,"Las Cruces, NM",,,,
29820,20231001,1.1373,"Las Vegas-Henderson-Paradise, NV",,,,
29940,20231001,0.8887,"Lawrence, KS",,,,
30020,20231001,0.7444,"Lawton, OK",,,,
30140,20231001,1.0375,"Lebanon, PA",,,,
30300,20231001,0.8533,"Lewiston, ID-WA",,,,
30340,20231001,0.8520,"Lewiston-Auburn, ME",,,,
30460,20231001,0.8841,"Lexington-Fayette, KY",,,,
30620,20231001,0.8309,"Lima, OH",,,,
30700,20231001,0.9559,"Lincoln, NE",,,,
30780,20231001,0.8611,"Little Rock-North Little Rock-Conway, AR",,,,
30860,20231001,0.9115,"Logan, UT-ID",,,,
30980,20231001,0.9415,"Longview, TX",,,,
31020,20231001,1.0943,"Longview, WA",,,,
31084,20231001,1.3336,"Los Angeles-Long Beach-Glendale, CA",,,,
31140,20231001,0.8793,"Louisville/Jefferson County, KY-IN",,,,
31180,20231001,0.8476,"Lubbock, TX",,,,
31340,20231001,0.7942,"Lynchburg, VA",,,,
31420,20231001,0.8625,"Macon-Bibb County, GA",,,,
31460,20231001,0.7277,"Madera, CA",,,,
31540,20231001,0.9843,"Madison, WI",,,,
31700,20231001,0.9583,"Manchester-Nashua, NH",,,,
31740,20231001,0.8464,"Manhattan, KS",,,,
31860,20231001,1.0574,"Mankato, MN",,,,
31900,20231001,0.8992,"Mansfield, OH",,,,
32420,20231001,0.3199,"Mayag�ez, PR",,,,
32580,20231001,0.7625,"McAllen-Edinburg-Mission, TX",,,,
32780,20231001,1.0835,"Medford, OR",,,,
32820,20231001,0.8200,"Memphis, TN-MS-AR",,,,
32900,20231001,1.3892,"Merced, CA",,,,
33124,20231001,0.9250,"Miami-Miami Beach-Kendall, FL",,,,
33140,20231001,0.8950,"Michigan City-La Porte, IN",,,,
33220,20231001,0.9121,"Midland, MI",,,,
33260,20231001,0.8192,"Midland, TX",,,,
33340,20231001,0.9629,"Milwaukee-Waukesha, WI",,,,
33460,20231001,1.0647,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,
33540,20231001,0.9089,"Missoula, MT",,,,
33660,20231001,0.7535,"Mobile, AL",,,,
33700,20231001,1.3356,"Modesto, CA",,,,
33740,20231001,0.7748,"Monroe, LA",,,,
33780,20231001,0.8613,"Monroe, MI",,,,
33860,20231001,0.7926,"Montgomery, AL",,,,
33874,20231001,0.9851,"Montgomery County-Bucks County-Chester County, PA",,,,
34060,20231001,0.7474,"Morgantown, WV",,,,
34100,20231001,0.6964,"Morristown, TN",,,,
34580,20231001,1.0113,"Mount Vernon-Anacortes, WA",,,,
34620,20231001,0.8857,"Muncie, IN",,,,
34740,20231001,0.8849,"Muskegon, MI",,,,
