code,factor
F0280,1.08
F02811,1.08
F02818,1.08
F0282,1.08
F0283,1.08
F0284,1.08
F02A0,1.08
F02A11,1.08
F02A18,1.08
F02A2,1.08
F02A3,1.08
F02A4,1.08
F02B0,1.08
F02B11,1.08
F02B18,1.08
F02B2,1.08
F02B3,1.08
F02B4,1.08
F02C0,1.08
F02C11,1.08
F02C18,1.08
F02C2,1.08
F02C3,1.08
F02C4,1.08
F04,1.08
F05,1.08
F060,1.08
F061,1.08
F062,1.08
F0630,1.08
F0631,1.08
F0632,1.08
F0633,1.08
F0634,1.08
F064,1.08
F0670,1.08
F0671,1.08
F068,1.08
F4542,1.02
