cmgCode,bRelativeWeight,cRelativeWeight,dRelativeWeight,aRelativeWeight,bAvgLengthOfStay,cAvgLengthOfStay,dAvgLengthOfStay,aAvgLengthOfStay
0101,0.9669,0.8586,0.7779,0.7379,8,9,9,8
0102,1.2306,1.0928,0.9901,0.9392,11,11,11,10
0103,1.5798,1.4029,1.271,1.2056,14,15,13,13
0104,2.0177,1.7918,1.6234,1.5398,16,17,16,16
0105,2.5146,2.233,2.0231,1.919,23,21,20,19
0106,2.8325,2.5153,2.2789,2.1616,24,24,22,22
0201,1.0614,0.844,0.771,0.7244,10,9,8,9
0202,1.3861,1.1021,1.0069,0.946,12,11,11,10
0203,1.7233,1.3702,1.2518,1.1761,14,14,13,12
0204,2.1239,1.6887,1.5428,1.4495,17,17,15,15
0205,2.7248,2.1665,1.9793,1.8596,28,22,19,18
0301,1.1939,0.9462,0.8822,0.8259,10,10,9,9
0302,1.5445,1.2241,1.1412,1.0683,12,12,11,11
0303,1.8262,1.4474,1.3494,1.2633,14,14,13,13
0304,2.1635,1.7147,1.5985,1.4965,18,17,16,15
0305,2.3699,1.8783,1.7511,1.6393,19,19,17,16
0401,1.3548,1.1074,1.0783,0.9757,12,12,11,11
0402,1.6985,1.3883,1.3518,1.2232,15,14,14,13
0403,1.9604,1.6024,1.5602,1.4118,17,15,15,16
0404,3.1765,2.5964,2.5281,2.2877,23,33,25,22
0405,2.5161,2.0566,2.0025,1.8121,19,20,21,19
0406,3.31,2.7055,2.6343,2.3838,23,29,26,24
0407,4.5328,3.705,3.6075,3.2644,42,36,33,33
0501,1.309,1.006,0.9359,0.8625,11,10,10,10
0502,1.6251,1.2489,1.1618,1.0707,14,13,12,12
0503,1.8402,1.4142,1.3156,1.2124,16,14,14,13
0504,2.1989,1.6898,1.572,1.4487,18,16,16,15
0505,3.1242,2.4009,2.2336,2.0584,26,23,22,20
0601,1.3095,0.9918,0.9341,0.839,11,10,9,9
0602,1.6289,1.2337,1.1619,1.0437,13,12,11,11
0603,1.937,1.467,1.3817,1.2411,15,14,13,13
0604,2.4498,1.8553,1.7475,1.5696,20,17,16,16
0701,1.2269,0.9809,0.9316,0.8513,11,11,10,9
0702,1.5165,1.2125,1.1515,1.0523,13,13,12,11
0703,1.8578,1.4854,1.4108,1.2892,16,15,14,14
0704,2.294,1.8342,1.742,1.5918,18,18,17,16
0801,1.1781,0.9922,0.8869,0.831,10,10,9,9
0802,1.3428,1.131,1.0109,0.9472,10,10,10,10
0803,1.4778,1.2447,1.1126,1.0424,13,12,11,11
0804,1.6788,1.414,1.2639,1.1842,14,14,12,12
0805,2.091,1.7611,1.5742,1.4749,17,17,15,14
0901,1.2385,0.9381,0.8862,0.8084,11,10,9,9
0902,1.5733,1.1917,1.1257,1.027,13,12,12,11
0903,1.867,1.4141,1.3358,1.2187,15,14,13,13
0904,2.2482,1.7029,1.6086,1.4675,18,17,16,15
1001,1.2289,1.0211,0.9268,0.8605,11,10,10,9
1002,1.4929,1.2405,1.1259,1.0454,13,13,12,11
1003,1.7768,1.4764,1.34,1.2442,15,16,14,13
1004,2.3634,1.9638,1.7824,1.655,19,19,17,17
1101,1.3524,1.2804,1.1019,0.9641,12,13,11,11
1102,1.5444,1.4621,1.2582,1.1009,13,13,13,11
1103,1.9344,1.8313,1.576,1.3789,16,17,15,13
1201,1.3247,1.0514,0.9396,0.8702,11,11,9,10
1202,1.5576,1.2362,1.1047,1.0231,13,12,12,11
1203,2.085,1.6548,1.4788,1.3696,16,16,15,14
1204,2.1465,1.7037,1.5225,1.41,17,16,15,15
1301,1.2527,1.0015,0.9176,0.8336,10,10,9,9
1302,1.536,1.228,1.1252,1.0221,12,12,11,11
1303,1.7752,1.4192,1.3004,1.1812,14,14,13,12
1304,2.2912,1.8318,1.6784,1.5246,16,17,16,15
1305,2.2867,1.8281,1.675,1.5216,17,18,16,14
1401,1.1175,0.9002,0.8323,0.7654,10,9,9,8
1402,1.4236,1.1468,1.0603,0.9751,12,12,11,10
1403,1.7207,1.3861,1.2816,1.1786,14,14,13,12
1404,2.1468,1.7294,1.5991,1.4705,18,17,15,15
1501,1.3103,1.0536,0.9867,0.9432,10,10,9,9
1502,1.6022,1.2883,1.2065,1.1534,12,12,11,11
1503,1.868,1.502,1.4066,1.3446,15,14,13,13
1504,2.3425,1.8835,1.7639,1.6862,20,16,16,15
1601,1.0512,0.942,0.8617,0.7811,9,10,9,9
1602,1.2648,1.1335,1.0368,0.9399,11,12,11,10
1603,1.5317,1.3727,1.2557,1.1382,13,14,13,12
1604,2.0049,1.7968,1.6436,1.4898,14,19,16,15
1701,1.3191,1.045,0.9702,0.8932,12,10,10,10
1702,1.626,1.2881,1.196,1.101,13,13,12,12
1703,1.9078,1.5114,1.4033,1.2919,15,15,14,13
1704,2.1953,1.7392,1.6148,1.4866,18,17,16,15
1705,2.5557,2.0247,1.8799,1.7306,19,19,18,17
1801,1.1189,0.9154,0.8421,0.7904,12,10,9,9
1802,1.4223,1.1636,1.0704,1.0047,14,13,11,11
1803,1.7694,1.4475,1.3316,1.2498,17,15,14,13
1804,2.0665,1.6906,1.5552,1.4597,19,17,15,16
1805,2.4792,2.0282,1.8658,1.7512,23,20,18,18
1806,3.5919,2.9385,2.7032,2.5372,36,28,27,24
1901,1.3407,0.9475,0.8237,0.824,11,10,9,9
