cmgCode,bRelativeWeight,cRelativeWeight,dRelativeWeight,aRelativeWeight,bAvgLengthOfStay,cAvgLengthOfStay,dAvgLengthOfStay,aAvgLengthOfStay
0703,1.8376,1.4598,1.3937,1.2753,16,15,15,14
0704,2.2805,1.8116,1.7296,1.5826,18,18,18,16
0801,1.1836,0.9450,0.8786,0.8082,10,9,9,9
0802,1.3462,1.0748,0.9992,0.9192,10,11,10,10
0803,1.4961,1.1945,1.1105,1.0216,13,13,11,11
0804,1.6858,1.3459,1.2513,1.1511,15,14,13,12
0805,2.1040,1.6798,1.5617,1.4367,17,17,16,15
0901,1.2309,0.9485,0.8910,0.8136,11,10,10,9
0902,1.5655,1.2064,1.1332,1.0348,14,12,12,11
0903,1.8159,1.3994,1.3145,1.2004,15,14,14,13
0904,2.1953,1.6917,1.5892,1.4512,19,17,16,15
1001,1.1998,0.9933,0.9080,0.8286,10,10,10,10
1002,1.5279,1.2650,1.1564,1.0552,14,14,12,12
1003,1.8004,1.4905,1.3626,1.2433,15,16,14,13
1004,2.3361,1.9340,1.7680,1.6133,19,19,18,17
1101,1.2738,1.2738,1.0263,0.9729,12,14,11,10
1102,1.4606,1.4606,1.1769,1.1156,13,16,12,11
1103,2.0037,2.0037,1.6145,1.5304,17,18,16,13
1201,1.3299,1.0296,0.9247,0.8605,12,11,10,10
1202,1.6836,1.3034,1.1707,1.0894,14,14,12,11
1203,2.1218,1.6426,1.4753,1.3729,17,17,17,14
1204,2.2013,1.7042,1.5306,1.4244,18,18,16,15
1301,1.3766,1.1049,0.9921,0.9182,10,11,10,10
1302,1.6431,1.3189,1.1842,1.0960,12,13,12,11
1303,1.8570,1.4906,1.3383,1.2387,13,12,15,12
1304,2.1954,1.7621,1.5822,1.4644,15,17,16,16
1305,2.2065,1.7711,1.5902,1.4718,15,16,17,14
1401,1.1256,0.9099,0.8407,0.7768,10,10,9,9
1402,1.4063,1.1368,1.0504,0.9705,12,12,11,11
1403,1.7014,1.3753,1.2708,1.1742,15,14,13,12
1404,2.1231,1.7162,1.5858,1.4651,18,17,16,15
1501,1.2909,1.0412,1.0044,0.9516,13,10,10,10
1502,1.5272,1.2318,1.1883,1.1258,12,12,12,11
1503,1.8121,1.4616,1.4100,1.3358,15,14,13,13
1504,2.2346,1.8024,1.7386,1.6472,22,17,16,16
1601,1.1354,0.8523,0.8417,0.7736,10,10,9,10
1602,1.4932,1.1209,1.1069,1.0174,9,11,12,11
1603,1.7332,1.3011,1.2849,1.1810,10,13,13,13
1604,2.1412,1.6074,1.5873,1.4590,11,15,17,15
1701,1.3697,1.0394,0.9843,0.8977,12,11,10,10
1702,1.6534,1.2547,1.1881,1.0836,15,14,13,12
1703,1.9589,1.4866,1.4077,1.2839,16,16,15,14
1704,2.2563,1.7122,1.6214,1.4788,20,18,16,16
1705,2.5847,1.9614,1.8574,1.6941,20,20,19,18
1801,1.0999,0.9202,0.8490,0.7684,11,11,10,9
1802,1.3990,1.1704,1.0799,0.9774,14,13,12,11
1803,1.7472,1.4617,1.3487,1.2207,13,16,14,14
1804,2.0441,1.7101,1.5779,1.4282,19,18,16,16
1805,2.4427,2.0435,1.8855,1.7066,22,23,19,18
1806,3.5910,3.0042,2.7719,2.5089,38,32,29,24
1901,1.2641,0.9028,0.8741,0.8392,12,12,11,10
1902,1.7885,1.2772,1.2367,1.1874,20,14,13,14
1903,2.5024,1.7871,1.7303,1.6613,25,19,19,18
1904,4.2456,3.0319,2.9356,2.8187,40,34,29,26
2001,1.1905,0.9557,0.8911,0.8082,11,10,10,9
2002,1.4767,1.1855,1.1054,1.0025,13,12,12,11
2003,1.7534,1.4075,1.3124,1.1903,15,14,13,13
2004,2.0884,1.6765,1.5632,1.4177,18,17,16,15
2005,2.2394,1.7978,1.6763,1.5203,19,18,16,16
2101,1.5172,1.2785,1.1385,1.0176,17,15,12,11
2102,2.4552,2.0690,1.8425,1.6468,24,21,18,18
5001,0.0000,0.0000,0.0000,0.1730,0,0,0,3
5101,0.0000,0.0000,0.0000,0.7794,0,0,0,8
5102,0.0000,0.0000,0.0000,1.8794,0,0,0,18
5103,0.0000,0.0000,0.0000,0.8818,0,0,0,8
5104,0.0000,0.0000,0.0000,2.3549,0,0,0,25
9999,0.0000,0.0000,0.0000,0.0000,0,0,0,0
