cmgCode,bRelativeWeight,cRelativeWeight,dRelativeWeight,aRelativeWeight,bAvgLengthOfStay,cAvgLengthOfStay,dAvgLengthOfStay,aAvgLengthOfStay
0101,0.9840,0.8414,0.7763,0.7348,9,10,9,9
0102,1.2601,1.0774,0.9941,0.9409,12,11,11,11
0103,1.6264,1.3907,1.2830,1.2144,14,14,14,13
0104,2.0857,1.7834,1.6454,1.5574,17,18,17,17
0105,2.5400,2.1718,2.0038,1.8966,24,21,20,20
0106,2.9022,2.4816,2.2895,2.1671,25,25,23,22
0201,1.0814,0.8600,0.7832,0.7312,10,11,9,8
0202,1.3878,1.1036,1.0051,0.9383,12,12,11,11
0203,1.7187,1.3668,1.2447,1.1621,15,15,13,13
0204,2.1379,1.7001,1.5483,1.4455,18,18,16,16
0205,2.7326,2.1730,1.9790,1.8476,30,23,19,18
0301,1.2082,0.9506,0.8859,0.8275,10,10,10,9
0302,1.5486,1.2184,1.1355,1.0606,13,13,12,12
0303,1.8539,1.4586,1.3593,1.2697,15,15,14,13
0304,2.1918,1.7245,1.6071,1.5011,19,17,16,15
0305,2.3908,1.8810,1.7530,1.6374,20,19,17,17
0401,1.3571,1.0692,1.0384,0.9679,13,11,11,12
0402,1.7196,1.3548,1.3159,1.2265,16,15,14,13
0403,2.0713,1.6319,1.5849,1.4772,19,17,16,16
0404,3.2583,2.5671,2.4932,2.3239,22,25,27,20
0405,2.6613,2.0967,2.0364,1.8980,21,22,22,20
0406,3.3419,2.6329,2.5572,2.3835,24,28,27,24
0407,4.4849,3.5334,3.4318,3.1986,44,36,33,35
0501,1.2596,0.9985,0.9390,0.8577,12,11,10,10
0502,1.5508,1.2294,1.1561,1.0560,14,13,12,12
0503,1.7794,1.4107,1.3266,1.2117,16,14,14,13
0504,2.1413,1.6975,1.5963,1.4581,19,16,17,16
0505,3.0130,2.3886,2.2462,2.0517,28,25,23,21
0601,1.3401,1.0161,0.9510,0.8567,11,10,10,9
0602,1.6602,1.2588,1.1781,1.0613,13,13,12,11
0603,1.9713,1.4946,1.3989,1.2601,15,14,14,13
0604,2.4621,1.8667,1.7472,1.5739,20,18,17,16
0701,1.2031,0.9557,0.9124,0.8349,12,11,10,10
0702,1.4908,1.1842,1.1306,1.0345,13,13,12,12
