cmgCode,bRelativeWeight,cRelativeWeight,dRelativeWeight,aRelativeWeight,bAvgLengthOfStay,cAvgLengthOfStay,dAvgLengthOfStay,aAvgLengthOfStay
0101,0.9925,0.8649,0.7853,0.7448,10,10,9,9
0102,1.2559,1.0944,0.9937,0.9425,12,13,11,11
0103,1.6323,1.4224,1.2915,1.2250,14,14,14,13
0104,2.0872,1.8188,1.6514,1.5663,18,18,17,17
0105,2.5142,2.1909,1.9892,1.8868,22,22,21,20
0106,2.8718,2.5025,2.2721,2.1551,25,26,23,23
0201,1.1217,0.9035,0.8176,0.7686,11,10,9,9
0202,1.4057,1.1322,1.0246,0.9632,12,13,11,11
0203,1.7253,1.3896,1.2576,1.1822,14,15,13,13
0204,2.1294,1.7152,1.5521,1.4591,19,18,16,16
0205,2.7026,2.1769,1.9700,1.8519,28,23,20,18
0301,1.1955,0.9637,0.8933,0.8318,11,10,10,9
0302,1.5388,1.2405,1.1498,1.0706,13,13,12,12
0303,1.8519,1.4929,1.3838,1.2885,15,15,14,14
0304,2.1553,1.7374,1.6105,1.4996,19,18,16,15
0305,2.3509,1.8951,1.7566,1.6356,20,19,17,17
0401,1.3242,1.1007,1.0447,0.9608,12,11,12,11
0402,1.6965,1.4102,1.3384,1.2310,17,15,15,14
0403,2.0935,1.7402,1.6516,1.5190,17,19,17,17
0404,3.1513,2.6195,2.4861,2.2865,22,27,26,23
0405,2.6020,2.1629,2.0527,1.8879,23,23,22,20
0406,3.3965,2.8233,2.6796,2.4644,24,29,25,27
0407,4.2745,3.5532,3.3722,3.1015,47,36,33,32
0501,1.2461,0.9814,0.9275,0.8607,11,11,10,10
0502,1.5477,1.2189,1.1519,1.0690,16,13,12,12
0503,1.7797,1.4016,1.3246,1.2293,15,14,14,14
0504,2.1604,1.7014,1.6080,1.4922,19,18,17,16
0505,2.9682,2.3376,2.2093,2.0502,26,24,22,21
0601,1.3436,1.0050,0.9520,0.8493,11,10,10,9
0602,1.6782,1.2553,1.1891,1.0608,13,13,12,12
