cbsa,effectiveDate,geographicWageIndex,name,imputedFloorWageIndex,reclassifiedWageIndex,ruralFloorWageIndex,size
01,20201001,0.6724,ALABAMA,,,,
02,20201001,1.2496,ALASKA,,,,
03,20201001,0.8756,ARIZONA,,,,
04,20201001,0.7102,ARKANSAS,,,,
05,20201001,1.3053,CALIFORNIA,,,,
06,20201001,1.0086,COLORADO,,,,
07,20201001,1.0004,CONNECTICUT,,,,
10,20201001,0.8259,FLORIDA,,,,
11,20201001,0.7181,GEORGIA,,,,
12,20201001,1.2584,HAWAII,,,,
13,20201001,0.7826,IDAHO,,,,
14,20201001,0.8297,ILLINOIS,,,,
15,20201001,0.8354,INDIANA,,,,
16,20201001,0.8403,IOWA,,,,
17,20201001,0.7776,KANSAS,,,,
18,20201001,0.7915,KENTUCKY,,,,
19,20201001,0.6969,LOUISIANA,,,,
20,20201001,0.8436,MAINE,,,,
21,20201001,0.8626,MARYLAND,,,,
22,20201001,1.2929,MASSACHUSETTS,,,,
23,20201001,0.8482,MICHIGAN,,,,
24,20201001,0.9085,MINNESOTA,,,,
25,20201001,0.7464,MISSISSIPPI,,,,
26,20201001,0.7778,MISSOURI,,,,
27,20201001,0.8569,MONTANA,,,,
28,20201001,0.8876,NEBRASKA,,,,
29,20201001,1.0647,NEVADA,,,,
30,20201001,1.0141,NEW HAMPSHIRE,,,,
32,20201001,0.8701,NEW MEXICO,,,,
33,20201001,0.8595,NEW YORK,,,,
34,20201001,0.7926,NORTH CAROLINA,,,,
35,20201001,0.8368,NORTH DAKOTA,,,,
36,20201001,0.8094,OHIO,,,,
37,20201001,0.7723,OKLAHOMA,,,,
38,20201001,1.0691,OREGON,,,,
39,20201001,0.8019,PENNSYLVANIA,,,,
40,20201001,0.4047,PUERTO RICO,,,,
42,20201001,0.8065,SOUTH CAROLINA,,,,
43,20201001,0.8030,SOUTH DAKOTA,,,,
44,20201001,0.7146,TENNESSEE,,,,
45,20201001,0.8211,TEXAS,,,,
46,20201001,0.8714,UTAH,,,,
47,20201001,0.9713,VERMONT,,,,
48,20201001,0.7032,VIRGIN ISLANDS,,,,
49,20201001,0.7734,VIRGINIA,,,,
50,20201001,1.0292,WASHINGTON,,,,
51,20201001,0.7387,WEST VIRGINIA,,,,
52,20201001,0.9218,WISCONSIN,,,,
53,20201001,0.9450,WYOMING,,,,
65,20201001,0.9611,GUAM,,,,
10180,20201001,0.8337,"Abilene, TX",,,,
10380,20201001,0.3241,"Aguadilla-Isabela, PR",,,,
10420,20201001,0.8237,"Akron, OH",,,,
10500,20201001,0.8206,"Albany, GA",,,,
10540,20201001,1.0691,"Albany, OR",,,,
10580,20201001,0.8259,"Albany-Schenectady-Troy, NY",,,,
10740,20201001,0.8699,"Albuquerque, NM",,,,
10780,20201001,0.8527,"Alexandria, LA",,,,
10900,20201001,0.9501,"Allentown-Bethlehem-Easton, PA-N",,,,
11020,20201001,0.8434,"Altoona, PA",,,,
11100,20201001,0.8131,"Amarillo, TX",,,,
11180,20201001,0.9214,"Ames, IA",,,,
11244,20201001,1.2609,"Anaheim-Santa Ana-Irvine, CA",,,,
11260,20201001,1.2194,"Anchorage, AK",,,,
11460,20201001,0.9916,"Ann Arbor, MI",,,,
11500,20201001,0.7190,"Anniston-Oxford-Jacksonville, AL",,,,
11540,20201001,0.9030,"Appleton, WI",,,,
11640,20201001,0.3537,"Arecibo, PR",,,,
11700,20201001,0.8701,"Asheville, NC",,,,
12020,20201001,0.8714,"Athens-Clarke County, GA",,,,
12060,20201001,0.9463,"Atlanta-Sandy Springs-Roswell, G",,,,
12100,20201001,1.1734,"Atlantic City-Hammonton, NJ",,,,
12220,20201001,0.6996,"Auburn-Opelika, AL",,,,
12260,20201001,0.8653,"Augusta-Richmond County, GA-SC",,,,
12420,20201001,0.9476,"Austin-Round Rock, TX",,,,
12540,20201001,1.2090,"Bakersfield, CA",,,,
12580,20201001,0.9521,"Baltimore-Columbia-Towson, MD",,,,
12620,20201001,1.0022,"Bangor, ME",,,,
12700,20201001,1.2145,"Barnstable Town, MA",,,,
12940,20201001,0.7988,"Baton Rouge, LA",,,,
12980,20201001,0.8986,"Battle Creek, MI",,,,
13020,20201001,0.9242,"Bay City, MI",,,,
13140,20201001,0.8664,"Beaumont-Port Arthur, TX",,,,
13220,20201001,0.7723,"Beckley, WV",,,,
13380,20201001,1.2149,"Bellingham, WA",,,,
13460,20201001,1.1449,"Bend-Redmond, OR",,,,
13740,20201001,0.9287,"Billings, MT",,,,
13780,20201001,0.8343,"Binghamton, NY",,,,
13820,20201001,0.8147,"Birmingham-Hoover, AL",,,,
13900,20201001,0.8564,"Bismarck, ND",,,,
13980,20201001,0.8765,Blacksburg-Christiansburg-Radfor,,,,
14010,20201001,0.9114,"Bloomington, IL",,,,
14020,20201001,0.9302,"Bloomington, IN",,,,
14100,20201001,0.8549,"Bloomsburg-Berwick, PA",,,,
14260,20201001,0.9289,"Boise City, ID",,,,
14454,20201001,1.2220,"Boston, MA",,,,
14500,20201001,1.0574,"Boulder, CO",,,,
14540,20201001,0.8440,"Bowling Green, KY",,,,
14740,20201001,1.1451,"Bremerton-Silverdale, WA",,,,
14860,20201001,1.2070,"Bridgeport-Stamford-Norwalk, CT",,,,
15180,20201001,0.8471,"Brownsville-Harlingen, TX",,,,
15260,20201001,0.7597,"Brunswick, GA",,,,
15380,20201001,1.0442,Buffalo-Cheektowaga-Niagara Fall,,,,
15500,20201001,0.8628,"Burlington, NC",,,,
15540,20201001,1.0049,"Burlington-South Burlington, VT",,,,
15680,20201001,0.8706,"California-Lexington Park, MD",,,,
15764,20201001,1.0864,"Cambridge-Newton-Framingham, MA",,,,
15804,20201001,1.0941,"Camden, NJ",,,,
15940,20201001,0.8197,"Canton-Massillon, OH",,,,
15980,20201001,0.9099,"Cape Coral-Fort Myers, FL",,,,
16020,20201001,0.8019,"Cape Girardeau, MO-IL",,,,
16060,20201001,0.8184,"Carbondale-Marion, IL",,,,
16180,20201001,0.9901,"Carson City, NV",,,,
16220,20201001,0.9536,"Casper, WY",,,,
16300,20201001,0.8624,"Cedar Rapids, IA",,,,
16540,20201001,1.1051,"Chambersburg-Waynesboro, PA",,,,
16580,20201001,0.8655,"Champaign-Urbana, IL",,,,
16620,20201001,0.8330,"Charleston, WV",,,,
16700,20201001,0.9141,"Charleston-North Charleston, SC",,,,
16740,20201001,0.9337,"Charlotte-Concord-Gastonia, NC-S",,,,
16820,20201001,0.9607,"Charlottesville, VA",,,,
16860,20201001,0.8365,"Chattanooga, TN-GA",,,,
16940,20201001,0.9074,"Cheyenne, WY",,,,
16984,20201001,1.0442,"Chicago-Naperville-Evanston, IL",,,,
17020,20201001,1.1109,"Chico, CA",,,,
17140,20201001,0.9461,"Cincinnati, OH-KY-IN",,,,
17300,20201001,0.7480,"Clarksville, TN-KY",,,,
17420,20201001,0.7155,"Cleveland, TN",,,,
17460,20201001,0.8847,"Cleveland-Elyria, OH",,,,
17660,20201001,0.9249,"Coeur d'Alene, ID",,,,
17780,20201001,0.8637,"College Station-Bryan, TX",,,,
17820,20201001,0.9651,"Colorado Springs, CO",,,,
17860,20201001,0.8359,"Columbia, MO",,,,
17900,20201001,0.8456,"Columbia, SC",,,,
17980,20201001,0.7866,"Columbus, GA-AL",,,,
18020,20201001,1.0027,"Columbus, IN",,,,
18140,20201001,0.9536,"Columbus, OH",,,,
18580,20201001,0.9545,"Corpus Christi, TX",,,,
18700,20201001,1.0685,"Corvallis, OR",,,,
18880,20201001,0.8966,Crestview-Fort Walton Beach-Dest,,,,
19060,20201001,0.9002,"Cumberland, MD-WV",,,,
19124,20201001,0.9744,"Dallas-Plano-Irving, TX",,,,
19140,20201001,0.8847,"Dalton, GA",,,,
19180,20201001,0.9032,"Danville, IL",,,,
19300,20201001,0.7161,"Daphne-Fairhope-Foley, AL",,,,
19340,20201001,0.8520,"Davenport-Moline-Rock Island, IA",,,,
19430,20201001,0.9328,"Dayton-Kettering, OH",,,,
19460,20201001,0.6859,"Decatur, AL",,,,
19500,20201001,0.8326,"Decatur, IL",,,,
19660,20201001,0.8129,Deltona-Daytona Beach-Ormond Bea,,,,
19740,20201001,1.0020,"Denver-Aurora-Lakewood, CO",,,,
19780,20201001,0.8889,"Des Moines-West Des Moines, IA",,,,
19804,20201001,0.8820,"Detroit-Dearborn-Livonia, MI",,,,
20020,20201001,0.6799,"Dothan, AL",,,,
20100,20201001,1.0007,"Dover, DE",,,,
20220,20201001,0.8608,"Dubuque, IA",,,,
20260,20201001,0.9715,"Duluth, MN-WI",,,,
20500,20201001,0.9658,"Durham-Chapel Hill, NC",,,,
20700,20201001,0.9037,"East Stroudsburg, PA",,,,
20740,20201001,0.9649,"Eau Claire, WI",,,,
20940,20201001,0.9085,"El Centro, CA",,,,
20994,20201001,1.0559,"Elgin, IL",,,,
21060,20201001,0.7656,"Elizabethtown-Fort Knox, KY",,,,
21140,20201001,0.9759,"Elkhart-Goshen, IN",,,,
21300,20201001,0.8710,"Elmira, NY",,,,
21340,20201001,0.7996,"El Paso, TX",,,,
21420,20201001,0.8580,"Enid, OK",,,,
21500,20201001,0.7734,"Erie, PA",,,,
21660,20201001,1.1666,"Eugene, OR",,,,
21780,20201001,0.9256,"Evansville, IN-KY",,,,
21820,20201001,1.0384,"Fairbanks, AK",,,,
22020,20201001,0.8027,"Fargo, ND-MN",,,,
22140,20201001,0.9110,"Farmington, NM",,,,
22180,20201001,0.7822,"Fayetteville, NC",,,,
22220,20201001,0.8405,"Fayetteville-Springdale-Rogers,",,,,
22380,20201001,1.0444,"Flagstaff, AZ",,,,
22420,20201001,1.0656,"Flint, MI",,,,
22500,20201001,0.7952,"Florence, SC",,,,
22520,20201001,0.6413,"Florence-Muscle Shoals, AL",,,,
22540,20201001,0.8935,"Fond du Lac, WI",,,,
22660,20201001,0.9775,"Fort Collins, CO",,,,
22744,20201001,0.9474,Fort Lauderdale-Pompano Beach-De,,,,
22900,20201001,0.8275,"Fort Smith, AR-OK",,,,
23060,20201001,0.9172,"Fort Wayne, IN",,,,
23104,20201001,0.9697,"Fort Worth-Arlington, TX",,,,
23224,20201001,0.9834,Frederick-Gaithersburg-Rockville,,,,
23420,20201001,0.9474,"Fresno, CA",,,,
23460,20201001,0.6782,"Gadsden, AL",,,,
23540,20201001,0.9021,"Gainesville, FL",,,,
23580,20201001,0.9183,"Gainesville, GA",,,,
23844,20201001,0.9158,"Gary, IN",,,,
23900,20201001,1.0588,"Gettysburg, PA",,,,
24020,20201001,0.7740,"Glens Falls, NY",,,,
24140,20201001,0.9059,"Goldsboro, NC",,,,
24220,20201001,0.8416,"Grand Forks, ND-MN",,,,
24260,20201001,0.9585,"Grand Island, NE",,,,
24300,20201001,0.9481,"Grand Junction, CO",,,,
24340,20201001,0.9198,"Grand Rapids-Kentwood, MI",,,,
24420,20201001,1.0168,"Grants Pass, OR",,,,
24500,20201001,0.8173,"Great Falls, MT",,,,
24540,20201001,0.8931,"Greeley, CO",,,,
24580,20201001,0.9282,"Green Bay, WI",,,,
24660,20201001,0.9121,"Greensboro-High Point, NC",,,,
24780,20201001,0.9183,"Greenville, NC",,,,
24860,20201001,0.8986,"Greenville-Anderson-Mauldin, SC",,,,
25020,20201001,0.4049,"Guayama, PR",,,,
25060,20201001,0.7541,"Gulfport-Biloxi, MS",,,,
25180,20201001,0.8452,"Hagerstown-Martinsburg, MD-WV",,,,
25220,20201001,0.8326,"Hammond, LA",,,,
25260,20201001,1.0837,"Hanford-Corcoran, CA",,,,
25420,20201001,0.9229,"Harrisburg-Carlisle, PA",,,,
25500,20201001,0.9421,"Harrisonburg, VA",,,,
25540,20201001,1.0716,Hartford-West Hartford-East Hart,,,,
25620,20201001,0.7438,"Hattiesburg, MS",,,,
25860,20201001,0.8666,"Hickory-Lenoir-Morganton, NC",,,,
25940,20201001,0.8047,Hilton Head Island-Bluffton-Beau,,,,
25980,20201001,0.8388,"HINESVILLE, GA",,,,
26140,20201001,0.8597,"Homosassa Springs, FL",,,,
26300,20201001,0.8197,"Hot Springs, AR",,,,
26380,20201001,0.6941,"Houma-Thibodaux, LA",,,,
26420,20201001,1.0049,Houston-The Woodlands-Sugar Land,,,,
26580,20201001,0.8505,"Huntington-Ashland, WV-KY-OH",,,,
26620,20201001,0.8175,"Huntsville, AL",,,,
26820,20201001,0.8639,"Idaho Falls, ID",,,,
26900,20201001,0.9954,"Indianapolis-Carmel-Anderson, IN",,,,
26980,20201001,0.9819,"Iowa City, IA",,,,
27060,20201001,0.9547,"Ithaca, NY",,,,
27100,20201001,0.8630,"Jackson, MI",,,,
27140,20201001,0.8277,"Jackson, MS",,,,
27180,20201001,0.7524,"Jackson, TN",,,,
27260,20201001,0.8657,"Jacksonville, FL",,,,
27340,20201001,0.7822,"Jacksonville, NC",,,,
27500,20201001,0.9013,"Janesville-Beloit, WI",,,,
27620,20201001,0.8270,"Jefferson City, MO",,,,
27740,20201001,0.7201,"Johnson City, TN",,,,
27780,20201001,0.8096,"Johnstown, PA",,,,
27860,20201001,0.7977,"Jonesboro, AR",,,,
27900,20201001,0.7687,"Joplin, MO",,,,
27980,20201001,1.2196,"Kahului-Wailuku-Lahaina, HI",,,,
28020,20201001,0.9415,"Kalamazoo-Portage, MI",,,,
28100,20201001,0.9068,"Kankakee, IL",,,,
28140,20201001,0.9125,"Kansas City, MO-KS",,,,
28420,20201001,0.9819,"Kennewick-Richland, WA",,,,
28660,20201001,0.9220,"Killeen-Temple, TX",,,,
28700,20201001,0.6996,"Kingsport-Bristol-Bristol, TN-VA",,,,
28740,20201001,0.9306,"Kingston, NY",,,,
28940,20201001,0.7179,"Knoxville, TN",,,,
29020,20201001,0.9523,"Kokomo, IN",,,,
29100,20201001,0.9024,"La Crosse-Onalaska, WI-MN",,,,
29180,20201001,0.7670,"Lafayette, LA",,,,
29200,20201001,0.9830,"Lafayette-West Lafayette, IN",,,,
29340,20201001,0.7617,"Lake Charles, LA",,,,
29404,20201001,1.0192,"Lake County-Kenosha County, IL-W",,,,
29420,20201001,0.9103,"Lake Havasu City-Kingman, AZ",,,,
29460,20201001,0.7957,"Lakeland-Winter Haven, FL",,,,
29540,20201001,0.9134,"Lancaster, PA",,,,
29620,20201001,0.9470,"Lansing-East Lansing, MI",,,,
29700,20201001,0.7833,"Laredo, TX",,,,
29740,20201001,0.9028,"Las Cruces, NM",,,,
29820,20201001,1.1825,"Las Vegas-Henderson-Paradise, NV",,,,
29940,20201001,0.8628,"Lawrence, KS",,,,
30020,20201001,0.6435,"Lawton, OK",,,,
30140,20201001,0.9797,"Lebanon, PA",,,,
30300,20201001,0.8008,"Lewiston, ID-WA",,,,
30340,20201001,0.8725,"Lewiston-Auburn, ME",,,,
30460,20201001,0.8849,"Lexington-Fayette, KY",,,,
30620,20201001,0.8635,"Lima, OH",,,,
30700,20201001,0.9744,"Lincoln, NE",,,,
30780,20201001,0.8288,Little Rock-North Little Rock-Co,,,,
30860,20201001,0.9026,"Logan, UT-ID",,,,
30980,20201001,0.8292,"Longview, TX",,,,
31020,20201001,1.0510,"Longview, WA",,,,
31084,20201001,1.3121,"Los Angeles-Long Beach-Glendale,",,,,
31140,20201001,0.8697,"Louisville/Jefferson County, KY-",,,,
31180,20201001,0.8575,"Lubbock, TX",,,,
31340,20201001,0.8597,"Lynchburg, VA",,,,
31420,20201001,0.9136,"Macon-Bibb County, GA",,,,
31460,20201001,0.7301,"Madera, CA",,,,
31540,20201001,1.0274,"Madison, WI",,,,
31700,20201001,0.9271,"Manchester-Nashua, NH",,,,
31740,20201001,0.8175,"Manhattan, KS",,,,
31860,20201001,1.0287,"Mankato-North Mankato, MN",,,,
31900,20201001,0.8562,"Mansfield, OH",,,,
32420,20201001,0.3495,"Mayaguez, PR",,,,
32580,20201001,0.8080,"McAllen-Edinburg-Mission, TX",,,,
32780,20201001,1.0828,"Medford, OR",,,,
32820,20201001,0.8670,"Memphis, TN-MS-AR",,,,
32900,20201001,1.3466,"Merced, CA",,,,
33124,20201001,0.9390,"Miami-Miami Beach-Kendall, FL",,,,
33140,20201001,0.9284,"Michigan City-La Porte, IN",,,,
33220,20201001,0.9203,"Midland, MI",,,,
33260,20201001,0.8975,"Midland, TX",,,,
33340,20201001,0.9772,"Milwaukee-Waukesha-West Allis, W",,,,
