cbsa,effectiveDate,geographicWageIndex,name,imputedFloorWageIndex,reclassifiedWageIndex,ruralFloorWageIndex,size
01,20141001,0.7147,Alabama,,,,
02,20141001,1.3662,Alaska,,,,
03,20141001,0.9166,Arizona,,,,
04,20141001,0.7343,Arkansas,,,,
05,20141001,1.2788,California,,,,
06,20141001,0.9802,Colorado,,,,
07,20141001,1.1311,Connecticut,,,,
08,20141001,1.0092,Delaware,,,,
10,20141001,0.7985,Florida,,,,
11,20141001,0.7459,Georgia,,,,
12,20141001,1.0739,Hawaii,,,,
13,20141001,0.7605,Idaho,,,,
14,20141001,0.8434,Illinois,,,,
15,20141001,0.8513,Indiana,,,,
16,20141001,0.8434,Iowa,,,,
17,20141001,0.7929,Kansas,,,,
18,20141001,0.7784,Kentucky,,,,
19,20141001,0.7585,Louisiana,,,,
20,20141001,0.8238,Maine,,,,
21,20141001,0.8696,Maryland,,,,
22,20141001,1.3614,Massachusetts,,,,
23,20141001,0.8270,Michigan,,,,
24,20141001,0.9133,Minnesota,,,,
25,20141001,0.7568,Mississippi,,,,
26,20141001,0.7775,Missouri,,,,
27,20141001,0.9098,Montana,,,,
28,20141001,0.8855,Nebraska,,,,
29,20141001,0.9781,Nevada,,,,
30,20141001,1.0339,New Hampshire,,,,
31,20141001,0.0000,New Jersey,,,,
32,20141001,0.8922,New Mexico,,,,
33,20141001,0.8220,New York,,,,
34,20141001,0.8100,North Carolina,,,,
35,20141001,0.6785,North Dakota,,,,
36,20141001,0.8377,Ohio,,,,
37,20141001,0.7704,Oklahoma,,,,
38,20141001,0.9435,Oregon,,,,
39,20141001,0.8430,Pennsylvania,,,,
40,20141001,0.4047,Puerto Rico,,,,
41,20141001,0.0000,Rhode Island,,,,
42,20141001,0.8329,South Carolina,,,,
43,20141001,0.8164,South Dakota,,,,
44,20141001,0.7444,Tennessee,,,,
45,20141001,0.7874,Texas,,,,
46,20141001,0.8732,Utah,,,,
47,20141001,0.9740,Vermont,,,,
48,20141001,0.7060,Virgin Islands,,,,
49,20141001,0.7758,Virginia,,,,
50,20141001,1.0529,Washington,,,,
51,20141001,0.7407,West Virginia,,,,
52,20141001,0.8904,Wisconsin,,,,
53,20141001,0.9243,Wyoming,,,,
65,20141001,0.9611,Guam,,,,
10180,20141001,0.8225,"Abilene, TX",,,,
10380,20141001,0.3647,Aguadilla-Isabela-San Sebast,,,,
10420,20141001,0.8521,"Akron, OH",,,,
10500,20141001,0.8713,"Albany, GA",,,,
10580,20141001,0.8600,"Albany-Schenectady-Troy, NY",,,,
10740,20141001,0.9663,"Albuquerque, NM",,,,
10780,20141001,0.7788,"Alexandria, LA",,,,
10900,20141001,0.9215,"Allentown-Bethlehem-Easton,",,,,
11020,20141001,0.9101,"Altoona, PA",,,,
11100,20141001,0.8302,"Amarillo, TX",,,,
11180,20141001,0.9425,"Ames, IA",,,,
11260,20141001,1.2221,"Anchorage, AK",,,,
11300,20141001,0.9654,"Anderson, IN",,,,
11340,20141001,0.8766,"Anderson, SC",,,,
11460,20141001,1.0086,"Ann Arbor, MI",,,,
11500,20141001,0.7402,"Anniston-Oxford, AL",,,,
11540,20141001,0.9445,"Appleton, WI",,,,
11700,20141001,0.8511,"Asheville, NC",,,,
12020,20141001,0.9244,"Athens-Clarke County, GA",,,,
12060,20141001,0.9452,Atlanta-Sandy Springs-Mariet,,,,
12100,20141001,1.2258,"Atlantic City-Hammonton, NJ",,,,
12220,20141001,0.7771,"Auburn-Opelika, AL",,,,
12260,20141001,0.9150,"Augusta-Richmond County, GA-",,,,
12420,20141001,0.9576,Austin-Round Rock-San Marcos,,,,
12540,20141001,1.1579,"Bakersfield-Delano, CA",,,,
12580,20141001,0.9873,"Baltimore-Towson, MD",,,,
12620,20141001,0.9710,"Bangor, ME",,,,
12700,20141001,1.3007,"Barnstable Town, MA",,,,
12940,20141001,0.8078,"Baton Rouge, LA",,,,
12980,20141001,0.9915,"Battle Creek, MI",,,,
13020,20141001,0.9486,"Bay City, MI",,,,
13140,20141001,0.8598,"Beaumont-Port Arthur, TX",,,,
13380,20141001,1.1890,"Bellingham, WA",,,,
13460,20141001,1.1807,"Bend, OR",,,,
