cbsa,effectiveDate,geographicWageIndex,name,imputedFloorWageIndex,reclassifiedWageIndex,ruralFloorWageIndex,size
01,20211001,0.6539,Alabama,,,,
02,20211001,1.2298,Alaska,,,,
03,20211001,0.8250,Arizona,,,,
04,20211001,0.7111,Arkansas,,,,
05,20211001,1.3029,California,,,,
06,20211001,0.9979,Colorado,,,,
07,20211001,0.9791,Connecticut,,,,
10,20211001,0.8128,Florida,,,,
11,20211001,0.7537,Georgia,,,,
12,20211001,1.2242,Hawaii,,,,
13,20211001,0.7724,Idaho,,,,
14,20211001,0.8401,Illinois,,,,
15,20211001,0.8594,Indiana,,,,
16,20211001,0.8171,Iowa,,,,
17,20211001,0.7885,Kansas,,,,
18,20211001,0.7971,Kentucky,,,,
19,20211001,0.6950,Louisiana,,,,
20,20211001,0.8282,Maine,,,,
21,20211001,0.8512,Maryland,,,,
22,20211001,1.3117,Massachusetts,,,,
23,20211001,0.8392,Michigan,,,,
24,20211001,0.9069,Minnesota,,,,
25,20211001,0.7302,Mississippi,,,,
26,20211001,0.7696,Missouri,,,,
27,20211001,0.8996,Montana,,,,
28,20211001,0.8661,Nebraska,,,,
29,20211001,1.0430,Nevada,,,,
30,20211001,1.0077,New Hampshire,,,,
32,20211001,0.8753,New Mexico,,,,
33,20211001,0.8515,New York,,,,
34,20211001,0.8020,North Carolina,,,,
35,20211001,0.8461,North Dakota,,,,
36,20211001,0.8095,Ohio,,,,
37,20211001,0.7767,Oklahoma,,,,
38,20211001,1.0436,Oregon,,,,
39,20211001,0.8153,Pennsylvania,,,,
40,20211001,0.4047,Puerto Rico,,,,
42,20211001,0.8207,South Carolina,,,,
43,20211001,0.7874,South Dakota,,,,
44,20211001,0.7160,Tennessee,,,,
45,20211001,0.8188,Texas,,,,
46,20211001,0.9142,Utah,,,,
47,20211001,0.9534,Vermont,,,,
48,20211001,0.5509,Virgin Islands,,,,
49,20211001,0.8057,Virginia,,,,
50,20211001,1.0666,Washington,,,,
51,20211001,0.7186,West Virginia,,,,
52,20211001,0.8985,Wisconsin,,,,
53,20211001,0.9329,Wyoming,,,,
65,20211001,0.9611,Guam,,,,
10180,20211001,0.8141,"Abilene, TX",,,,
10380,20211001,0.3132,"Aguadilla-Isabela, PR",,,,
10420,20211001,0.8480,"Akron, OH",,,,
10500,20211001,0.8545,"Albany, GA",,,,
10540,20211001,1.0720,"Albany, OR",,,,
10580,20211001,0.8248,"Albany-Schenectady-Troy, NY",,,,
10740,20211001,0.8824,"Albuquerque, NM",,,,
10780,20211001,0.8661,"Alexandria, LA",,,,
10900,20211001,0.9551,"Allentown-Bethlehem-Easton, PA-NJ",,,,
11020,20211001,0.8272,"Altoona, PA",,,,
11100,20211001,0.8067,"Amarillo, TX",,,,
11180,20211001,0.9024,"Ames, IA",,,,
11244,20211001,1.2638,"Anaheim-Santa Ana-Irvine, CA",,,,
11260,20211001,1.2180,"Anchorage, AK",,,,
11460,20211001,1.0170,"Ann Arbor, MI",,,,
11500,20211001,0.6997,"Anniston-Oxford-Jacksonville, AL",,,,
11540,20211001,0.9441,"Appleton, WI",,,,
11640,20211001,0.3446,"Arecibo, PR",,,,
11700,20211001,0.8547,"Asheville, NC",,,,
12020,20211001,0.9263,"Athens-Clarke County, GA",,,,
12060,20211001,0.9508,"Atlanta-Sandy Springs-Roswell, GA",,,,
12100,20211001,1.0802,"Atlantic City-Hammonton, NJ",,,,
12220,20211001,0.7104,"Auburn-Opelika, AL",,,,
12260,20211001,0.8631,"Augusta-Richmond County, GA-SC",,,,
12420,20211001,0.9518,"Austin-Round Rock, TX",,,,
12540,20211001,1.2066,"Bakersfield, CA",,,,
12580,20211001,0.9514,"Baltimore-Columbia-Towson, MD",,,,
12620,20211001,0.9162,"Bangor, ME",,,,
12700,20211001,1.2098,"Barnstable Town, MA",,,,
12940,20211001,0.7917,"Baton Rouge, LA",,,,
12980,20211001,0.9046,"Battle Creek, MI",,,,
13020,20211001,0.9069,"Bay City, MI",,,,
13140,20211001,0.8553,"Beaumont-Port Arthur, TX",,,,
13220,20211001,0.7956,"Beckley, WV",,,,
13380,20211001,1.2296,"Bellingham, WA",,,,
13460,20211001,1.1382,"Bend-Redmond, OR",,,,
13740,20211001,0.9536,"Billings, MT",,,,
