cmgCode,bRelativeWeight,cRelativeWeight,dRelativeWeight,aRelativeWeight,bAvgLengthOfStay,cAvgLengthOfStay,dAvgLengthOfStay,aAvgLengthOfStay
0101,1.0351,0.8965,0.8300,0.7906,11,11,10,9
0102,1.3150,1.1389,1.0545,1.0045,13,13,12,12
0103,1.6790,1.4541,1.3464,1.2825,15,16,15,15
0104,2.1958,1.9017,1.7608,1.6772,19,20,19,19
0105,2.4300,2.1046,1.9487,1.8562,22,22,21,20
0106,2.8360,2.4562,2.2742,2.1663,27,26,24,24
0201,1.1593,0.9500,0.8568,0.7992,11,11,10,10
0202,1.4366,1.1772,1.0618,0.9903,13,13,12,12
0203,1.7487,1.4330,1.2924,1.2055,15,16,14,14
0204,2.1339,1.7487,1.5772,1.4710,21,19,17,16
0205,2.6631,2.1823,1.9683,1.8358,31,24,21,19
0301,1.2280,0.9995,0.9218,0.8618,11,11,10,10
0302,1.5603,1.2700,1.1712,1.0950,14,14,13,13
0303,1.8814,1.5313,1.4123,1.3203,17,16,15,15
0304,2.1097,1.7171,1.5836,1.4805,20,18,17,16
0305,2.2889,1.8630,1.7182,1.6063,21,20,18,17
0401,1.3702,1.1748,1.0753,0.9860,14,13,12,12
0402,1.7987,1.5423,1.4117,1.2944,15,18,16,15
0403,2.1749,1.8649,1.7070,1.5652,20,20,19,18
0404,3.1944,2.7390,2.5070,2.2988,36,31,27,23
0405,2.7206,2.3328,2.1352,1.9578,27,27,23,21
0406,3.3266,2.8523,2.6108,2.3939,39,32,27,26
0407,4.1203,3.5330,3.2337,2.9651,49,37,32,36
0501,1.2696,1.0371,0.9614,0.8798,13,12,11,10
0502,1.5859,1.2954,1.2009,1.0990,15,14,13,13
0503,1.8273,1.4926,1.3837,1.2663,17,15,15,14
0504,2.2209,1.8141,1.6817,1.5390,20,19,18,17
0505,2.8362,2.3166,2.1477,1.9654,30,24,23,21
0601,1.3431,1.0441,0.9748,0.8864,12,11,11,10
0602,1.6641,1.2937,1.2078,1.0983,14,14,13,12
0603,1.9606,1.5242,1.4230,1.2940,16,16,15,14
0604,2.2535,1.7519,1.6356,1.4873,20,18,17,16
0701,1.2511,1.0096,0.9644,0.8771,12,12,11,10
0702,1.5660,1.2636,1.2072,1.0978,14,14,13,13
0703,1.8960,1.5299,1.4615,1.3291,17,17,16,15
0704,2.1443,1.7303,1.6529,1.5032,18,18,18,17
0801,1.0611,0.8826,0.7992,0.7434,10,10,9,9
0802,1.2506,1.0402,0.9419,0.8762,11,12,11,10
0803,1.4028,1.1669,1.0566,0.9829,13,13,12,11
0804,1.6133,1.3419,1.2151,1.1304,15,15,13,13
0805,1.9202,1.5973,1.4463,1.3454,16,17,15,15
0901,1.2066,0.9641,0.8950,0.8243,11,11,10,10
0902,1.5262,1.2196,1.1321,1.0427,13,14,13,12
0903,1.7937,1.4333,1.3305,1.2254,15,15,14,14
0904,2.0358,1.6268,1.5101,1.3908,18,17,16,15
1001,1.2854,1.0952,0.9915,0.9110,12,13,11,11
1002,1.6019,1.3648,1.2357,1.1353,15,15,13,13
1003,1.8483,1.5748,1.4258,1.3100,16,17,16,15
1004,2.1480,1.8301,1.6570,1.5224,18,19,18,16
1101,1.4202,1.1802,1.0683,0.8943,13,13,12,10
1102,1.7633,1.4653,1.3264,1.1103,15,14,14,13
1103,2.0223,1.6806,1.5212,1.2734,17,19,15,14
1201,1.2378,0.9532,0.9256,0.8600,11,11,10,10
1202,1.5753,1.2131,1.1780,1.0944,14,14,13,13
1203,1.7998,1.3860,1.3459,1.2505,15,16,15,14
1204,1.9148,1.4746,1.4318,1.3303,15,15,16,15
