cmgCode,bRelativeWeight,cRelativeWeight,dRelativeWeight,aRelativeWeight,bAvgLengthOfStay,cAvgLengthOfStay,dAvgLengthOfStay,aAvgLengthOfStay
0101,0.9741,0.8649,0.7846,0.7481,9,10,9,9
0102,1.2657,1.1238,1.0194,0.972,12,12,11,11
0103,1.6201,1.4385,1.3049,1.2442,14,15,14,14
0104,2.0824,1.8489,1.6773,1.5993,18,19,18,18
0105,2.4437,2.1697,1.9683,1.8768,22,23,21,20
0106,2.8656,2.5444,2.3082,2.2008,26,26,24,23
0201,1.0720,0.8842,0.8033,0.7549,11,12,9,9
0202,1.3914,1.1477,1.0427,0.9799,13,13,12,11
0203,1.7032,1.4048,1.2763,1.1994,14,15,14,13
0204,2.0405,1.683,1.5291,1.437,18,18,16,16
0205,2.6440,2.1808,1.9812,1.8619,28,23,20,19
0301,1.2322,0.9699,0.8979,0.8465,11,10,10,10
0302,1.5841,1.2469,1.1543,1.0883,13,13,12,12
0303,1.8983,1.4943,1.3833,1.3042,16,15,14,14
0304,2.1743,1.7115,1.5844,1.4938,19,18,16,16
0305,2.3954,1.8856,1.7456,1.6457,21,20,17,17
0401,1.4043,1.11,1.0628,0.9638,13,12,12,11
0402,1.8739,1.4811,1.4182,1.2861,18,16,14,15
0403,2.1673,1.713,1.6402,1.4875,19,18,17,17
0404,3.3567,2.6531,2.5403,2.3037,36,30,25,22
0405,2.7525,2.1756,2.0831,1.8891,25,22,22,20
0406,3.6825,2.9106,2.7869,2.5273,34,30,30,26
0407,4.6790,3.6982,3.541,3.2113,49,37,34,36
0501,1.3110,0.9874,0.9279,0.8476,11,11,10,10
0502,1.6517,1.2439,1.1691,1.0678,15,13,13,12
0503,1.8945,1.4268,1.3409,1.2248,16,15,14,14
0504,2.2349,1.6831,1.5818,1.4448,20,17,17,16
0505,3.1292,2.3566,2.2148,2.023,28,24,23,21
0601,1.3639,1.0311,0.9648,0.8616,11,11,10,10
0602,1.6723,1.2642,1.1829,1.0563,13,13,12,12
0603,1.9892,1.5038,1.4071,1.2565,16,15,14,14
0604,2.4216,1.8306,1.7129,1.5297,20,18,17,16
0701,1.1983,0.9559,0.9162,0.8354,11,11,10,10
0702,1.5211,1.2134,1.163,1.0605,13,13,13,12
0703,1.8607,1.4844,1.4227,1.2973,16,16,15,14
0704,2.2462,1.7918,1.7173,1.566,18,18,18,17
0801,1.1454,0.8842,0.8163,0.7612,11,10,9,9
0802,1.3402,1.0345,0.9551,0.8907,11,11,10,10
0803,1.5058,1.1624,1.0732,1.0007,13,13,12,11
0804,1.7026,1.3143,1.2134,1.1315,15,14,13,12
0805,2.1052,1.6251,1.5003,1.3991,17,16,16,15
0901,1.2474,0.9589,0.8979,0.8143,11,11,10,9
0902,1.5739,1.2099,1.1329,1.0274,13,13,12,12
0903,1.8513,1.4232,1.3325,1.2085,15,15,14,13
0904,2.1697,1.6679,1.5617,1.4164,18,17,16,15
1001,1.2459,1.0582,0.9377,0.8663,12,12,10,10
1002,1.5267,1.2966,1.149,1.0616,14,14,13,12
1003,1.8234,1.5486,1.3723,1.2678,15,17,15,14
1004,2.2745,1.9317,1.7118,1.5815,19,19,18,17
1101,1.3521,1.1226,1.0535,0.8753,13,12,11,10
1102,1.6736,1.3896,1.304,1.0834,14,13,14,10
1103,1.9117,1.5873,1.4896,1.2375,16,16,15,14
1201,1.4828,0.916,0.916,0.8199,12,10,10,10
1202,1.9197,1.1859,1.1859,1.0614,15,12,13,12
1203,2.3223,1.4346,1.4346,1.284,17,16,16,14
1204,2.4163,1.4927,1.4927,1.336,17,14,16,14
1301,1.2075,1.0436,0.8887,0.8225,10,12,9,10
1302,1.5071,1.3025,1.1092,1.0265,12,12,12,11
1303,1.8204,1.5733,1.3398,1.2399,14,16,14,13
1304,2.1663,1.8722,1.5944,1.4755,16,24,16,16
1305,2.2382,1.9343,1.6473,1.5244,15,17,17,15
1401,1.1149,0.8988,0.8348,0.7613,10,10,9,9
1402,1.4206,1.1453,1.0637,0.9701,12,12,11,11
1403,1.7213,1.3877,1.2888,1.1754,15,14,13,13
1404,2.0967,1.6904,1.5699,1.4318,18,17,16,15
1501,1.2747,1.0575,0.9778,0.9192,12,11,10,9
1502,1.5560,1.2909,1.1935,1.122,13,12,12,11
1503,1.8145,1.5054,1.3918,1.3084,15,15,14,13
1504,2.1401,1.7755,1.6416,1.5432,20,17,16,15
1601,1.1148,0.865,0.865,0.7766,10,10,9,9
1602,1.3201,1.0244,1.0244,0.9197,11,11,11,11
1603,1.6241,1.2602,1.2602,1.1314,14,13,14,13
1604,1.9087,1.4811,1.4811,1.3297,14,14,16,14
1701,1.4001,1.0483,0.9743,0.9013,11,12,11,11
1702,1.7185,1.2867,1.1958,1.1062,16,14,13,12
1703,2.0076,1.5031,1.397,1.2923,17,16,15,14
1704,2.3366,1.7494,1.6259,1.504,19,19,17,16
1705,2.5888,1.9383,1.8014,1.6664,21,20,19,18
1801,1.2417,0.9614,0.8857,0.8129,13,11,11,10
1802,1.5169,1.1745,1.082,0.9931,14,13,12,11
1803,1.8886,1.4622,1.3471,1.2364,17,17,14,14
1804,2.2243,1.7222,1.5865,1.4562,25,18,17,16
1805,2.6686,2.0661,1.9034,1.747,26,21,20,19
1806,3.6837,2.8521,2.6275,2.4116,38,29,24,28
1901,1.0699,0.896,0.8326,0.8265,11,11,10,10
1902,1.5832,1.3259,1.2321,1.223,15,14,14,14
1903,2.2805,1.9099,1.7748,1.7617,20,21,19,20
1904,3.5683,2.9884,2.777,2.7565,39,29,29,29
2001,1.2066,0.9647,0.8933,0.8155,11,10,10,9
2002,1.4890,1.1904,1.1023,1.0064,13,12,12,11
2003,1.7562,1.4041,1.3001,1.1869,15,15,14,13
2004,2.0661,1.6518,1.5295,1.3963,18,17,16,15
2005,2.2267,1.7802,1.6484,1.5049,19,18,16,16
2101,1.9303,1.3203,1.1699,1.1137,19,14,13,12
